breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 162.56844935,  506.18837343, 1060.09188842])]","[array([ 0.55832466,  1.49640675, -2.41345504,  1.20472348,  0.33012418,
       -1.91743042])]"
1000,moveabsj,"[array([  42.11294834,  509.65873479, 1056.56047067])]","[array([ 0.67305652,  1.44716204, -2.4888859 ,  1.10168227,  0.35734089,
       -1.89286856])]"
1999,moveabsj,"[array([  33.28599015,  508.29241102, 1056.44733303])]","[array([ 0.68041904,  1.44196002, -2.49405357,  1.09889253,  0.35723859,
       -1.89579398])]"
2999,moveabsj,"[array([  24.29345644,  506.03627578, 1056.73474441])]","[array([ 0.68669817,  1.43621975, -2.50064564,  1.09610973,  0.35505567,
       -1.89850536])]"
3999,moveabsj,"[array([  15.10852702,  502.89494557, 1057.4424729 ])]","[array([ 0.69190595,  1.42979152, -2.508535  ,  1.09337813,  0.35084293,
       -1.90107188])]"
4999,moveabsj,"[array([   5.6955003 ,  498.90878436, 1058.55863771])]","[array([ 0.69610952,  1.4225583 , -2.51756627,  1.09079718,  0.34463358,
       -1.90366191])]"
5999,moveabsj,"[array([  -4.00970604,  494.11575432, 1060.00958748])]","[array([ 0.69941071,  1.41455758, -2.52779045,  1.08825546,  0.33652412,
       -1.90623237])]"
6999,moveabsj,"[array([ -14.03972502,  488.5508279 , 1061.73498085])]","[array([ 0.70188951,  1.40576627, -2.53910748,  1.08583799,  0.32665253,
       -1.90889671])]"
7999,moveabsj,"[array([ -24.45014153,  482.27761605, 1063.65412083])]","[array([ 0.703709  ,  1.39621696, -2.55145138,  1.08346945,  0.31520874,
       -1.91163481])]"
8999,moveabsj,"[array([ -35.27780756,  475.37369957, 1065.6788036 ])]","[array([ 0.70506082,  1.38596413, -2.5647011 ,  1.08109838,  0.30244697,
       -1.91443014])]"
9999,moveabsj,"[array([ -46.50614245,  467.93279414, 1067.71653115])]","[array([ 0.70613268,  1.37508019, -2.57862024,  1.0788672 ,  0.28867994,
       -1.91741336])]"
10999,moveabsj,"[array([ -58.13064752,  460.04730142, 1069.6806478 ])]","[array([ 0.70715762,  1.36369363, -2.59305613,  1.07654993,  0.2743313 ,
       -1.92032969])]"
