timestamp, cmd_num, J1, J2, J3, J4, J5, J6, J1_2, J2_2, J3_2, J4_2, J5_2, J6_2
0.002, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.006, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.01, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.011, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.013, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.016, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.02, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.024, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.028, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.032, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.036, -1, 131.196, -7.3169, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.04, -1, 131.196, -7.31693, -167.278, 5.29038, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.044, -1, 131.196, -7.31711, -167.278, 5.29039, -90.2794, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.048, -1, 131.197, -7.3177, -167.278, 5.29045, -90.2793, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.052, -1, 131.198, -7.31903, -167.277, 5.29061, -90.2791, -168.338, 63.4478, 76.6849, -145.619, 53.142, 44.6682, -111.692
0.056, -1, 131.2, -7.32144, -167.277, 5.291, -90.2787, -168.338, 63.4475, 76.685, -145.619, 53.142, 44.6682, -111.692
0.06, -1, 131.203, -7.32516, -167.275, 5.29183, -90.278, -168.338, 63.4465, 76.6853, -145.619, 53.142, 44.6681, -111.692
0.064, -1, 131.206, -7.3303, -167.273, 5.29337, -90.2766, -168.337, 63.4444, 76.686, -145.619, 53.1421, 44.6678, -111.692
0.068, -1, 131.211, -7.33688, -167.27, 5.29598, -90.2744, -168.336, 63.4406, 76.6873, -145.618, 53.1423, 44.6671, -111.692
0.072, -1, 131.216, -7.34481, -167.266, 5.30006, -90.2709, -168.335, 63.4346, 76.6892, -145.618, 53.1429, 44.6657, -111.691
0.076, -1, 131.223, -7.35405, -167.26, 5.30607, -90.2659, -168.333, 63.4259, 76.692, -145.617, 53.1441, 44.6631, -111.691
