timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0.000395, -1, -71.0169, 4.71336, 29.3069, 174.292, -48.6084, -139.775
0.003839, -1, -71.0169, 4.71337, 29.3069, 174.292, -48.6085, -139.775
0.007757, -1, -71.0169, 4.71336, 29.3069, 174.292, -48.6084, -139.775
0.029267, -1, -71.0169, 4.71333, 29.3069, 174.292, -48.6084, -139.775
0.03196, -1, -71.0169, 4.71332, 29.3069, 174.292, -48.6084, -139.775
0.033151, -1, -71.0169, 4.71332, 29.3069, 174.292, -48.6084, -139.775
0.039541, -1, -71.0169, 4.71332, 29.3069, 174.292, -48.6084, -139.775
0.047761, -1, -71.0169, 4.71332, 29.3069, 174.292, -48.6084, -139.775
0.055619, -1, -71.0165, 4.71317, 29.3069, 174.292, -48.6084, -139.775
0.063688, -1, -71.0151, 4.71219, 29.307, 174.292, -48.6085, -139.775
0.071663, -1, -71.0115, 4.70929, 29.307, 174.292, -48.6086, -139.775
0.079704, 1, -71.0052, 4.70295, 29.3075, 174.292, -48.6099, -139.776
0.087658, 1, -70.9953, 4.69134, 29.3088, 174.291, -48.6143, -139.776
0.095593, 1, -70.9802, 4.67307, 29.3113, 174.287, -48.6241, -139.777
0.103738, 1, -70.959, 4.64634, 29.3156, 174.278, -48.6424, -139.781
0.111589, 1, -70.9314, 4.61087, 29.3223, 174.264, -48.6726, -139.79
0.119582, 1, -70.8969, 4.56653, 29.3316, 174.243, -48.7184, -139.805
0.127691, 1, -70.8556, 4.51273, 29.3437, 174.214, -48.7802, -139.825
0.135773, 1, -70.8072, 4.44898, 29.3589, 174.176, -48.8598, -139.85
0.143796, 1, -70.7519, 4.37566, 29.3772, 174.13, -48.9553, -139.881
0.151885, 1, -70.69, 4.29332, 29.3981, 174.079, -49.0659, -139.916
0.159839, 1, -70.6217, 4.20196, 29.4215, 174.02, -49.1882, -139.957
0.168093, 1, -70.5472, 4.10213, 29.4468, 173.959, -49.3192, -140
0.176052, 1, -70.4674, 3.99512, 29.4733, 173.894, -49.4562, -140.045
0.184239, 1, -70.3835, 3.8827, 29.5007, 173.829, -49.5968, -140.091
0.192155, 1, -70.2964, 3.76673, 29.5287, 173.762, -49.7395, -140.138
0.20015, 1, -70.207, 3.64848, 29.5571, 173.694, -49.8834, -140.186
0.208125, 1, -70.1159, 3.52884, 29.5855, 173.627, -50.0279, -140.233
0.216205, 1, -70.0242, 3.40848, 29.6142, 173.559, -50.1728, -140.281
0.224068, 1, -69.9783, 3.34823, 29.6287, 173.525, -50.2454, -140.305
0.231521, 1, -69.8863, 3.22761, 29.6577, 173.457, -50.3904, -140.353
0.239629, 1, -69.7944, 3.10708, 29.6866, 173.389, -50.5359, -140.401
0.247535, 1, -69.7024, 2.98686, 29.7156, 173.32, -50.681, -140.448
0.255601, 1, -69.6104, 2.86687, 29.7448, 173.251, -50.8268, -140.496
0.263554, 1, -69.5183, 2.74678, 29.7741, 173.183, -50.9722, -140.544
0.271537, 1, -69.4261, 2.62659, 29.8033, 173.114, -51.1181, -140.592
0.279547, 1, -69.3337, 2.50608, 29.8326, 173.045, -51.264, -140.639
0.287518, 1, -69.2411, 2.38506, 29.8619, 172.977, -51.4099, -140.687
0.29553, 1, -69.1483, 2.2638, 29.8911, 172.908, -51.5559, -140.735
0.303567, 1, -69.0554, 2.14221, 29.9203, 172.84, -51.7023, -140.783
0.31158, 1, -68.9622, 2.02029, 29.9495, 172.771, -51.8486, -140.83
0.319521, 1, -68.8689, 1.89808, 29.9789, 172.702, -51.9952, -140.878
0.327593, 1, -68.7754, 1.7756, 30.0082, 172.634, -52.1419, -140.926
0.335569, 1, -68.6817, 1.65294, 30.0374, 172.565, -52.2888, -140.974
0.34352, 1, -68.588, 1.53043, 30.0668, 172.496, -52.4356, -141.022
0.352512, 1, -68.4944, 1.40818, 30.0963, 172.426, -52.5827, -141.07
0.35953, 1, -68.4008, 1.28596, 30.1257, 172.357, -52.73, -141.118
0.368519, 1, -68.3073, 1.16378, 30.1552, 172.288, -52.8775, -141.165
0.503246, 1, -66.7031, -0.933605, 30.6605, 171.104, -55.4, -141.986
0.504607, 1, -66.7031, -0.933605, 30.6605, 171.104, -55.4, -141.986
0.506471, 1, -66.6556, -0.995682, 30.6754, 171.069, -55.4747, -142.01
0.507818, 1, -66.6556, -0.995682, 30.6754, 171.069, -55.4747, -142.01
0.509093, 1, -66.6556, -0.995682, 30.6754, 171.069, -55.4747, -142.01
0.512573, 1, -66.608, -1.05783, 30.6903, 171.034, -55.5495, -142.035
0.51463, 1, -66.608, -1.05783, 30.6903, 171.034, -55.6243, -142.059
0.518843, 1, -66.513, -1.18234, 30.7202, 170.964, -55.6992, -142.083
0.520178, 1, -66.513, -1.18234, 30.7202, 170.964, -55.6992, -142.083
0.52148, 1, -66.513, -1.18234, 30.7202, 170.964, -55.6992, -142.083
0.52369, 1, -66.4654, -1.24472, 30.7352, 170.929, -55.7742, -142.107
0.524958, 1, -66.4654, -1.24472, 30.7352, 170.929, -55.7742, -142.107
0.526851, 1, -66.4177, -1.30715, 30.7503, 170.894, -55.8491, -142.131
0.528215, 1, -66.4177, -1.30715, 30.7503, 170.894, -55.8491, -142.131
0.529466, 1, -66.4177, -1.30715, 30.7503, 170.894, -55.8491, -142.131
0.532392, 1, -66.37, -1.3696, 30.7654, 170.858, -55.9241, -142.155
0.533627, 1, -66.37, -1.3696, 30.7654, 170.858, -55.9241, -142.155
0.537109, 1, -66.3223, -1.43203, 30.7803, 170.823, -55.9992, -142.18
0.539027, 1, -66.2745, -1.49443, 30.7953, 170.788, -56.0743, -142.205
0.540402, 1, -66.2745, -1.49443, 30.7953, 170.788, -56.0743, -142.205
0.541666, 1, -66.2745, -1.49443, 30.7953, 170.788, -56.0743, -142.205
0.543745, 1, -66.2268, -1.55685, 30.8102, 170.753, -56.1495, -142.229
0.553561, 1, -66.1312, -1.68183, 30.8402, 170.682, -56.2999, -142.277
0.560565, 1, -66.0356, -1.80693, 30.8704, 170.612, -56.4503, -142.326
0.567617, 1, -65.9397, -1.9322, 30.9005, 170.541, -56.6011, -142.375
0.57576, 1, -65.8436, -2.05763, 30.9306, 170.47, -56.7517, -142.424
0.584774, 1, -65.7475, -2.18295, 30.9608, 170.399, -56.9026, -142.473
0.591619, 1, -65.6514, -2.3083, 30.991, 170.329, -57.0535, -142.522
0.599686, 1, -65.5552, -2.43369, 31.0212, 170.258, -57.2045, -142.571
0.608166, 1, -65.459, -2.55925, 31.0513, 170.188, -57.3555, -142.62
0.615594, 1, -65.3626, -2.68512, 31.0817, 170.117, -57.5069, -142.669
0.623614, 1, -65.2663, -2.8112, 31.112, 170.046, -57.6578, -142.719
0.632447, 1, -65.17, -2.93728, 31.1421, 169.975, -57.8092, -142.769
0.63969, 1, -65.0736, -3.06331, 31.1724, 169.904, -57.9606, -142.818
0.647818, 1, -64.9773, -3.18953, 31.2027, 169.832, -58.112, -142.867
0.657435, 1, -64.8807, -3.31601, 31.233, 169.761, -58.2638, -142.917
0.663868, 1, -64.7842, -3.44266, 31.2634, 169.689, -58.4156, -142.967
0.818319, 1, -62.9308, -5.86617, 31.8447, 168.324, -61.3294, -143.913
0.819625, 1, -62.9308, -5.86617, 31.8447, 168.324, -61.3294, -143.913
0.821593, 1, -62.8816, -5.93035, 31.8602, 168.287, -61.4065, -143.938
0.8229, 1, -62.8816, -5.93035, 31.8602, 168.287, -61.4065, -143.938
0.824085, 1, -62.8816, -5.93035, 31.8602, 168.287, -61.4065, -143.938
0.828221, 1, -62.8325, -5.99452, 31.8756, 168.251, -61.4837, -143.963
0.830405, 1, -62.7833, -6.05871, 31.8911, 168.215, -61.5611, -143.988
0.8346, 1, -62.7342, -6.12294, 31.9065, 168.178, -61.6385, -144.013
0.835905, 1, -62.7342, -6.12294, 31.9065, 168.178, -61.6385, -144.013
0.837977, 1, -62.6849, -6.18723, 31.9219, 168.142, -61.7157, -144.039
0.83931, 1, -62.6849, -6.18723, 31.9219, 168.142, -61.7157, -144.039
0.841128, 1, -62.6357, -6.25157, 31.9373, 168.105, -61.7931, -144.064
