timestamp, cmd_num, J1, J2, J3, J4, J5, J6, J1_2, J2_2, J3_2, J4_2, J5_2, J6_2
0, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.005, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.01, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.01, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.013, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.016, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.02, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.024, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.028, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.032, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.036, -1, -39.1769, 1.80702, 8.86698, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.04, -1, -39.1768, 1.80702, 8.86699, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.044, -1, -39.1764, 1.807, 8.86703, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.048, -1, -39.1752, 1.80693, 8.86715, -133.692, -66.8636, 136.781, 83.1895, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.052, -1, -39.173, 1.8068, 8.86742, -133.692, -66.8637, 136.781, 83.1896, 21.3897, -145.632, -58.3632, 40.8586, -278.852
0.056, -1, -39.1694, 1.80657, 8.86785, -133.692, -66.864, 136.781, 83.1896, 21.3899, -145.632, -58.3632, 40.8586, -278.852
0.06, -1, -39.1645, 1.80624, 8.86849, -133.692, -66.8646, 136.781, 83.1899, 21.3907, -145.632, -58.3631, 40.8588, -278.852
0.064, -1, -39.158, 1.80581, 8.86932, -133.691, -66.8657, 136.782, 83.1903, 21.3925, -145.631, -58.3631, 40.8592, -278.852
