breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-922.01420592, -103.94525974,  500.38507305])]","[array([-0.39675063, -0.53325642, -3.18964948,  0.64411833,  0.51610359,
        0.53595244])]"
1665,moveabsj,"[array([-903.1402258 , -212.06770911,  525.89323331])]","[array([-0.28371082, -0.51118083, -3.15830041,  0.62233105,  0.50207325,
        0.53243661])]"
3332,moveabsj,"[array([-900.99655713, -222.45706112,  533.26859237])]","[array([-0.27240266, -0.50529122, -3.15227707,  0.61929265,  0.50257868,
        0.53292741])]"
4999,moveabsj,"[array([-899.27127191, -232.79085   ,  545.34182239])]","[array([-0.26072277, -0.49633098, -3.14299674,  0.61559007,  0.50533585,
        0.53425705])]"
6665,moveabsj,"[array([-897.61509147, -243.17811663,  562.07575591])]","[array([-0.24862105, -0.48404261, -3.13111309,  0.61149965,  0.51049358,
        0.53632378])]"
8332,moveabsj,"[array([-895.89900817, -253.4405136 ,  583.25420885])]","[array([-0.23640325, -0.46898156, -3.11633462,  0.60723316,  0.51757466,
        0.53893799])]"
9999,moveabsj,"[array([-893.68945488, -263.49789741,  608.34206469])]","[array([-0.22431959, -0.45134347, -3.09937027,  0.6031884 ,  0.52602365,
        0.54176955])]"
11665,moveabsj,"[array([-890.85264331, -273.21645831,  635.67499967])]","[array([-0.21260435, -0.4328314 , -3.08096554,  0.5989461 ,  0.53579205,
        0.54541231])]"
13332,moveabsj,"[array([-887.10577142, -282.5536548 ,  663.92530526])]","[array([-0.20145706, -0.41399478, -3.06217369,  0.59532104,  0.54544704,
        0.54895682])]"
14999,moveabsj,"[array([-882.58995871, -291.55781739,  690.51489185])]","[array([-0.1908566 , -0.3968075 , -3.0445194 ,  0.59192261,  0.55457091,
        0.55289251])]"
16665,moveabsj,"[array([-877.48438933, -300.40705926,  713.34389431])]","[array([-0.18065386, -0.38228762, -3.02949585,  0.58932562,  0.56165142,
        0.55654626])]"
18332,moveabsj,"[array([-872.27909337, -309.41127104,  729.87266465])]","[array([-0.1704652 , -0.37211175, -3.01870916,  0.58753652,  0.56577168,
        0.55997508])]"
19999,moveabsj,"[array([-867.37216549, -318.88074484,  737.9074431 ])]","[array([-0.15996948, -0.36735181, -3.0137691 ,  0.58724284,  0.56514546,
        0.56248807])]"
21665,moveabsj,"[array([-863.37221428, -329.10512701,  733.93737469])]","[array([-0.14881463, -0.37073367, -3.01708327,  0.58763048,  0.55962666,
        0.56532634])]"
23332,moveabsj,"[array([-860.14984887, -340.35138522,  715.70221804])]","[array([-0.13680512, -0.38340963, -3.03037838,  0.5906418 ,  0.54664167,
        0.56666575])]"
24999,moveabsj,"[array([-856.88635921, -352.29944375,  680.25329785])]","[array([-0.12466228, -0.4077141 , -3.05610271,  0.59598027,  0.52501252,
        0.56739305])]"
26665,moveabsj,"[array([-851.70221077, -364.50074593,  626.44949261])]","[array([-0.11318585, -0.4458848 , -3.0950744 ,  0.60324691,  0.494777  ,
        0.56864382])]"
28332,moveabsj,"[array([-841.79038427, -376.38161288,  559.55415183])]","[array([-0.10321251, -0.49588226, -3.14356855,  0.61288942,  0.45636719,
        0.56976058])]"
29999,moveabsj,"[array([-826.18156429, -387.502179  ,  491.1594567 ])]","[array([-0.09493208, -0.5509523 , -3.19300519,  0.62150092,  0.41527061,
        0.572095  ])]"
31665,moveabsj,"[array([-807.67108846, -398.10160254,  435.11338514])]","[array([-0.08696634, -0.59909516, -3.23351592,  0.62852245,  0.37844905,
        0.5729473 ])]"
33332,moveabsj,"[array([-791.08823416, -408.15921404,  398.92702849])]","[array([-0.07829623, -0.631244  , -3.2597068 ,  0.63185805,  0.35288676,
        0.57244359])]"
34999,moveabsj,"[array([-781.04141426, -417.8101151 ,  384.97086266])]","[array([-0.06785788, -0.64359969, -3.2682406 ,  0.62861485,  0.34515418,
        0.57317831])]"
36665,moveabsj,"[array([-780.10343683, -426.24526308,  399.22888052])]","[array([-0.05676505, -0.62662251, -3.25661588,  0.62338989,  0.35423978,
        0.56857357])]"
38332,moveabsj,"[array([-787.30718024, -434.38676421,  442.06402793])]","[array([-0.04396421, -0.58286259, -3.22333327,  0.61000522,  0.3851312 ,
        0.56444629])]"
39999,moveabsj,"[array([-796.77832762, -443.15338893,  514.17002422])]","[array([-0.02946066, -0.51498959, -3.16772938,  0.59129911,  0.43039467,
        0.55616096])]"
41665,moveabsj,"[array([-799.95684186, -453.65746461,  599.58241618])]","[array([-0.01300909, -0.44294208, -3.09993321,  0.56785311,  0.47877944,
        0.54851781])]"
43332,moveabsj,"[array([-794.67296118, -464.26086648,  671.85600922])]","[array([ 2.49319418e-03, -3.88056820e-01, -3.04115106e+00,  5.47630146e-01,
        5.14202132e-01,  5.44659660e-01])]"
44999,moveabsj,"[array([-786.62397108, -474.0718319 ,  710.14191478])]","[array([ 0.01587713, -0.36131804, -3.00979504,  0.53890716,  0.52899941,
        0.54348797])]"
46665,moveabsj,"[array([-781.51721426, -482.63402135,  700.50307575])]","[array([ 0.02623182, -0.36938786, -3.01961221,  0.5431473 ,  0.52136511,
        0.54759736])]"
48332,moveabsj,"[array([-776.92493979, -489.76223441,  643.45468302])]","[array([ 0.03358444, -0.41096708, -3.07376528,  0.5621026 ,  0.48979809,
        0.55686202])]"
49999,moveabsj,"[array([-745.90256294, -505.77820838,  460.1515225 ])]","[array([ 0.05200848, -0.5753889 , -3.23028318,  0.63585758,  0.37069448,
        0.57788666])]"
