breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([780.79382087, 840.85873152, 279.1624247 ])]","[array([ 0.597846  , -0.07297829, -0.19380932, -0.50961663, -1.51247731,
        0.82076228])]"
1633,movel_fit,"[array([831.83865231, 738.0268008 , 265.75438779])]","[array([ 0.55174327, -0.09083143, -0.20101384, -0.40017264, -1.53487322,
        0.8487636 ])]"
3258,movel_fit,"[array([853.06994046, 684.57633465, 264.79231087])]","[array([ 0.53496957, -0.12018739, -0.217238  , -0.33546506, -1.52889617,
        0.86924447])]"
4914,movel_fit,"[array([870.98649318, 628.96096328, 268.27146316])]","[array([ 0.51941912, -0.14256873, -0.2256315 , -0.26853551, -1.53634568,
        0.88539869])]"
6641,movel_fit,"[array([886.18735878, 570.52464848, 276.91004034])]","[array([ 0.50392678, -0.17055006, -0.23609774, -0.19984562, -1.54388461,
        0.90300816])]"
8491,movel_fit,"[array([898.58721101, 507.98225896, 290.90286226])]","[array([ 0.48616833, -0.19862591, -0.24413583, -0.13086651, -1.55812998,
        0.91882767])]"
10532,movel_fit,"[array([908.16566326, 439.64594065, 311.31688655])]","[array([ 0.46359133, -0.23163386, -0.25246012, -0.06252473, -1.57478728,
        0.9342092 ])]"
12873,movel_fit,"[array([915.32900528, 362.53336895, 339.63074131])]","[array([ 0.43369604, -0.27516253, -0.26354688,  0.00705914, -1.58833182,
        0.95225269])]"
15755,movel_fit,"[array([920.45675457, 269.48415005, 379.60026591])]","[array([ 0.38901761, -0.33734316, -0.27944588,  0.07893985, -1.59153097,
        0.97659211])]"
20154,movel_fit,"[array([924.53231561, 130.50200977, 447.2254693 ])]","[array([ 0.29444396, -0.44041701, -0.30097626,  0.14997557, -1.56438932,
        1.01499839])]"
23480,movel_fit,"[array([929.60899333,  26.57544402, 500.07905569])]","[array([ 0.18544677, -0.51605297, -0.310853  ,  0.15198049, -1.50948416,
        1.03304762])]"
26380,movel_fit,"[array([938.23404352, -64.29918569, 544.60545524])]","[array([ 0.05495004, -0.57095416, -0.31405271,  0.10218223, -1.43751163,
        1.04006484])]"
28692,movel_fit,"[array([ 949.68869338, -137.15558258,  577.70491853])]","[array([-0.0789879 , -0.59770831, -0.31030533,  0.01311125, -1.37051402,
        1.02505743])]"
30688,movel_fit,"[array([ 964.62850881, -200.19395593,  603.14297466])]","[array([-0.20916853, -0.59766526, -0.29796998, -0.09620617, -1.31938764,
        0.99350903])]"
32478,movel_fit,"[array([ 982.27639704, -256.66742095,  622.64998618])]","[array([-0.32973312, -0.5740409 , -0.27639459, -0.21340242, -1.28941039,
        0.94641713])]"
34135,movel_fit,"[array([1002.83374096, -308.45959813,  636.82035607])]","[array([-0.43487914, -0.52593988, -0.24153466, -0.32550284, -1.28541456,
        0.88985002])]"
35713,movel_fit,"[array([1027.11230344, -356.36542891,  646.80455527])]","[array([-0.52222747, -0.45646979, -0.19271621, -0.42604088, -1.30385099,
        0.82807318])]"
37254,movel_fit,"[array([1054.61615488, -401.61851189,  652.31331238])]","[array([-0.59407711, -0.37047631, -0.13263067, -0.5157745 , -1.33983701,
        0.76619097])]"
38799,movel_fit,"[array([1085.9475229 , -444.73082873,  653.93469633])]","[array([-0.65330582, -0.27246984, -0.06468443, -0.5998539 , -1.38668481,
        0.70586775])]"
40386,movel_fit,"[array([1121.3305536 , -486.50772723,  651.66184666])]","[array([-0.70338251, -0.16703161,  0.00585705, -0.6853094 , -1.4378363 ,
        0.6476908 ])]"
42055,movel_fit,"[array([1161.5483134 , -527.12272669,  644.17308261])]","[array([-0.74637914, -0.05638885,  0.07360833, -0.77929711, -1.48883352,
        0.59167341])]"
43843,movel_fit,"[array([1207.02302446, -567.41063752,  632.69331895])]","[array([-0.7813967 ,  0.05773125,  0.13803321, -0.88102481, -1.53560285,
        0.5379649 ])]"
45781,movel_fit,"[array([1258.96337056, -606.59805281,  616.07892305])]","[array([-0.80907134,  0.17244526,  0.19171872, -0.99825095, -1.57325703,
        0.48570925])]"
47915,movel_fit,"[array([1317.33608871, -646.00378612,  593.30565571])]","[array([-0.828866  ,  0.2849969 ,  0.22994949, -1.13136473, -1.59748647,
        0.43469125])]"
49999,movel_fit,"[array([1424.39639838, -707.3697795 ,  547.73746617])]","[array([-0.83420946,  0.46904265,  0.29910736, -1.33591837, -1.61675089,
        0.35502256])]"
