breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 931.6899499 , -606.58135494,  177.68523912])]","[array([-0.652247  ,  0.0288244 , -0.15593005, -0.22548404, -1.71758698,
        2.1499212 ])]"
499,movel_fit,"[array([ 930.56412607, -496.46478264,  177.42765629])]","[array([-0.57732991, -0.04870338, -0.23406594, -0.2401464 , -1.71471968,
        2.13907143])]"
999,movel_fit,"[array([ 930.40832361, -486.19228513,  177.40332042])]","[array([-0.57028828, -0.05628748, -0.24138782, -0.24211092, -1.71377131,
        2.13830765])]"
1499,movel_fit,"[array([ 930.16406801, -475.9234266 ,  177.39816439])]","[array([-0.56352527, -0.06464541, -0.24930175, -0.24455342, -1.71212226,
        2.13812866])]"
1999,movel_fit,"[array([ 929.88681818, -465.65437979,  177.39355386])]","[array([-0.55700965, -0.0737439 , -0.25777969, -0.24746946, -1.70973276,
        2.13851424])]"
2499,movel_fit,"[array([ 929.53756323, -455.38212628,  177.40078932])]","[array([-0.55074911, -0.08363087, -0.26684851, -0.25083756, -1.70662837,
        2.139464  ])]"
2999,movel_fit,"[array([ 929.12465988, -445.11287216,  177.41734721])]","[array([-0.5447381 , -0.09429898, -0.27649497, -0.25464303, -1.70281343,
        2.14096958])]"
3499,movel_fit,"[array([ 928.64609868, -434.84226779,  177.43230068])]","[array([-0.53895962, -0.10575212, -0.28672466, -0.25885901, -1.69829236,
        2.14300774])]"
3999,movel_fit,"[array([ 928.12958048, -424.57496736,  177.44759855])]","[array([-0.53341222, -0.11798545, -0.29752257, -0.26349658, -1.69304877,
        2.14558322])]"
4499,movel_fit,"[array([ 927.54370671, -414.31809543,  177.4692538 ])]","[array([-0.52811643, -0.13103897, -0.30891471, -0.26855058, -1.68710271,
        2.1487089 ])]"
4999,movel_fit,"[array([ 926.89136259, -404.06709286,  177.49193992])]","[array([-0.52305275, -0.14490226, -0.32089124, -0.27399762, -1.68047431,
        2.15235089])]"
5499,movel_fit,"[array([ 926.18753183, -393.8068699 ,  177.50660773])]","[array([-0.51820458, -0.15958907, -0.33346618, -0.2798445 , -1.67314809,
        2.15649157])]"
