breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 932.55550966, -607.97693365,  177.56437998])]","[array([-0.64711785,  0.04395283, -0.14226172, -0.21595847, -1.73130991,
        2.13892388])]"
2242,movel_fit,"[array([ 929.80009639, -460.65887664,  177.29186432])]","[array([-0.55338168, -0.077096  , -0.26107173, -0.24824919, -1.70944226,
        2.13784593])]"
4485,movel_fit,"[array([ 927.64459942, -414.60229347,  177.37985095])]","[array([-0.52776383, -0.12928635, -0.30753965, -0.26771067, -1.68839806,
        2.14765484])]"
6749,movel_fit,"[array([ 924.21525867, -368.19937884,  177.47157768])]","[array([-0.50660686, -0.19851393, -0.36640202, -0.29547191, -1.65309738,
        2.16811474])]"
9078,movel_fit,"[array([ 919.57543182, -320.55301769,  177.36559039])]","[array([-0.48912428, -0.28665631, -0.43893308, -0.33190737, -1.6038157 ,
        2.1978932 ])]"
11630,movel_fit,"[array([ 913.24244651, -268.46991063,  176.694662  ])]","[array([-0.47302875, -0.39936849, -0.52932281, -0.37904101, -1.53984856,
        2.23328119])]"
14675,movel_fit,"[array([ 905.03524902, -206.44854878,  174.91506687])]","[array([-0.45213197, -0.54373493, -0.64174666, -0.43937336, -1.46023453,
        2.25698598])]"
16613,movel_fit,"[array([ 900.36191486, -166.91449918,  173.35690472])]","[array([-0.43260903, -0.62974956, -0.70646194, -0.47435587, -1.41337353,
        2.2356842 ])]"
18173,movel_fit,"[array([ 897.54291163, -134.98173748,  172.3528139 ])]","[array([-0.4109777 , -0.69047314, -0.75044855, -0.4971793 , -1.37907462,
        2.19325037])]"
19464,movel_fit,"[array([ 896.29150305, -108.46900515,  171.87552379])]","[array([-0.38709533, -0.73048986, -0.7780415 , -0.50945753, -1.35325488,
        2.13225002])]"
20621,movel_fit,"[array([896.15944234, -84.69456253, 171.89430356])]","[array([-0.36030953, -0.75542584, -0.79386458, -0.51323923, -1.33301337,
        2.05922605])]"
21714,movel_fit,"[array([897.16454342, -62.23694155, 172.40383997])]","[array([-0.32943881, -0.76549462, -0.79833414, -0.50835815, -1.31787802,
        1.97339443])]"
22790,movel_fit,"[array([899.24267385, -40.22828978, 173.23048782])]","[array([-0.29393975, -0.75895782, -0.7905751 , -0.49445989, -1.3094424 ,
        1.87669661])]"
23884,movel_fit,"[array([902.28126911, -17.95051498, 174.25656513])]","[array([-0.25348377, -0.73190956, -0.76803714, -0.47125632, -1.31149368,
        1.76985609])]"
25031,movel_fit,"[array([907.24988819,   5.09149759, 175.52538992])]","[array([-0.20841667, -0.67719807, -0.72597831, -0.43986669, -1.32959042,
        1.65516221])]"
26232,movel_fit,"[array([913.41805207,  28.98243428, 176.48511937])]","[array([-0.16178352, -0.59138945, -0.662411  , -0.40484829, -1.37144513,
        1.53898021])]"
27443,movel_fit,"[array([920.4581202 ,  52.87272166, 176.65586666])]","[array([-0.1187258 , -0.47939156, -0.5815683 , -0.37436437, -1.43837526,
        1.43234538])]"
28640,movel_fit,"[array([927.91875273,  76.30701926, 175.75458455])]","[array([-0.0824353 , -0.35401252, -0.49331583, -0.35469542, -1.52317286,
        1.34250662])]"
29844,movel_fit,"[array([935.35614653,  99.80378986, 173.57673941])]","[array([-0.05268597, -0.22746852, -0.40713081, -0.34772076, -1.61596967,
        1.27309893])]"
31053,movel_fit,"[array([942.24184808, 123.48463386, 170.39507622])]","[array([-0.02868701, -0.1129063 , -0.3323753 , -0.35305503, -1.70502789,
        1.23248463])]"
32132,movel_fit,"[array([947.52488811, 144.78599621, 167.04657225])]","[array([-0.01109921, -0.0276359 , -0.27953766, -0.3666399 , -1.77485439,
        1.23070858])]"
33039,movel_fit,"[array([950.77946939, 163.0067589 , 164.5564125 ])]","[array([ 0.00190694,  0.03044414, -0.2452408 , -0.38299252, -1.82605392,
        1.25970203])]"
33821,movel_fit,"[array([952.72866642, 178.90285946, 162.85523916])]","[array([ 0.01264934,  0.07036644, -0.22252479, -0.39876898, -1.8643019 ,
        1.30886154])]"
34533,movel_fit,"[array([953.56860283, 193.53624587, 161.95080411])]","[array([ 0.02272465,  0.09768668, -0.20729961, -0.41265699, -1.89365045,
        1.37176071])]"
35211,movel_fit,"[array([953.47804133, 207.50698511, 161.8107432 ])]","[array([ 0.03304237,  0.11438441, -0.1978772 , -0.42358765, -1.91497681,
        1.44369274])]"
35884,movel_fit,"[array([952.39747267, 221.33227909, 162.50174419])]","[array([ 0.04425267,  0.12020858, -0.19406929, -0.43076948, -1.92740614,
        1.5207035 ])]"
36581,movel_fit,"[array([950.51217384, 235.54830818, 163.74506007])]","[array([ 0.056887  ,  0.1133607 , -0.19684475, -0.43355065, -1.92785825,
        1.59933627])]"
37331,movel_fit,"[array([947.25816934, 250.51702717, 166.02244462])]","[array([ 0.07144029,  0.08888912, -0.20908801, -0.43132631, -1.91181916,
        1.67592845])]"
38160,movel_fit,"[array([942.42036425, 266.63069726, 169.04378113])]","[array([ 0.08855399,  0.04000007, -0.23574915, -0.42372423, -1.87192749,
        1.7465007 ])]"
39052,movel_fit,"[array([936.13835241, 283.58587042, 172.21634543])]","[array([ 0.10877622, -0.03883484, -0.28206457, -0.41093218, -1.80208149,
        1.80474765])]"
39956,movel_fit,"[array([928.81953279, 300.52211739, 174.70817821])]","[array([ 0.13233331, -0.14393054, -0.34832332, -0.39473317, -1.70602686,
        1.84588439])]"
40853,movel_fit,"[array([920.98495142, 317.19397347, 176.10069932])]","[array([ 0.15980975, -0.26489933, -0.42915649, -0.37682799, -1.59428748,
        1.86805361])]"
41760,movel_fit,"[array([912.74306995, 333.95511024, 176.13553757])]","[array([ 0.19197948, -0.3919793 , -0.51814114, -0.35764676, -1.47610494,
        1.86640311])]"
42656,movel_fit,"[array([905.21493602, 350.75995584, 175.11107473])]","[array([ 0.22690815, -0.51063648, -0.60418407, -0.3388223 , -1.36297696,
        1.83209352])]"
43450,movel_fit,"[array([899.31101811, 365.90886585, 173.53687723])]","[array([ 0.25861119, -0.60382249, -0.67374559, -0.32343882, -1.26961542,
        1.76440163])]"
44123,movel_fit,"[array([895.30526302, 379.09598217, 172.23428636])]","[array([ 0.28556847, -0.67241056, -0.72594649, -0.31067209, -1.19502599,
        1.67266336])]"
44710,movel_fit,"[array([892.84140779, 390.90091142, 171.35762977])]","[array([ 0.30951193, -0.72249585, -0.76467057, -0.29748821, -1.1336473 ,
        1.56327378])]"
45251,movel_fit,"[array([891.72429723, 402.00069033, 170.92427909])]","[array([ 0.33226411, -0.7576729 , -0.79239431, -0.28112709, -1.08191457,
        1.43927401])]"
45775,movel_fit,"[array([891.70472063, 412.79610316, 170.91529111])]","[array([ 0.35442621, -0.77796814, -0.80901149, -0.26039791, -1.04027215,
        1.30473984])]"
46307,movel_fit,"[array([892.88408254, 423.72443627, 171.416017  ])]","[array([ 0.37525992, -0.78081474, -0.81248103, -0.23678671, -1.01139938,
        1.16601143])]"
46875,movel_fit,"[array([895.33190696, 435.16744254, 172.19262566])]","[array([ 0.39244973, -0.7619265 , -0.79953425, -0.21546153, -1.0000729 ,
        1.03207683])]"
47509,movel_fit,"[array([899.24674524, 447.62161589, 173.23471095])]","[array([ 0.40236608, -0.71482071, -0.76475041, -0.20501115, -1.01361158,
        0.9142837 ])]"
48228,movel_fit,"[array([905.38300352, 461.0451645 , 174.63961505])]","[array([ 0.40041239, -0.63322809, -0.70261768, -0.2149152 , -1.06003074,
        0.82635527])]"
48998,movel_fit,"[array([912.75424785, 475.05019406, 175.56192753])]","[array([ 0.38650067, -0.51989569, -0.61532346, -0.24633699, -1.14202134,
        0.77428045])]"
49766,movel_fit,"[array([920.45792856, 488.86579323, 175.69654022])]","[array([ 0.36645645, -0.39019166, -0.51571499, -0.28914882, -1.24745718,
        0.74808905])]"
49999,movel_fit,"[array([972.2807899 , 581.45141418, 166.80695307])]","[array([ 0.29171719,  0.40649863,  0.03518762, -0.6036356 , -1.97127258,
        0.54717497])]"
