timestamp, cmd_num, J1, J2, J3, J4, J5, J6, J1_2, J2_2, J3_2, J4_2, J5_2, J6_2
0.002, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.006, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.01, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.011, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.013, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.016, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.02, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.024, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.028, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.032, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.036, -1, 131.462, -7.6624, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.04, -1, 131.462, -7.66243, -167.059, 5.26652, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.044, -1, 131.462, -7.66262, -167.059, 5.26654, -90.1293, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.048, -1, 131.463, -7.66321, -167.059, 5.26659, -90.1292, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.052, -1, 131.464, -7.66456, -167.058, 5.26675, -90.1291, -168.086, 62.6999, 76.3364, -144.959, 54.2551, 44.7019, -112.277
0.056, -1, 131.466, -7.66699, -167.057, 5.26716, -90.1287, -168.086, 62.6996, 76.3365, -144.959, 54.2551, 44.7019, -112.277
0.06, -1, 131.469, -7.67073, -167.056, 5.26802, -90.1279, -168.086, 62.6987, 76.3368, -144.959, 54.2551, 44.7018, -112.277
0.064, -1, 131.472, -7.67589, -167.054, 5.26962, -90.1265, -168.085, 62.6965, 76.3376, -144.958, 54.2552, 44.7015, -112.277
0.068, -1, 131.477, -7.68246, -167.051, 5.27232, -90.1242, -168.084, 62.6927, 76.3389, -144.958, 54.2553, 44.7008, -112.277
0.072, -1, 131.482, -7.69036, -167.046, 5.27654, -90.1206, -168.083, 62.6867, 76.3409, -144.958, 54.2558, 44.6994, -112.276
0.076, -1, 131.489, -7.69954, -167.041, 5.28276, -90.1154, -168.081, 62.678, 76.3438, -144.957, 54.2567, 44.6967, -112.276
0.08, -1, 131.496, -7.71002, -167.034, 5.29145, -90.1083, -168.078, 62.6663, 76.3477, -144.956, 54.2584, 44.6922, -112.275
0.084, -1, 131.505, -7.72204, -167.024, 5.30312, -90.0987, -168.074, 62.6515, 76.3526, -144.954, 54.2612, 44.6851, -112.273
0.088, -1, 131.516, -7.73587, -167.013, 5.31823, -90.0864, -168.068, 62.6337, 76.3584, -144.952, 54.2654, 44.6749, -112.271
0.092, -1, 131.528, -7.7517, -166.999, 5.33726, -90.0709, -168.062, 62.6125, 76.3653, -144.949, 54.2712, 44.6608, -112.268
0.096, -1, 131.541, -7.76954, -166.983, 5.36059, -90.052, -168.054, 62.5877, 76.3732, -144.945, 54.279, 44.6425, -112.263
0.1, -1, 131.556, -7.78934, -166.963, 5.38855, -90.0294, -168.044, 62.5589, 76.3824, -144.94, 54.2889, 44.6196, -112.258
0.104, -1, 131.572, -7.81108, -166.941, 5.42131, -90.003, -168.033, 62.526, 76.3929, -144.934, 54.3009, 44.5919, -112.252
0.108, -1, 131.59, -7.83476, -166.917, 5.45891, -89.9727, -168.02, 62.4889, 76.4046, -144.928, 54.315, 44.5594, -112.244
0.112, -1, 131.608, -7.86034, -166.889, 5.50122, -89.9387, -168.006, 62.4477, 76.4176, -144.92, 54.3312, 44.5222, -112.236
0.116, -1, 131.629, -7.88787, -166.859, 5.54799, -89.9011, -167.99, 62.4025, 76.4319, -144.911, 54.3494, 44.4807, -112.227
0.12, -1, 131.65, -7.9174, -166.827, 5.59884, -89.8603, -167.972, 62.3539, 76.4472, -144.902, 54.3693, 44.4353, -112.216
0.124, -1, 131.673, -7.94885, -166.792, 5.65332, -89.8165, -167.953, 62.3022, 76.4635, -144.892, 54.3907, 44.3865, -112.205
0.128, -1, 131.698, -7.98202, -166.755, 5.71094, -89.7702, -167.934, 62.2477, 76.4806, -144.881, 54.4133, 44.3349, -112.193
0.131, -1, 131.724, -8.01662, -166.716, 5.77123, -89.7218, -167.913, 62.1904, 76.4987, -144.87, 54.4368, 44.2812, -112.181
0.136, -1, 131.751, -8.05251, -166.676, 5.83369, -89.6716, -167.891, 62.1304, 76.5177, -144.859, 54.4609, 44.2259, -112.168
0.139, -1, 131.779, -8.08968, -166.634, 5.89786, -89.62, -167.869, 62.0681, 76.5374, -144.847, 54.4855, 44.1697, -112.156
0.144, -1, 131.807, -8.12819, -166.591, 5.9633, -89.5673, -167.847, 62.004, 76.5577, -144.835, 54.5102, 44.113, -112.143
0.148, -1, 131.837, -8.16806, -166.548, 6.02964, -89.5139, -167.824, 61.9384, 76.5786, -144.823, 54.535, 44.0559, -112.13
0.152, -1, 131.867, -8.20925, -166.504, 6.09656, -89.4601, -167.801, 61.8717, 76.5998, -144.811, 54.5597, 43.9987, -112.117
0.156, -1, 131.898, -8.25161, -166.46, 6.16382, -89.4059, -167.778, 61.8046, 76.6212, -144.799, 54.5845, 43.9415, -112.103
0.16, -1, 131.93, -8.29488, -166.415, 6.23124, -89.3516, -167.755, 61.7373, 76.6426, -144.787, 54.6093, 43.8842, -112.09
0.164, -1, 131.963, -8.33873, -166.37, 6.29874, -89.2972, -167.731, 61.6699, 76.664, -144.775, 54.6341, 43.827, -112.077
0.168, -1, 131.995, -8.38286, -166.325, 6.36626, -89.2427, -167.708, 61.6026, 76.6855, -144.763, 54.6589, 43.7698, -112.064
0.172, -1, 132.028, -8.42708, -166.28, 6.43378, -89.1883, -167.685, 61.5352, 76.7069, -144.751, 54.6837, 43.7125, -112.051
0.176, -1, 132.06, -8.47131, -166.235, 6.50131, -89.1339, -167.662, 61.4678, 76.7284, -144.739, 54.7085, 43.6553, -112.038
0.18, -1, 132.093, -8.51553, -166.19, 6.56883, -89.0794, -167.639, 61.4005, 76.7498, -144.727, 54.7333, 43.5981, -112.025
0.184, -1, 132.126, -8.55976, -166.145, 6.63634, -89.025, -167.615, 61.3332, 76.7712, -144.715, 54.7581, 43.5409, -112.012
0.188, -1, 132.158, -8.60398, -166.1, 6.70386, -88.9706, -167.592, 61.2658, 76.7927, -144.703, 54.7829, 43.4836, -111.999
0.192, -1, 132.191, -8.64821, -166.055, 6.77137, -88.9161, -167.569, 61.1985, 76.8141, -144.691, 54.8077, 43.4264, -111.986
0.196, -1, 132.224, -8.69243, -166.01, 6.83888, -88.8617, -167.546, 61.1311, 76.8355, -144.679, 54.8325, 43.3692, -111.973
0.2, -1, 132.256, -8.73665, -165.965, 6.90639, -88.8073, -167.523, 61.0638, 76.857, -144.667, 54.8572, 43.312, -111.96
0.204, -1, 132.289, -8.78086, -165.92, 6.97389, -88.7529, -167.499, 60.9965, 76.8784, -144.655, 54.882, 43.2548, -111.947
0.208, -1, 132.322, -8.82508, -165.875, 7.0414, -88.6985, -167.476, 60.9291, 76.8998, -144.643, 54.9068, 43.1976, -111.934
0.212, -1, 132.354, -8.8693, -165.83, 7.1089, -88.644, -167.453, 60.8618, 76.9213, -144.631, 54.9316, 43.1404, -111.921
0.216, -1, 132.387, -8.91351, -165.785, 7.1764, -88.5896, -167.43, 60.7945, 76.9427, -144.619, 54.9564, 43.0831, -111.908
0.22, -1, 132.42, -8.95773, -165.739, 7.2439, -88.5352, -167.407, 60.7271, 76.9641, -144.607, 54.9812, 43.0259, -111.895
0.224, -1, 132.452, -9.00194, -165.694, 7.31139, -88.4808, -167.384, 60.6598, 76.9855, -144.595, 55.0059, 42.9687, -111.882
0.228, -1, 132.485, -9.04615, -165.649, 7.37889, -88.4264, -167.36, 60.5925, 77.007, -144.583, 55.0307, 42.9115, -111.869
0.232, -1, 132.518, -9.09036, -165.604, 7.44638, -88.372, -167.337, 60.5252, 77.0284, -144.571, 55.0555, 42.8543, -111.856
0.236, -1, 132.55, -9.13457, -165.559, 7.51388, -88.3176, -167.314, 60.4578, 77.0498, -144.559, 55.0803, 42.7971, -111.843
0.24, -1, 132.583, -9.17878, -165.514, 7.58137, -88.2631, -167.291, 60.3905, 77.0713, -144.547, 55.1051, 42.7399, -111.83
