timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0.00036, -1, 17.688, -12.9395, 6.77464, -213.569, -107.364, -184.234
0.004075, -1, 17.688, -12.9395, 6.77463, -213.569, -107.364, -184.233
0.006016, -1, 17.688, -12.9395, 6.77463, -213.569, -107.364, -184.233
0.008609, -1, 17.688, -12.9395, 6.77463, -213.569, -107.364, -184.233
0.011572, -1, 17.688, -12.9395, 6.77464, -213.569, -107.364, -184.234
0.034103, -1, 17.688, -12.9395, 6.77464, -213.569, -107.364, -184.234
0.036152, -1, 17.688, -12.9395, 6.77462, -213.569, -107.364, -184.234
0.037508, -1, 17.688, -12.9395, 6.77462, -213.569, -107.364, -184.234
0.039549, -1, 17.688, -12.9395, 6.77463, -213.569, -107.364, -184.234
0.041117, -1, 17.688, -12.9395, 6.77463, -213.569, -107.364, -184.234
0.042377, -1, 17.688, -12.9395, 6.77463, -213.569, -107.364, -184.234
0.044473, -1, 17.688, -12.9395, 6.77464, -213.569, -107.364, -184.234
0.045755, -1, 17.688, -12.9395, 6.77464, -213.569, -107.364, -184.234
0.048807, -1, 17.688, -12.9395, 6.77464, -213.569, -107.364, -184.234
0.052245, -1, 17.688, -12.9395, 6.77465, -213.569, -107.364, -184.234
0.056479, -1, 17.6877, -12.9393, 6.77466, -213.569, -107.364, -184.234
0.059982, -1, 17.687, -12.9388, 6.77467, -213.569, -107.364, -184.234
0.064219, -1, 17.6858, -12.938, 6.77467, -213.569, -107.364, -184.234
0.068509, -1, 17.6838, -12.9366, 6.77468, -213.569, -107.364, -184.233
0.071766, -1, 17.681, -12.9345, 6.77469, -213.569, -107.364, -184.233
0.07624, -1, 17.6773, -12.9316, 6.77473, -213.569, -107.363, -184.233
0.079735, -1, 17.6725, -12.9276, 6.77484, -213.568, -107.361, -184.232
0.084251, -1, 17.6664, -12.9221, 6.77499, -213.566, -107.359, -184.231
0.087809, -1, 17.6664, -12.9149, 6.77522, -213.564, -107.356, -184.228
0.092694, -1, 17.6492, -12.9057, 6.77553, -213.56, -107.35, -184.224
0.096246, -1, 17.6375, -12.8944, 6.77593, -213.555, -107.343, -184.218
0.099788, -1, 17.6375, -12.8944, 6.77593, -213.549, -107.334, -184.211
0.105047, -1, 17.6065, -12.865, 6.77701, -213.54, -107.322, -184.201
0.10768, -1, 17.6065, -12.865, 6.77701, -213.54, -107.322, -184.201
0.112148, -1, 17.5651, -12.8272, 6.7783, -213.516, -107.288, -184.174
0.115097, -1, 17.5651, -12.8272, 6.7783, -213.516, -107.288, -184.174
0.119207, -1, 17.5405, -12.8057, 6.77902, -213.5, -107.265, -184.155
0.124176, -1, 17.4828, -12.7574, 6.78063, -213.457, -107.205, -184.108
0.127085, -1, 17.4828, -12.7574, 6.78063, -213.457, -107.205, -184.108
0.131168, -1, 17.4496, -12.7307, 6.78153, -213.43, -107.169, -184.078
0.136479, -1, 17.375, -12.6714, 6.78356, -213.368, -107.082, -184.007
0.14116, -1, 17.3335, -12.639, 6.78471, -213.331, -107.031, -183.966
0.143215, -1, 17.3335, -12.639, 6.78471, -213.331, -107.031, -183.966
0.14836, -1, 17.2429, -12.5687, 6.78732, -213.249, -106.918, -183.875
0.151094, -1, 17.2429, -12.5687, 6.78732, -213.249, -106.918, -183.875
0.155103, -1, 17.1939, -12.5306, 6.7888, -213.204, -106.855, -183.824
0.160469, -1, 17.0888, -12.4476, 6.79203, -213.107, -106.721, -183.716
0.163088, -1, 17.0888, -12.4476, 6.79203, -213.107, -106.721, -183.716
0.167103, -1, 17.0328, -12.4027, 6.79373, -213.056, -106.65, -183.659
0.172581, -1, 16.9148, -12.307, 6.79724, -212.95, -106.503, -183.541
0.17654, -1, 16.8533, -12.2566, 6.79906, -212.896, -106.428, -183.48
0.179207, -1, 16.8533, -12.2566, 6.79906, -212.896, -106.428, -183.48
0.184743, -1, 16.7263, -12.1521, 6.8028, -212.785, -106.273, -183.356
0.18945, -1, 16.6612, -12.0985, 6.80476, -212.73, -106.196, -183.293
0.191091, -1, 16.6612, -12.0985, 6.80476, -212.73, -106.196, -183.293
0.196788, -1, 16.5284, -11.989, 6.80898, -212.617, -106.038, -183.167
0.199187, -1, 16.5284, -11.989, 6.80898, -212.617, -106.038, -183.167
0.204732, -1, 16.3933, -11.8777, 6.81352, -212.504, -105.88, -183.041
0.208671, -1, 16.3252, -11.8218, 6.81583, -212.448, -105.801, -182.977
0.213552, -1, 16.2569, -11.7657, 6.81813, -212.391, -105.722, -182.914
0.216831, -1, 16.1885, -11.7096, 6.82045, -212.335, -105.643, -182.85
0.220805, -1, 16.1885, -11.6533, 6.82274, -212.278, -105.564, -182.787
0.223084, -1, 16.1201, -11.6533, 6.82274, -212.278, -105.564, -182.787
0.227138, -1, 16.0518, -11.597, 6.825, -212.221, -105.484, -182.724
0.232123, -1, 15.9834, -11.5406, 6.82723, -212.165, -105.405, -182.66
0.236093, -1, 15.9151, -11.4843, 6.82944, -212.108, -105.326, -182.597
0.239137, -1, 15.8467, -11.428, 6.83166, -212.051, -105.247, -182.533
0.244105, -1, 15.7783, -11.3717, 6.83389, -211.995, -105.168, -182.47
0.248085, -1, 15.71, -11.3154, 6.83613, -211.938, -105.088, -182.407
0.251093, -1, 15.6418, -11.2592, 6.83838, -211.882, -105.009, -182.344
0.255216, -1, 15.5736, -11.203, 6.84061, -211.825, -104.93, -182.28
0.260137, -1, 15.5055, -11.1469, 6.84283, -211.768, -104.851, -182.217
0.263146, -1, 15.4373, -11.0909, 6.84504, -211.712, -104.772, -182.153
0.267197, -1, 15.3691, -11.0349, 6.84725, -211.655, -104.693, -182.09
0.271141, -1, 15.3008, -10.9789, 6.84947, -211.599, -104.614, -182.027
0.275153, -1, 15.2324, -10.923, 6.85166, -211.542, -104.535, -181.963
0.27923, -1, 15.1641, -10.867, 6.85384, -211.486, -104.456, -181.9
0.283191, -1, 15.0957, -10.811, 6.856, -211.429, -104.377, -181.837
0.287237, -1, 15.0274, -10.7549, 6.85819, -211.373, -104.298, -181.773
0.291152, -1, 14.9589, -10.6988, 6.86041, -211.316, -104.219, -181.71
0.295194, -1, 14.8904, -10.6425, 6.86268, -211.26, -104.139, -181.647
0.29919, -1, 14.8219, -10.5863, 6.86499, -211.203, -104.06, -181.583
0.303168, -1, 14.7534, -10.53, 6.86734, -211.147, -103.981, -181.52
0.307203, -1, 14.6849, -10.4738, 6.86972, -211.091, -103.903, -181.457
