timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0.000575, -1, 17.6832, -12.9476, 6.77697, -213.57, -107.367, -184.24
0.004401, -1, 17.6832, -12.9476, 6.77697, -213.57, -107.367, -184.24
0.00632, -1, 17.6832, -12.9475, 6.77698, -213.57, -107.367, -184.24
0.008986, -1, 17.6832, -12.9475, 6.77698, -213.57, -107.367, -184.24
0.030612, -1, 17.6832, -12.9475, 6.77698, -213.571, -107.367, -184.24
0.034248, -1, 17.6832, -12.9475, 6.77698, -213.571, -107.367, -184.24
0.036282, -1, 17.6832, -12.9476, 6.77697, -213.571, -107.367, -184.24
0.037748, -1, 17.6832, -12.9476, 6.77697, -213.571, -107.367, -184.24
0.039009, -1, 17.6832, -12.9476, 6.77697, -213.571, -107.367, -184.24
0.04129, -1, 17.6832, -12.9476, 6.77697, -213.571, -107.367, -184.24
0.042625, -1, 17.6832, -12.9476, 6.77697, -213.571, -107.367, -184.24
0.044642, -1, 17.6832, -12.9476, 6.77697, -213.571, -107.367, -184.24
0.04602, -1, 17.6832, -12.9476, 6.77697, -213.571, -107.367, -184.24
0.049304, -1, 17.6832, -12.9475, 6.77697, -213.571, -107.367, -184.24
0.05223, -1, 17.6832, -12.9475, 6.77697, -213.571, -107.367, -184.24
0.05545, -1, 17.6831, -12.9475, 6.77697, -213.571, -107.367, -184.24
0.059382, -1, 17.6828, -12.9473, 6.77697, -213.57, -107.367, -184.24
0.064213, -1, 17.6821, -12.9468, 6.77696, -213.57, -107.367, -184.24
0.067447, -1, 17.6809, -12.946, 6.77697, -213.571, -107.367, -184.24
0.071381, -1, 17.6789, -12.9446, 6.77699, -213.57, -107.367, -184.24
0.075455, -1, 17.676, -12.9425, 6.77701, -213.57, -107.366, -184.24
0.079425, -1, 17.6723, -12.9395, 6.77706, -213.57, -107.366, -184.24
0.083383, -1, 17.6674, -12.9354, 6.77715, -213.569, -107.364, -184.239
0.087441, -1, 17.6613, -12.93, 6.7773, -213.568, -107.362, -184.237
0.091419, -1, 17.6536, -12.9228, 6.7775, -213.566, -107.358, -184.235
0.095391, -1, 17.644, -12.9137, 6.7778, -213.562, -107.353, -184.231
0.099444, -1, 17.6322, -12.9023, 6.77818, -213.557, -107.346, -184.225
0.103457, -1, 17.6179, -12.8887, 6.77865, -213.551, -107.337, -184.217
0.10738, -1, 17.601, -12.8729, 6.7792, -213.543, -107.325, -184.208
0.11145, -1, 17.5816, -12.855, 6.77979, -213.532, -107.31, -184.195
