timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.003, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.006, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.008, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.011, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.016, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.02, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.024, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.028, -1, 8.27748, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.032, -1, 8.27747, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.036, -1, 8.2774, 23.493, 17.9768, -132.822, -114.75, 87.0556
0.04, -1, 8.27713, 23.4929, 17.9768, -132.822, -114.75, 87.0556
0.044, -1, 8.2765, 23.4928, 17.9767, -132.822, -114.75, 87.0556
0.048, -1, 8.27532, 23.4925, 17.9766, -132.822, -114.75, 87.0555
0.052, -1, 8.27344, 23.4919, 17.9764, -132.822, -114.75, 87.0554
0.056, -1, 8.27075, 23.491, 17.976, -132.823, -114.75, 87.0552
0.06, -1, 8.26715, 23.4897, 17.9756, -132.823, -114.75, 87.0548
0.064, -1, 8.26255, 23.4879, 17.9751, -132.823, -114.749, 87.0542
0.068, -1, 8.25684, 23.4856, 17.9745, -132.824, -114.749, 87.0531
0.072, -1, 8.24984, 23.4825, 17.9739, -132.826, -114.748, 87.0515
0.076, -1, 8.24128, 23.4786, 17.9731, -132.828, -114.746, 87.0492
0.08, -1, 8.23084, 23.4736, 17.9723, -132.831, -114.744, 87.0459
0.084, -1, 8.21821, 23.4676, 17.9715, -132.834, -114.741, 87.0414
0.088, -1, 8.20315, 23.4602, 17.9707, -132.84, -114.737, 87.0355
0.092, -1, 8.18551, 23.4516, 17.9701, -132.846, -114.732, 87.0278
0.096, -1, 8.16519, 23.4415, 17.9697, -132.855, -114.725, 87.0181
0.1, -1, 8.14206, 23.4299, 17.9696, -132.865, -114.716, 87.0061
0.104, -1, 8.11596, 23.4168, 17.9698, -132.878, -114.706, 86.9916
0.108, -1, 8.08671, 23.4021, 17.9705, -132.893, -114.694, 86.9742
0.112, -1, 8.05419, 23.3856, 17.9717, -132.911, -114.68, 86.9539
0.116, -1, 8.01833, 23.3674, 17.9734, -132.931, -114.663, 86.9304
0.12, -1, 7.97909, 23.3474, 17.9756, -132.955, -114.644, 86.9038
0.124, -1, 7.93654, 23.3256, 17.9784, -132.981, -114.622, 86.8738
0.128, -1, 7.89074, 23.3022, 17.9818, -133.01, -114.599, 86.8407
0.131, -1, 7.8418, 23.2771, 17.9857, -133.041, -114.573, 86.8044
0.136, -1, 7.78976, 23.2503, 17.9901, -133.076, -114.544, 86.7651
0.139, -1, 7.7346, 23.222, 17.995, -133.113, -114.514, 86.7231
0.144, -1, 7.67634, 23.1921, 18.0002, -133.152, -114.482, 86.6785
0.148, -1, 7.61508, 23.1606, 18.0057, -133.193, -114.448, 86.6316
0.152, -1, 7.55104, 23.1277, 18.0113, -133.235, -114.413, 86.5828
0.156, -1, 7.48455, 23.0935, 18.017, -133.28, -114.377, 86.5322
0.16, -1, 7.41593, 23.0581, 18.0228, -133.325, -114.339, 86.4803
0.164, -1, 7.34541, 23.0216, 18.0285, -133.372, -114.301, 86.4271
0.168, -1, 7.27318, 22.9842, 18.0343, -133.419, -114.262, 86.373
0.172, -1, 7.19936, 22.9459, 18.0399, -133.467, -114.223, 86.3182
0.176, -1, 7.12403, 22.9069, 18.0455, -133.515, -114.184, 86.2629
0.18, -1, 7.04729, 22.8673, 18.0509, -133.564, -114.144, 86.2072
0.184, -1, 6.96927, 22.8272, 18.0562, -133.613, -114.104, 86.1512
0.188, -1, 6.89018, 22.7866, 18.0614, -133.662, -114.063, 86.0951
0.192, -1, 6.8103, 22.7458, 18.0665, -133.711, -114.023, 86.0388
0.196, -1, 6.72988, 22.7048, 18.0716, -133.76, -113.983, 85.9825
0.2, -1, 6.64909, 22.6637, 18.0766, -133.81, -113.942, 85.9261
0.204, -1, 6.56807, 22.6225, 18.0816, -133.859, -113.902, 85.8697
0.208, -1, 6.48689, 22.5812, 18.0866, -133.908, -113.862, 85.8133
0.212, -1, 6.40562, 22.5399, 18.0915, -133.958, -113.821, 85.7569
