breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1444.97293719, -248.15642266, 1037.38284604])]","[array([ 0.0859182 ,  0.09685281,  0.28419715,  2.56388261, -1.34470404,
       -3.0320356 ])]"
500,movej_fit,"[array([1453.51312518, -252.85641882, 1034.20116216])]","[array([ 0.08287372,  0.10502877,  0.27841673,  2.56179664, -1.34149363,
       -3.03186703])]"
1000,movej_fit,"[array([1462.078938  , -257.52316156, 1030.97231796])]","[array([ 0.08017641,  0.11355148,  0.27256244,  2.55904146, -1.33873056,
       -3.03203054])]"
1500,movej_fit,"[array([1470.65314821, -262.14738176, 1027.70242329])]","[array([ 0.07783386,  0.12238494,  0.26665766,  2.55561887, -1.33642841,
       -3.0325265 ])]"
2000,movej_fit,"[array([1479.23548028, -266.72936507, 1024.39113327])]","[array([ 0.07584005,  0.13152554,  0.26070383,  2.55152418, -1.33458688,
       -3.03335332])]"
2500,movej_fit,"[array([1487.82484006, -271.26914867, 1021.03825139])]","[array([ 0.07418842,  0.14096913,  0.25470403,  2.54675389, -1.33320562,
       -3.03450859])]"
3000,movej_fit,"[array([1496.42020713, -275.76701332, 1017.64339982])]","[array([ 0.07287145,  0.15071175,  0.24866238,  2.5413055 , -1.33228374,
       -3.03598906])]"
3500,movej_fit,"[array([1505.01983147, -280.22307445, 1014.20635034])]","[array([ 0.07188073,  0.16074862,  0.24258454,  2.53517843, -1.33181977,
       -3.03779034])]"
4000,movej_fit,"[array([1513.62341991, -284.63842562, 1010.72616526])]","[array([ 0.07120648,  0.17107654,  0.23647614,  2.52837273, -1.33181127,
       -3.03990727])]"
4500,movej_fit,"[array([1522.22941832, -289.0137375 , 1007.20229844])]","[array([ 0.07083784,  0.18169052,  0.23034459,  2.52089141, -1.33225482,
       -3.04233317])]"
5000,movej_fit,"[array([1530.83684477, -293.35021755, 1003.63388343])]","[array([ 0.07076245,  0.19258576,  0.22419779,  2.51273952, -1.33314558,
       -3.04506011])]"
5500,movej_fit,"[array([1539.44440667, -297.64916808, 1000.02011843])]","[array([ 0.07096636,  0.20375636,  0.21804454,  2.50392533, -1.33447705,
       -3.04807848])]"
6000,movej_fit,"[array([1548.0502369 , -301.91187213,  996.36041996])]","[array([ 0.07143385,  0.21519465,  0.21189464,  2.49446129, -1.33624058,
       -3.05137673])]"
6500,movej_fit,"[array([1556.65311455, -306.1402095 ,  992.65394887])]","[array([ 0.07214731,  0.2268925 ,  0.20575782,  2.48436329, -1.33842524,
       -3.05494155])]"
7000,movej_fit,"[array([1565.25147827, -310.33616951,  988.90007288])]","[array([ 0.07308707,  0.23883978,  0.19964419,  2.47365223, -1.34101733,
       -3.05875742])]"
7500,movej_fit,"[array([1573.84356927, -314.50192758,  985.09836786])]","[array([ 0.07423136,  0.25102425,  0.19356385,  2.46235443, -1.34400004,
       -3.06280647])]"
8000,movej_fit,"[array([1582.42730326, -318.63978333,  981.24874617])]","[array([ 0.07555625,  0.26343104,  0.18752665,  2.45050241, -1.34735307,
       -3.06706828])]"
8500,movej_fit,"[array([1591.00216906, -322.7530641 ,  977.35067224])]","[array([ 0.07703598,  0.27604521,  0.18154047,  2.43813257, -1.35105319,
       -3.07152079])]"
9000,movej_fit,"[array([1599.56481032, -326.84398809,  973.40524825])]","[array([ 0.07864237,  0.28884501,  0.17561389,  2.42529183, -1.35507217,
       -3.07613799])]"
9500,movej_fit,"[array([1608.11451604, -330.91627813,  969.41281646])]","[array([ 0.08034596,  0.30180985,  0.16975194,  2.41202987, -1.35937911,
       -3.08089282])]"
10000,movej_fit,"[array([1616.6504974 , -334.97382163,  965.37428013])]","[array([ 0.08211584,  0.31491617,  0.16395756,  2.39840303, -1.36393926,
       -3.08575586])]"
10500,movej_fit,"[array([1625.16981856, -339.01965619,  961.29221986])]","[array([ 0.08391959,  0.32813416,  0.15823256,  2.3844776 , -1.36871294,
       -3.09069426])]"
11000,movej_fit,"[array([1633.67323998, -343.05870191,  957.16823067])]","[array([ 0.08572487,  0.34143676,  0.15257331,  2.37032017, -1.3736589 ,
       -3.09567526])]"
11500,movej_fit,"[array([1642.15967894, -347.09507963,  953.00568179])]","[array([ 0.08749877,  0.35479126,  0.14697417,  2.35600607, -1.37873156,
       -3.10066327])]"
12000,movej_fit,"[array([1650.62760936, -351.13271681,  948.80920852])]","[array([ 0.08920856,  0.36816147,  0.1414263 ,  2.34161669, -1.383882  ,
       -3.10562093])]"
12500,movej_fit,"[array([1659.07844792, -355.17689989,  944.5831583 ])]","[array([ 0.09082294,  0.38151335,  0.13591532,  2.32723298, -1.3890605 ,
       -3.11051138])]"
13000,movej_fit,"[array([1667.51221024, -359.2321414 ,  940.33386365])]","[array([ 0.09231157,  0.39480835,  0.13042417,  2.31294209, -1.39421429,
       -3.11529602])]"
13500,movej_fit,"[array([1675.9307219 , -363.30365155,  936.06816755])]","[array([ 0.09364606,  0.40800877,  0.12493112,  2.29883118, -1.39928996,
       -3.11993662])]"
14000,movej_fit,"[array([1684.33497807, -367.39600547,  931.79486419])]","[array([ 0.09479987,  0.42107385,  0.11941171,  2.28499115, -1.40423224,
       -3.1243941 ])]"
14500,movej_fit,"[array([1692.7269557 , -371.51395533,  927.52387676])]","[array([ 0.09574886,  0.43396292,  0.11383789,  2.27151299, -1.40898553,
       -3.1286297 ])]"
15000,movej_fit,"[array([1701.1105446 , -375.66285266,  923.26584484])]","[array([ 0.09647137,  0.44663698,  0.10817773,  2.25848582, -1.41349466,
       -3.13260558])]"
15500,movej_fit,"[array([1709.49028856, -379.84801518,  919.03280633])]","[array([ 0.09694798,  0.45905699,  0.10239664,  2.24599891, -1.41770429,
       -3.13628401])]"
16000,movej_fit,"[array([1717.86796238, -384.07298538,  914.83990639])]","[array([ 0.09716122,  0.47117896,  0.09646023,  2.23414648, -1.42155749,
       -3.13962599])]"
16500,movej_fit,"[array([1726.25046207, -388.34350033,  910.70135636])]","[array([ 0.0970957 ,  0.48296578,  0.0903292 ,  2.22301626, -1.42499958,
       -3.14259443])]"
17000,movej_fit,"[array([1734.64229105, -392.66376978,  906.63408227])]","[array([ 0.09673727,  0.49437627,  0.08396496,  2.21270097, -1.4279745 ,
       -3.14515068])]"
17500,movej_fit,"[array([1743.04835429, -397.03794683,  902.65608233])]","[array([ 0.09607275,  0.50536949,  0.0773281 ,  2.20329461, -1.43042607,
       -3.14725548])]"
