breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1798.29110308, -356.0741373 , 1106.83168887])]","[array([-0.5100181 ,  0.18661451,  0.7638912 ,  2.16673092,  1.44229644,
       -2.99938108])]"
1665,moveabsj,"[array([1775.79507185,  -36.42339854, 1156.00105904])]","[array([-0.3435924 ,  0.1098694 ,  0.8140209 ,  2.1694646 ,  1.44472071,
       -3.05861646])]"
3332,moveabsj,"[array([1770.71209962,   -9.97087629, 1164.11707977])]","[array([-0.32936704,  0.10259855,  0.81809396,  2.17165707,  1.44860814,
       -3.06593755])]"
4999,moveabsj,"[array([1764.78287127,   15.25496536, 1176.42171813])]","[array([-0.31559488,  0.09416271,  0.82184022,  2.175617  ,  1.45519348,
       -3.07464546])]"
6665,moveabsj,"[array([1758.07625819,   39.4112522 , 1192.31502847])]","[array([-0.30209466,  0.08503905,  0.82536596,  2.18155434,  1.46466531,
       -3.0852367 ])]"
8332,moveabsj,"[array([1750.78485547,   62.79296427, 1211.48369641])]","[array([-0.2886508 ,  0.07540344,  0.82839421,  2.18920383,  1.47651508,
       -3.09731788])]"
9999,moveabsj,"[array([1743.04987158,   85.77064211, 1233.02460258])]","[array([-0.27499796,  0.06569783,  0.83088587,  2.19835013,  1.49029229,
       -3.11075737])]"
11665,moveabsj,"[array([1734.95330208,  108.63166222, 1255.68167945])]","[array([-0.26100079,  0.05628818,  0.8329094 ,  2.20844965,  1.50519947,
       -3.12509252])]"
13332,moveabsj,"[array([1726.54406494,  131.76725952, 1277.93224672])]","[array([-0.24654103,  0.04748799,  0.8346562 ,  2.21874077,  1.52025176,
       -3.1396526 ])]"
14999,moveabsj,"[array([1717.85650185,  155.37718789, 1298.0775769 ])]","[array([-0.23174268,  0.03928687,  0.8364053 ,  2.22804318,  1.53386652,
       -3.15324721])]"
16665,moveabsj,"[array([1708.71973371,  179.42208788, 1314.50068332])]","[array([-0.21687722,  0.03166052,  0.83880698,  2.23551629,  1.54512897,
       -3.16521538])]"
18332,moveabsj,"[array([1698.96731253,  203.83097446, 1325.73949362])]","[array([-0.20227879,  0.02437549,  0.84249167,  2.24020118,  1.55294   ,
       -3.17475544])]"
19999,moveabsj,"[array([1688.39738434,  228.35488744, 1330.1055981 ])]","[array([-0.18839647,  0.01742107,  0.84821446,  2.24115835,  1.55656273,
       -3.18138609])]"
21665,moveabsj,"[array([1676.94984078,  252.86581363, 1327.11302345])]","[array([-0.17570198,  0.00913113,  0.85603699,  2.23677921,  1.55262876,
       -3.18232203])]"
23332,moveabsj,"[array([1664.51141341,  277.46305382, 1313.9420052 ])]","[array([-1.64316875e-01,  9.47450269e-04,  8.66687753e-01,  2.22624035e+00,
        1.54165530e+00, -3.17802352e+00])]"
24999,moveabsj,"[array([1651.52379799,  303.097236  , 1288.70236364])]","[array([-0.15371622, -0.0069963 ,  0.87961173,  2.20806037,  1.52056534,
       -3.1663653 ])]"
26665,moveabsj,"[array([1638.80031684,  331.42124076, 1250.72362881])]","[array([-0.14245881, -0.01339758,  0.89287357,  2.18146509,  1.48757745,
       -3.14595465])]"
28332,moveabsj,"[array([1627.64095025,  364.47772926, 1203.07440675])]","[array([-0.12798975, -0.01612384,  0.9029717 ,  2.14822292,  1.44396056,
       -3.11799079])]"
29999,moveabsj,"[array([1619.1166408 ,  401.75939382, 1155.84739134])]","[array([-0.10893937, -0.01460424,  0.90666868,  2.11445967,  1.39706007,
       -3.08780701])]"
