breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-346.87398707,  482.76091838,  588.64385442])]","[array([ 1.29198558,  0.32450235,  0.97222615, -0.58619271, -0.64935179,
        5.57122607])]"
1665,movel,"[array([-353.83338159,  480.56845146,  591.83394453])]","[array([ 1.30849399,  0.3222702 ,  0.95995331, -0.58378766, -0.64748597,
        5.57061059])]"
3332,movel,"[array([-358.56213865,  480.38741685,  597.91763641])]","[array([ 1.3218383 ,  0.31717191,  0.94406299, -0.57853667, -0.64720594,
        5.57002422])]"
4999,movel,"[array([-361.1545716 ,  482.06350442,  606.97301914])]","[array([ 1.33196213,  0.30923907,  0.9246185 , -0.57049543, -0.64850483,
        5.56930534])]"
6665,movel,"[array([-361.76735494,  485.28900418,  618.97353726])]","[array([ 1.33891448,  0.29862726,  0.90174449, -0.55979589, -0.65128718,
        5.56821245])]"
8332,movel,"[array([-360.69222218,  489.55802529,  633.71656153])]","[array([ 1.34295019,  0.28565319,  0.87569567, -0.54673196, -0.65538983,
        5.56643174])]"
9999,movel,"[array([-358.45071412,  494.12425083,  650.67595867])]","[array([ 1.34465233,  0.27088493,  0.84706732, -0.53191496, -0.66059739,
        5.56363597])]"
11665,movel,"[array([-355.8441387 ,  498.06550087,  668.96431361])]","[array([ 1.34506105,  0.2551386 ,  0.81686639, -0.5163099 , -0.66667465,
        5.55961731])]"
13332,movel,"[array([-353.86907191,  500.47491126,  687.41942341])]","[array([ 1.34564664,  0.23940739,  0.78647619, -0.50111473, -0.67336849,
        5.55446138])]"
14999,movel,"[array([-353.52211782,  500.69656824,  704.67422588])]","[array([ 1.34810578,  0.22485929,  0.75768668, -0.48760418, -0.68029283,
        5.54868434])]"
16665,movel,"[array([-355.57569004,  498.50855074,  719.33988053])]","[array([ 1.35406478,  0.21275418,  0.73247832, -0.47689155, -0.68681425,
        5.54316775])]"
18332,movel,"[array([-360.52657068,  494.07706567,  730.07434368])]","[array([ 1.36491806,  0.20441804,  0.71286931, -0.46988058, -0.6920058 ,
        5.53893811])]"
19999,movel,"[array([-368.73634847,  487.7199044 ,  735.44549725])]","[array([ 1.3818796 ,  0.20132819,  0.70101057, -0.46745991, -0.69467863,
        5.53697725])]"
21665,movel,"[array([-380.71792367,  479.48824755,  733.81511177])]","[array([ 1.40628806,  0.20514109,  0.69916722, -0.47071469, -0.69355344,
        5.53805073])]"
23332,movel,"[array([-397.46570162,  468.53760192,  723.15710548])]","[array([ 1.44002387,  0.21775843,  0.70966464, -0.48118441, -0.68747103,
        5.54245772])]"
24999,movel,"[array([-420.44783064,  452.40981281,  701.0684188 ])]","[array([ 1.48544952,  0.2412734 ,  0.73435427, -0.50088643, -0.67557596,
        5.54937667])]"
26665,movel,"[array([-450.51390597,  427.04209226,  665.58737866])]","[array([ 1.54404407,  0.27764269,  0.77309354, -0.53134725, -0.65709973,
        5.55606845])]"
28332,movel,"[array([-485.06024786,  389.72256523,  618.05615036])]","[array([ 1.61287383,  0.32713148,  0.82121016, -0.57058137, -0.63108105,
        5.5590288 ])]"
29999,movel,"[array([-517.00450569,  344.4506803 ,  566.62159567])]","[array([ 1.68228397,  0.38438244,  0.86851642, -0.61088992, -0.59880609,
        5.55789745])]"
31665,movel,"[array([-540.45500731,  301.06668252,  522.66622186])]","[array([ 1.74135862,  0.43786187,  0.90462334, -0.64391579, -0.56664119,
        5.55547439])]"
33332,movel,"[array([-554.81039601,  268.42050339,  493.9214707 ])]","[array([ 1.78411861,  0.47580181,  0.92397452, -0.66578147, -0.54280025,
        5.55350882])]"
34999,movel,"[array([-562.01426011,  252.31236038,  484.65791281])]","[array([ 1.80808623,  0.48931799,  0.92386313, -0.6751341 , -0.53376602,
        5.55212577])]"
36665,movel,"[array([-562.97746917,  256.6460699 ,  498.60344889])]","[array([ 1.81053931,  0.47214582,  0.90170358, -0.67017103, -0.54369304,
        5.55127868])]"
38332,movel,"[array([-555.93499216,  281.76855421,  538.74460885])]","[array([ 1.78843799,  0.4230229 ,  0.85503049, -0.64849317, -0.57267975,
        5.55112892])]"
39999,movel,"[array([-537.98170645,  319.82636097,  603.13031255])]","[array([ 1.74297321,  0.35004054,  0.78353549, -0.61008229, -0.61432744,
        5.55028765])]"
41665,movel,"[array([-513.54596563,  350.519498  ,  674.71383326])]","[array([ 1.69020777,  0.27459568,  0.69944041, -0.56590565, -0.6567556 ,
        5.54371097])]"
43332,movel,"[array([-495.90838066,  358.95759937,  728.82811016])]","[array([ 1.65582226,  0.21826297,  0.62893242, -0.53395692, -0.69150401,
        5.53197359])]"
44999,movel,"[array([-491.36879885,  352.5275028 ,  754.64971926])]","[array([ 1.65065923,  0.1910885 ,  0.59203033, -0.52095223, -0.71165537,
        5.52501519])]"
46665,movel,"[array([-500.19573388,  341.89049213,  748.34418443])]","[array([ 1.67501339,  0.19961374,  0.59941129, -0.52796845, -0.70914644,
        5.52922607])]"
48332,movel,"[array([-523.38403011,  322.67635268,  707.04310004])]","[array([ 1.73133492,  0.2464353 ,  0.65138195, -0.55749388, -0.68367398,
        5.54243004])]"
49999,movel,"[array([-557.69102572,  278.10248936,  633.32054876])]","[array([ 1.81910962,  0.32842367,  0.73339675, -0.60950627, -0.64176007,
        5.55392454])]"
