breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1477.66759171,  683.32235825, 1725.39107701])]","[array([ 0.49721792,  0.03269651, -0.32429152, -0.12576191,  1.41367973,
       -0.22935735])]"
1665,moveabsj,"[array([1498.29943754,  706.87991718, 1715.17360927])]","[array([ 0.50312636,  0.0510325 , -0.33242125, -0.12427415,  1.3977982 ,
       -0.22955224])]"
3332,moveabsj,"[array([1520.4884548 ,  728.71746129, 1704.16125259])]","[array([ 0.50891663,  0.06960242, -0.340012  , -0.12613362,  1.38088845,
       -0.23159857])]"
4999,moveabsj,"[array([1544.00945826,  748.9011506 , 1692.26353484])]","[array([ 0.51465897,  0.08834481, -0.34696958, -0.13129553,  1.36312757,
       -0.2354675 ])]"
6665,moveabsj,"[array([1568.61272872,  767.61913886, 1679.40408894])]","[array([ 0.52044243,  0.10722268, -0.35322247, -0.13961389,  1.34466409,
       -0.24108444])]"
8332,moveabsj,"[array([1594.03007758,  785.19836079, 1665.54565365])]","[array([ 0.5263569 ,  0.12623823, -0.35877035, -0.15078673,  1.32562919,
       -0.24829012])]"
9999,moveabsj,"[array([1619.88982118,  802.03651324, 1650.79041193])]","[array([ 0.5324381 ,  0.14537263, -0.36373395, -0.1642369 ,  1.30623114,
       -0.25675557])]"
11665,moveabsj,"[array([1645.80358092,  818.59519084, 1635.41796883])]","[array([ 0.53863296,  0.16462992, -0.36844503, -0.17906831,  1.2867345 ,
       -0.26594038])]"
13332,moveabsj,"[array([1671.49594078,  835.34256644, 1619.89949178])]","[array([ 0.544772  ,  0.18407569, -0.37349928, -0.19412281,  1.26740095,
       -0.27511123])]"
14999,moveabsj,"[array([1696.79034643,  852.59562756, 1604.96772426])]","[array([ 0.55053379,  0.20375137, -0.37971878, -0.20802598,  1.24850681,
       -0.28336532])]"
16665,moveabsj,"[array([1721.69221534,  870.49177978, 1591.56448815])]","[array([ 0.55548078,  0.22368046, -0.38807682, -0.21934013,  1.23025127,
       -0.28973724])]"
18332,moveabsj,"[array([1746.37311538,  889.02890223, 1580.78884886])]","[array([ 0.55911065,  0.24386692, -0.39962295, -0.22662708,  1.21272796,
       -0.29325778])]"
19999,moveabsj,"[array([1770.91859019,  908.0854976 , 1573.92344357])]","[array([ 0.56089337,  0.2641879 , -0.41538603, -0.22832491,  1.19607536,
       -0.29290306])]"
21665,moveabsj,"[array([1795.15152246,  927.65260651, 1572.34616857])]","[array([ 0.56036932,  0.28443372, -0.43634219, -0.22261509,  1.18056555,
       -0.28753581])]"
23332,moveabsj,"[array([1818.41391627,  948.12678849, 1577.40715081])]","[array([ 0.55726222,  0.30436591, -0.46337134, -0.20727312,  1.16670454,
       -0.27584402])]"
24999,moveabsj,"[array([1839.44405884,  970.41127526, 1590.15666294])]","[array([ 0.55159304,  0.32372694, -0.49695199, -0.17990373,  1.15519699,
       -0.25655635])]"
26665,moveabsj,"[array([1856.92895315,  995.56824435, 1610.83483934])]","[array([ 0.54372598,  0.34228613, -0.5364994 , -0.13910111,  1.14626863,
       -0.2292771 ])]"
28332,moveabsj,"[array([1870.86230552, 1023.61433135, 1638.02154201])]","[array([ 0.5344114 ,  0.35977838, -0.57922758, -0.08710522,  1.13833178,
       -0.19614633])]"
29999,moveabsj,"[array([1883.70573312, 1052.20786441, 1667.7531399 ])]","[array([ 0.52486588,  0.37612975, -0.62023873, -0.03222184,  1.12802674,
       -0.16272871])]"
31665,moveabsj,"[array([1899.0762123 , 1077.51380681, 1694.93108777])]","[array([ 0.51626881,  0.39191669, -0.65588864,  0.01483887,  1.11333508,
       -0.13503675])]"
33332,moveabsj,"[array([1919.10036283, 1096.70167263, 1716.03180884])]","[array([ 0.50932246,  0.40782358, -0.68545668,  0.04688656,  1.09489413,
       -0.11647861])]"
34999,moveabsj,"[array([1943.94497326, 1108.77658355, 1728.94534347])]","[array([ 0.50469921,  0.42407913, -0.7091097 ,  0.05999029,  1.07433093,
       -0.10876046])]"
36665,moveabsj,"[array([1973.03021396, 1113.17680664, 1731.2415949 ])]","[array([ 0.5030699 ,  0.44060743, -0.72614167,  0.05086762,  1.05340466,
       -0.11348301])]"
38332,moveabsj,"[array([2006.65267957, 1109.19779482, 1720.09539942])]","[array([ 0.50448463,  0.45789799, -0.73551035,  0.01727927,  1.03324618,
       -0.13183719])]"
39999,moveabsj,"[array([2045.2103969, 1098.2897329, 1694.5472266])]","[array([ 0.50843024,  0.47740647, -0.7376484 , -0.03844148,  1.01390306,
       -0.16260708])]"
41665,moveabsj,"[array([2085.10465805, 1086.24880598, 1661.62099445])]","[array([ 0.51331148,  0.49963403, -0.73760267, -0.10152816,  0.9963658 ,
       -0.19726921])]"
43332,moveabsj,"[array([2120.20954161, 1079.61077085, 1636.68942509])]","[array([ 0.51654897,  0.5222473 , -0.74412138, -0.14966539,  0.98189654,
       -0.22242992])]"
44999,moveabsj,"[array([2148.60768402, 1079.29589654, 1632.72631176])]","[array([ 0.51571648,  0.54138177, -0.76167703, -0.17024481,  0.96777914,
       -0.23098059])]"
46665,moveabsj,"[array([2169.44545293, 1082.29560745, 1656.48209378])]","[array([ 0.50879325,  0.55311973, -0.78928803, -0.15778061,  0.95124007,
       -0.22074928])]"
48332,moveabsj,"[array([2179.08793873, 1089.99703581, 1706.71037675])]","[array([ 0.49680444,  0.55655958, -0.82423491, -0.11037586,  0.93346601,
       -0.19117158])]"
49999,moveabsj,"[array([2177.81931672, 1103.51904595, 1774.88368056])]","[array([ 0.48171458,  0.55543932, -0.86405499, -0.03391056,  0.91627264,
       -0.14542078])]"
