breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([808.48516672, 789.46427358, 278.36709606])]","[array([ 0.56790915, -0.08223304, -0.19392619, -0.46643329, -1.52810069,
        0.83877665])]"
714,movel_fit,"[array([819.52808621, 767.19770958, 275.01852461])]","[array([ 0.55867261, -0.08024547, -0.19062025, -0.44103197, -1.5384571 ,
        0.84081133])]"
1433,movel_fit,"[array([830.04172968, 744.36694259, 272.53516476])]","[array([ 0.55010315, -0.08987947, -0.19636311, -0.4143424 , -1.53712309,
        0.848556  ])]"
2158,movel_fit,"[array([839.99461099, 720.97949902, 270.95642444])]","[array([ 0.54215376, -0.10089624, -0.20258031, -0.38634816, -1.53544426,
        0.85703338])]"
2885,movel_fit,"[array([849.30181771, 697.20636555, 270.31390187])]","[array([ 0.53465046, -0.11216506, -0.20845751, -0.35766783, -1.53462844,
        0.86546554])]"
3616,movel_fit,"[array([857.96746466, 673.03635664, 270.61476641])]","[array([ 0.52748283, -0.12282459, -0.21332836, -0.32844344, -1.53562949,
        0.87340032])]"
4351,movel_fit,"[array([865.97455488, 648.52234483, 271.86388194])]","[array([ 0.52057576, -0.13365391, -0.21788435, -0.29888571, -1.53758058,
        0.88115775])]"
5098,movel_fit,"[array([873.3938468 , 623.451407  , 274.07963503])]","[array([ 0.51380016, -0.1448914 , -0.22230327, -0.26883002, -1.54034173,
        0.88886916])]"
5862,movel_fit,"[array([880.24528926, 597.70540311, 277.30085876])]","[array([ 0.50700507, -0.15671836, -0.22672086, -0.23831878, -1.54380158,
        0.89657395])]"
6644,movel_fit,"[array([886.51166626, 571.30208802, 281.55228861])]","[array([ 0.50002651, -0.16894124, -0.23098699, -0.20762119, -1.54814878,
        0.90410499])]"
7450,movel_fit,"[array([892.21740248, 544.09031877, 286.88574004])]","[array([ 0.49261939, -0.18151001, -0.23502046, -0.17685524, -1.55350554,
        0.9113611 ])]"
8287,movel_fit,"[array([897.38107761, 515.88583427, 293.37818419])]","[array([ 0.48453246, -0.19450848, -0.23881194, -0.14608844, -1.55986802,
        0.91831875])]"
9159,movel_fit,"[array([901.99561318, 486.60720297, 301.09521359])]","[array([ 0.47557163, -0.20820492, -0.24249531, -0.11544304, -1.56694921,
        0.92506945])]"
10075,movel_fit,"[array([906.07831056, 456.00689558, 310.15337527])]","[array([ 0.46552846, -0.22312201, -0.24633971, -0.08479208, -1.57429225,
        0.93186889])]"
11044,movel_fit,"[array([909.6344013 , 423.84157634, 320.69020393])]","[array([ 0.4541922 , -0.23987359, -0.25065309, -0.05400565, -1.58131995,
        0.93902852])]"
12076,movel_fit,"[array([912.66946372, 389.83845447, 332.86714466])]","[array([ 0.44128307, -0.25905108, -0.25568697, -0.02299503, -1.58744303,
        0.94684291])]"
13191,movel_fit,"[array([915.21189968, 353.40148386, 346.98578712])]","[array([ 0.42625556, -0.28131738, -0.26161031,  0.00843529, -1.59214041,
        0.95559507])]"
14418,movel_fit,"[array([917.29419879, 313.65552449, 363.50651826])]","[array([ 0.40818964, -0.30744105, -0.26850761,  0.04038151, -1.59479751,
        0.96554921])]"
15803,movel_fit,"[array([918.96980823, 269.19750456, 383.17491358])]","[array([ 0.38548207, -0.33856973, -0.27645902,  0.07280133, -1.59439335,
        0.97706339])]"
17445,movel_fit,"[array([920.36612352, 216.9665031 , 407.58353757])]","[array([ 0.35467237, -0.37709334, -0.28567862,  0.10557472, -1.58882416,
        0.9908704 ])]"
19569,movel_fit,"[array([921.83659173, 149.98306614, 440.37259429])]","[array([ 0.30682968, -0.42786588, -0.29625096,  0.1369417 , -1.57292482,
        1.00819267])]"
21648,movel_fit,"[array([923.69739992,  84.82971393, 473.24772336])]","[array([ 0.24795067, -0.47658883, -0.30399618,  0.15120528, -1.54677269,
        1.02255822])]"
23387,movel_fit,"[array([926.27326786,  30.36982471, 500.74204205])]","[array([ 0.18727141, -0.5153021 , -0.30851179,  0.14751262, -1.5156676 ,
        1.0319138 ])]"
24815,movel_fit,"[array([929.43283766, -14.42945675, 523.0424993 ])]","[array([ 0.12803796, -0.54511362, -0.3112316 ,  0.13106888, -1.48315282,
        1.03711822])]"
