breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([1886.55210605,  245.73831074, -324.24060371])]","[array([-2.54240326,  0.12937835, -2.87951677, -1.79104677, -1.17157644,
        1.90574836])]"
5968,movec_fit,"[array([1791.16342858,  203.38241665, -331.70185041]), array([1691.23679973,  177.61298063, -349.00204605])]","[array([-2.52900091,  0.09479917, -2.89227597, -1.75677392, -1.1759647 ,
        1.89994113]), array([-2.51279782,  0.05342861, -2.90308047, -1.73632716, -1.178046  ,
        1.90956476])]"
9067,movec_fit,"[array([1638.69033138,  170.41767724, -361.20612277]), array([1586.24710729,  167.27563748, -375.27241869])]","[array([-2.53232942,  0.10807766, -2.87966682, -1.76902058, -1.18335084,
        1.8974207 ]), array([-2.50072294,  0.01568775, -2.91578759, -1.71432804, -1.15463785,
        1.90380212])]"
11974,movec_fit,"[array([1537.26581775,  167.19569358, -389.68444018]), array([1488.70130502,  169.82934603, -405.10675722])]","[array([-2.53246617,  0.10884161, -2.87875058, -1.77000259, -1.18397284,
        1.89737945]), array([-2.49202409, -0.02873662, -2.91890297, -1.71251553, -1.13580301,
        1.90688192])]"
14671,movec_fit,"[array([1443.92163435,  173.99469075, -419.99493005]), array([1399.51365397,  179.8108353 , -435.32479619])]","[array([-2.53262512,  0.10968668, -2.87778034, -1.77111452, -1.18461242,
        1.89737178]), array([-2.48447222, -0.06881487, -2.91638975, -1.70810738, -1.11476247,
        1.90421776])]"
16771,movec_fit,"[array([1365.04294686,  185.07100112, -447.43083241]), array([1330.78307026,  191.02008499, -459.60227819])]","[array([-2.53321421,  0.11224257, -2.87535878, -1.77452123, -1.18597246,
        1.89762813]), array([-2.47838929, -0.10052768, -2.91211412, -1.70816066, -1.09958723,
        1.90482953])]"
18115,movel_f cit,"[array([1286.92943208,  199.14646813, -475.05649375])]","[array([-2.47452361, -0.11994373, -2.90880934, -1.70735735, -1.08926493,
        1.90432771])]"
21262,movec_fit,"[array([1235.71864307,  209.44725996, -493.12156008]), array([1184.48372409,  220.05508652, -510.82959122])]","[array([-2.53229578,  0.10788706, -2.8798989 , -1.76877989, -1.18319173,
        1.89743554]), array([-2.4651934 , -0.1624302 , -2.90075892, -1.70505488, -1.06378969,
        1.90201035])]"
24162,movec_fit,"[array([1137.03159051,  229.70395322, -526.66766819]), array([1089.33501028,  239.05722705, -541.70270812])]","[array([-2.53247054,  0.10886557, -2.87872233, -1.7700338 , -1.18399181,
        1.89737866]), array([-2.45518401, -0.2006054 , -2.89208567, -1.70479647, -1.04579857,
        1.90422214])]"
28078,movec_fit,"[array([1024.17122658,  250.40398975, -560.54264922]), array([ 958.1402706 ,  259.57846728, -577.1589549 ])]","[array([-2.53171753,  0.10476554, -2.88365763, -1.76514256, -1.18062666,
        1.89786424]), array([-2.44035953, -0.24397424, -2.88306218, -1.69419208, -1.02395511,
        1.90464335])]"
31271,movec_fit,"[array([ 903.44872444,  264.50031548, -588.41838692]), array([ 848.19735586,  266.74954361, -597.38829976])]","[array([-2.53226359,  0.10770436, -2.88012215, -1.76855094, -1.18303832,
        1.89745134]), array([-2.42575979, -0.27861899, -2.87522284, -1.68693014, -1.0238303 ,
        1.91690653])]"
34660,movec_fit,"[array([ 789.06891575,  265.09357737, -603.57413333]), array([ 730.00323675,  258.93053101, -606.07863222])]","[array([-2.5321254 ,  0.10692343, -2.88107972, -1.7675935 , -1.18237857,
        1.89753462]), array([-2.41025471, -0.3063326 , -2.87209679, -1.66841005, -1.03241595,
        1.93008801])]"
40864,movec_fit,"[array([ 624.47286744,  233.6865781 , -599.27653324]), array([ 526.73489591,  191.06712864, -578.39869215])]","[array([-2.52855927,  0.09347054, -2.8930751 , -1.75588811, -1.17569363,
        1.9002308 ]), array([-2.38227296, -0.34383703, -2.89063648, -1.6397213 , -1.08711884,
        1.99043086])]"
43826,movec_fit,"[array([ 483.69013248,  165.57579329, -564.17301064]), array([ 443.37641148,  137.31928532, -547.61668219])]","[array([-2.53242574,  0.1086183 , -2.87901548, -1.7697129 , -1.18379431,
        1.89738834]), array([-2.36281266, -0.36482944, -2.89234449, -1.58694477, -1.14661587,
        2.0215003 ])]"
46842,movec_fit,"[array([ 404.71512956,  106.33810315, -528.89377606]), array([ 368.67246339,   73.42918138, -508.5080718 ])]","[array([-2.53238724,  0.10840343, -2.87927286, -1.76943614, -1.18361972,
        1.89739941]), array([-2.3508208 , -0.37989986, -2.91954823, -1.54582069, -1.1856756 ,
        2.05718558])]"
49998,movec_fit,"[array([ 333.17800555,   37.43038642, -485.8348389 ]), array([ 3.00087865e+02,  6.00914780e-02, -4.61948041e+02])]","[array([-2.53228878,  0.10784735, -2.87994737, -1.76872997, -1.18315845,
        1.89743885]), array([-2.3420309 , -0.410701  , -2.93008891, -1.48002876, -1.23130844,
        2.08009598])]"
