breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-406.67012961, 1470.21048611, 1306.22662261])]","[array([-0.84496685, -0.51041724, -2.94132737, -1.7902083 , -1.54455483,
        0.17631437])]"
999,movel,"[array([-395.63136787, 1469.18973   , 1319.09562849])]","[array([-0.85041241, -0.50392029, -2.94025914, -1.79047957, -1.54675844,
        0.17612992])]"
1999,movel,"[array([-384.51239657, 1467.41317506, 1331.09038745])]","[array([-0.85545834, -0.49752248, -2.93954899, -1.79011804, -1.54978123,
        0.17560798])]"
2999,movel,"[array([-373.37782628, 1464.88634638, 1342.22984762])]","[array([-0.86007865, -0.49121579, -2.93918411, -1.78913418, -1.55361941,
        0.17475195])]"
3999,movel,"[array([-362.26305259, 1461.62164115, 1352.56225051])]","[array([-0.86426742, -0.48498275, -2.93914402, -1.7875445 , -1.55826455,
        0.17356865])]"
4999,movel,"[array([-351.19298628, 1457.63801446, 1362.14702023])]","[array([-0.86802879, -0.47880643, -2.939402  , -1.78537249, -1.56370221,
        0.17206976])]"
5999,movel,"[array([-340.18619746, 1452.96348893, 1371.05656719])]","[array([-0.87137662, -0.47267112, -2.93992351, -1.78265202, -1.56990743,
        0.17027341])]"
6999,movel,"[array([-329.25747466, 1447.63762212, 1379.38083408])]","[array([-0.87433495, -0.46656168, -2.94066472, -1.77943109, -1.57684011,
        0.1682059 ])]"
7999,movel,"[array([-318.42072092, 1441.71363874, 1387.23130107])]","[array([-0.8769378 , -0.46046252, -2.94157162, -1.77577517, -1.5844402 ,
        0.16590299])]"
8999,movel,"[array([-307.69186941, 1435.25953691, 1394.74326406])]","[array([-0.8792281 , -0.45435645, -2.94258046, -1.77176947, -1.59262404,
        0.16341053])]"
9999,movel,"[array([-297.09324123, 1428.35882262, 1402.07390777])]","[array([-0.88125512, -0.44822454, -2.94361966, -1.76751985, -1.60128086,
        0.16078448])]"
10999,movel,"[array([-286.65452205, 1421.10807951, 1409.39824003])]","[array([-0.88307149, -0.44204488, -2.94461402, -1.76315053, -1.61027369,
        0.1580893 ])]"
11999,movel,"[array([-276.41168977, 1413.61218173, 1416.90143864])]","[array([-0.88472984, -0.43579157, -2.9454906 , -1.75879883, -1.61944373,
        0.15539502])]"
12999,movel,"[array([-266.4064819 , 1405.98010382, 1424.76665488])]","[array([-0.88627932, -0.42943592, -2.9461853 , -1.75460921, -1.62861502,
        0.15277459])]"
13999,movel,"[array([-256.67909009, 1398.31693533, 1433.16569442])]","[array([-0.88776439, -0.42294529, -2.94664943, -1.75072476, -1.63760491,
        0.15029993])]"
14999,movel,"[array([-247.26388493, 1390.71983024, 1442.24830455])]","[array([-0.88922458, -0.41628512, -2.94685448, -1.74728131, -1.64623062,
        0.14803991])]"
15999,movel,"[array([-238.17897347, 1383.2708315 , 1452.14143316])]","[array([-0.89069715, -0.40941656, -2.94679441, -1.74440175, -1.6543195 ,
        0.14605817])]"
16999,movel,"[array([-229.42639279, 1376.03941087, 1462.94590116])]","[array([-0.89221956, -0.4023001 , -2.94648468, -1.74219731, -1.66170767,
        0.14441466])]"
17999,movel,"[array([-220.99007925, 1369.08359144, 1474.74360526])]","[array([-0.893833  , -0.39489513, -2.94595843, -1.74077065, -1.66823918,
        0.14316756])]"
