breakpoints,primitives,points
0,movej_fit,"[array([ 0.62750151,  0.17980411,  0.51958605,  1.60528075, -0.89343004,
        0.91744834])]"
3094,movec_fit,"[array([2312.7056889 ,  950.72156218,  700.04063677]), array([2279.81585015,  810.29024121,  676.48787221])]"
5522,movec_fit,"[array([2244.92290947,  696.23990648,  675.7311713 ]), array([2205.82242816,  584.31732704,  687.84135988])]"
7172,movel_fit,"[array([2151.92407081,  429.56182706,  710.04878704])]"
10204,movec_fit,"[array([2105.04114603,  284.41124717,  734.65978641]), array([2067.60507559,  135.57480938,  751.60645313])]"
12495,movec_fit,"[array([2051.18313038,   19.10199026,  750.83545645]), array([2047.89634494,  -97.30774679,  734.27765914])]"
14235,movec_fit,"[array([2057.77193947, -180.51669918,  706.88044449]), array([2077.19402148, -257.30765523,  668.40983521])]"
16360,movec_fit,"[array([2112.53923479, -337.11300754,  609.99901382]), array([2158.17150115, -404.47030348,  543.5859803 ])]"
17164,movec_fit,"[array([2175.19513973, -429.38818194,  517.93826525]), array([2194.11445497, -451.70675528,  491.39282202])]"
17580,movel_fit,"[array([2215.84034237, -474.52189305,  463.06632373])]"
