breakpoints,primitives,points
0,movej_fit,"[array([ 0.62750007,  0.17975177,  0.51961085,  1.60530199, -0.89342989,
        0.91741297])]"
885,movel_fit,"[array([2322.06782003, 1010.60518694,  719.98691742])]"
1594,movel_fit,"[array([2312.6732753 ,  947.95304069,  698.37401085])]"
2267,movel_fit,"[array([2300.17328763,  886.79354827,  684.24773989])]"
3058,movel_fit,"[array([2281.53336073,  813.65023806,  675.26138119])]"
3871,movel_fit,"[array([2258.89228377,  737.89417786,  673.51510496])]"
4861,movel_fit,"[array([2228.1945969 ,  645.60842059,  679.19915343])]"
6174,movel_fit,"[array([2184.88295041,  523.18101129,  694.33978429])]"
8215,movel_fit,"[array([2118.55122157,  331.0078705 ,  727.54452389])]"
9309,movel_fit,"[array([2088.1513584 ,  224.75379248,  743.86369153])]"
10184,movel_fit,"[array([2068.17787223,  137.64059016,  751.84048614])]"
10956,movel_fit,"[array([2055.10243038,   59.31250652,  753.69321755])]"
11606,movel_fit,"[array([2048.81509332,   -7.28009097,  749.6329061 ])]"
12272,movel_fit,"[array([2047.11625468,  -75.0609423 ,  739.7179789 ])]"
12872,movel_fit,"[array([2050.88979453, -134.52582113,  724.34433073])]"
13404,movel_fit,"[array([2058.1778096 , -184.98301415,  706.08828116])]"
14022,movel_fit,"[array([2071.20811454, -240.06587415,  679.60153246])]"
14632,movel_fit,"[array([2088.98281584, -289.45173281,  648.27773235])]"
15351,movel_fit,"[array([2114.48756731, -342.06403583,  607.31079849])]"
16157,movel_fit,"[array([2148.55562339, -393.5735675 ,  557.29504334])]"
17055,movel_fit,"[array([2188.44913076, -446.50034091,  499.93940423])]"
17580,movel_fit,"[array([2215.82720436, -474.50965714,  463.04696369])]"
