breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1090.26024874, -506.72183067,  994.0329225 ])]","[array([-0.585376  , -0.03233016,  0.40395121, -2.79232722, -1.61605803,
        0.9580262 ])]"
2243,movel_fit,"[array([1089.28443566, -460.65634703,  993.9871392 ])]","[array([-0.55827627, -0.05672881,  0.42729982, -2.78322913, -1.61048645,
        0.95357125])]"
4486,movel_fit,"[array([1087.11657787, -414.59758372,  994.07453858])]","[array([-0.53617454, -0.09388266,  0.45985404, -2.76532907, -1.59231747,
        0.93461746])]"
6750,movel_fit,"[array([1083.72715605, -368.18514203,  994.16429507])]","[array([-0.51862559, -0.14483077,  0.50221423, -2.73886505, -1.56146048,
        0.9017165 ])]"
9079,movel_fit,"[array([1079.04444681, -320.53949831,  994.04342078])]","[array([-0.50514693, -0.21079832,  0.55553524, -2.70293129, -1.51804662,
        0.85580295])]"
11631,movel_fit,"[array([1072.77454488, -268.46332917,  993.36695977])]","[array([-0.49425679, -0.29564532,  0.62325459, -2.65419369, -1.46087691,
        0.7987679 ])]"
14676,movel_fit,"[array([1064.5736844 , -206.43572087,  991.57453007])]","[array([-0.4822574 , -0.4048263 ,  0.70984938, -2.58657484, -1.38807611,
        0.74329986])]"
16614,movel_fit,"[array([1059.93237745, -166.90110319,  989.98493152])]","[array([-0.47131749, -0.47093487,  0.76186329, -2.5416534 , -1.34367556,
        0.74074442])]"
18174,movel_fit,"[array([1057.1567082, -134.9700706,  988.9863551])]","[array([-0.45859103, -0.51909314,  0.79889558, -2.50734028, -1.3102026 ,
        0.76220682])]"
19465,movel_fit,"[array([1055.89796162, -108.46694255,  988.46938652])]","[array([-0.44361155, -0.55323265,  0.82409857, -2.48288113, -1.28371294,
        0.80537593])]"
20622,movel_fit,"[array([1055.80528204,  -84.70110653,  988.45552666])]","[array([-0.42549041, -0.57742458,  0.840584  , -2.46703458, -1.26140308,
        0.86347931])]"
21715,movel_fit,"[array([1056.79856089,  -62.25478156,  988.86052311])]","[array([-0.40296953, -0.59210262,  0.84868147, -2.46061693, -1.24241064,
        0.93770991])]"
22791,movel_fit,"[array([1058.89693188,  -40.25047854,  989.65419528])]","[array([-0.3749679 , -0.5956471 ,  0.8472863 , -2.46545896, -1.22786181,
        1.0274213 ])]"
23885,movel_fit,"[array([1062.19977373,  -18.02974522,  990.73195117])]","[array([-0.34054471, -0.58440764,  0.83406234, -2.48373095, -1.22079781,
        1.13347047])]"
25032,movel_fit,"[array([1066.86107605,    5.05356558,  991.92014608])]","[array([-0.29931192, -0.55276223,  0.80567909, -2.51674284, -1.22694689,
        1.25569352])]"
26233,movel_fit,"[array([1072.88480862,   28.97788079,  992.85972359])]","[array([-0.25331915, -0.49529094,  0.75974818, -2.56173193, -1.25397726,
        1.38861748])]"
27444,movel_fit,"[array([1079.84201835,   52.88117788,  993.06638093])]","[array([-0.20794092, -0.41362189,  0.69952172, -2.60896311, -1.30522698,
        1.51832409])]"
28641,movel_fit,"[array([1087.18039249,   76.35253874,  992.20528386])]","[array([-0.1677422 , -0.31690994,  0.633074  , -2.64790713, -1.37545952,
        1.63217517])]"
29845,movel_fit,"[array([1094.55095214,   99.88432516,  990.15559979])]","[array([-0.13402607, -0.21500832,  0.56801613, -2.67337438, -1.45593731,
        1.72236176])]"
31054,movel_fit,"[array([1101.42112073,  123.56880659,  987.07718037])]","[array([-0.10713609, -0.11874324,  0.51153419, -2.68379551, -1.53651954,
        1.77803096])]"
32133,movel_fit,"[array([1106.6091004 ,  144.90284367,  983.90750799])]","[array([-0.08832221, -0.0435138 ,  0.47143833, -2.68131364, -1.60341182,
        1.78798457])]"
33040,movel_fit,"[array([1109.95785566,  163.08017373,  981.45265802])]","[array([-0.07520123,  0.01097747,  0.44495691, -2.67259782, -1.65573647,
        1.76245149])]"
33822,movel_fit,"[array([1111.89453095,  178.95892747,  979.84108503])]","[array([-0.06479208,  0.05113342,  0.4268322 , -2.66240629, -1.69798028,
        1.71451491])]"
34534,movel_fit,"[array([1112.73807955,  193.55137657,  979.03260045])]","[array([-0.05520166,  0.08117992,  0.41387642, -2.65303987, -1.73317207,
        1.65163468])]"
35212,movel_fit,"[array([1112.62258173,  207.47877789,  978.99265265])]","[array([-0.0453773 ,  0.10232256,  0.40479634, -2.64591875, -1.76166548,
        1.57901942])]"
35885,movel_fit,"[array([1111.56876908,  221.25893242,  979.70091094])]","[array([-0.03471098,  0.11400176,  0.39937316, -2.64184429, -1.78216517,
        1.50067778])]"
36582,movel_fit,"[array([1109.48946843,  235.36385809,  981.14762915])]","[array([-0.02290206,  0.11398915,  0.39838585, -2.64113418, -1.79172761,
        1.41995216])]"
37332,movel_fit,"[array([1106.18956186,  250.27188953,  983.30447193])]","[array([-0.00984086,  0.09816617,  0.40384329, -2.64363763, -1.78547531,
        1.33979222])]"
38161,movel_fit,"[array([1101.39296049,  266.39694503,  986.03633439])]","[array([ 0.00447363,  0.06025091,  0.41950577, -2.64865907, -1.75625124,
        1.26309476])]"
39053,movel_fit,"[array([1095.08848213,  283.38348455,  988.86244402])]","[array([ 0.01962768, -0.00454142,  0.44978448, -2.65455156, -1.69812962,
        1.19475384])]"
39957,movel_fit,"[array([1087.78177724,  300.33232722,  991.06317861])]","[array([ 0.03525319, -0.09250467,  0.49570153, -2.6589204 , -1.61416605,
        1.13841752])]"
40854,movel_fit,"[array([1079.99691206,  317.01125293,  992.20796825])]","[array([ 0.05175021, -0.19448724,  0.55432358, -2.6598165 , -1.51356868,
        1.09517213])]"
41761,movel_fit,"[array([1072.02830691,  333.86809529,  992.17941502])]","[array([ 0.06972995, -0.30239591,  0.62160722, -2.65567583, -1.40415025,
        1.06889881])]"
42657,movel_fit,"[array([1064.57771259,  350.68289204,  991.10332018])]","[array([ 0.08810335, -0.40486951,  0.69010552, -2.64471248, -1.29635436,
        1.06918894])]"
43451,movel_fit,"[array([1058.84450124,  365.89391169,  989.61422257])]","[array([ 0.10385856, -0.48827982,  0.74924484, -2.62720836, -1.20364105,
        1.10115733])]"
44124,movel_fit,"[array([1055.0079911 ,  379.12753813,  988.33274861])]","[array([ 0.11716783, -0.55326961,  0.79729388, -2.60686015, -1.12585996,
        1.15868663])]"
44711,movel_fit,"[array([1052.7064207 ,  390.94441005,  987.45820494])]","[array([ 0.13025122, -0.60497704,  0.83639721, -2.58808711, -1.05772634,
        1.23671196])]"
45252,movel_fit,"[array([1051.64960266,  402.01136588,  987.03531382])]","[array([ 0.14533769, -0.64646987,  0.86789502, -2.57521758, -0.99549976,
        1.3337072 ])]"
45776,movel_fit,"[array([1051.72139913,  412.77933436,  987.0705582 ])]","[array([ 0.16375668, -0.67736446,  0.89101483, -2.57271323, -0.93919932,
        1.44853033])]"
