breakpoints,primitives,points,q_bp
-1,movej_fit,"[array([1090.72045699, -556.71926568,  994.16585914])]","[array([-0.616806  , -0.01141334,  0.38240436, -2.79728149, -1.61572175,
        0.95589745])]"
0,movel_fit,"[array([1090.07606576, -506.24916851,  994.05052014])]","[array([-0.58564602, -0.03372978,  0.40512468, -2.79147846, -1.61494945,
        0.95691744])]"
505,movel_fit,"[array([1090.0040501 , -496.35461598,  993.96995918])]","[array([-0.57935411, -0.03786451,  0.40935011, -2.79034495, -1.61482021,
        0.95696581])]"
1010,movel_fit,"[array([1089.86573874, -485.98798728,  993.94424497])]","[array([-0.57305417, -0.04287104,  0.41424792, -2.78862434, -1.61401548,
        0.95650404])]"
1515,movel_fit,"[array([1089.64735409, -475.59774162,  993.93923383])]","[array([-0.56700964, -0.04853383,  0.41962812, -2.78643511, -1.61258023,
        0.95530264])]"
2020,movel_fit,"[array([1089.3493323 , -465.23173338,  993.93799967])]","[array([-0.56124392, -0.05483495,  0.42547889, -2.78380003, -1.61050757,
        0.95333896])]"
2525,movel_fit,"[array([1088.97531782, -454.8630213 ,  993.93669793])]","[array([-0.55573509, -0.06179384,  0.4318138 , -2.78072145, -1.60778909,
        0.95063513])]"
3030,movel_fit,"[array([1088.55310308, -444.4773586 ,  993.93025384])]","[array([-0.55045995, -0.06940289,  0.43862305, -2.77719949, -1.60441444,
        0.94721378])]"
3535,movel_fit,"[array([1088.09930814, -434.11425224,  993.92536625])]","[array([-0.54543309, -0.07763775,  0.44587252, -2.7732474 , -1.60039527,
        0.94306906])]"
4040,movel_fit,"[array([1087.54805529, -423.76343197,  993.95215439])]","[array([-0.54067024, -0.08656927,  0.4535971 , -2.76887662, -1.59577057,
        0.93820478])]"
4545,movel_fit,"[array([1086.94090363, -413.37716913,  993.98196308])]","[array([-0.53612272, -0.09618709,  0.46180839, -2.76407332, -1.59050656,
        0.93266276])]"
5050,movel_fit,"[array([1086.29893656, -403.01677851,  994.00999491])]","[array([-0.53181821, -0.10644647,  0.47046769, -2.75885157, -1.58461366,
        0.92642686])]"
5555,movel_fit,"[array([1085.57142204, -392.66195958,  994.08122925])]","[array([-0.52775992, -0.11740842,  0.47958963, -2.75321498, -1.57814697,
        0.91952585])]"
6060,movel_fit,"[array([1084.80609667, -382.30165039,  994.07415773])]","[array([-0.52391875, -0.12901457,  0.48922871, -2.74715608, -1.57100789,
        0.91196165])]"
6565,movel_fit,"[array([1083.95987462, -371.95598933,  994.04002705])]","[array([-0.52031974, -0.14129577,  0.49936851, -2.74068576, -1.56327009,
        0.90375324])]"
7070,movel_fit,"[array([1083.02801396, -361.62677035,  994.08050988])]","[array([-0.51696067, -0.15426483,  0.50993231, -2.73380649, -1.55504242,
        0.89496802])]"
7575,movel_fit,"[array([1082.06935894, -351.28173438,  994.11192651])]","[array([-0.51379051, -0.16785879,  0.52094175, -2.72650571, -1.54626168,
        0.88565516])]"
8080,movel_fit,"[array([1081.09161838, -340.96161188,  994.07144724])]","[array([-0.51082482, -0.18202119,  0.53240851, -2.71879467, -1.53691211,
        0.87581948])]"
8585,movel_fit,"[array([1080.00152777, -330.63858523,  994.01525878])]","[array([-0.50807074, -0.19683233,  0.54435393, -2.71068331, -1.52709641,
        0.86553091])]"
9090,movel_fit,"[array([1078.92206669, -320.31391623,  993.98655084])]","[array([-0.50546799, -0.21216275,  0.55663711, -2.7021661 , -1.51685729,
        0.85491302])]"
9595,movel_fit,"[array([1077.77018876, -310.00029939,  993.91438983])]","[array([-0.50304265, -0.22803009,  0.56933821, -2.69326443, -1.50620909,
        0.84399271])]"
10100,movel_fit,"[array([1076.52479621, -299.69589527,  993.82677516])]","[array([-0.50078533, -0.24441936,  0.58242213, -2.68399239, -1.49523204,
        0.83287214])]"
10605,movel_fit,"[array([1075.26274892, -289.3830737 ,  993.74973169])]","[array([-0.49863171, -0.26122759,  0.5957865 , -2.67435639, -1.48397408,
        0.82170922])]"
11110,movel_fit,"[array([1073.99291664, -279.10885067,  993.61735682])]","[array([-0.49659152, -0.27836414,  0.60942105, -2.66437942, -1.47244059,
        0.81056876])]"
11615,movel_fit,"[array([1072.61270472, -268.79686463,  993.44074276])]","[array([-0.49462378, -0.29590149,  0.62336782, -2.65408322, -1.46072361,
        0.79962798])]"
