timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.003, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.006, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.008, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.011, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.016, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.02, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.024, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.028, -1, 11.7598, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.032, -1, 11.7597, -0.899242, 24.917, -150.256, -83.7737, 134.424
0.036, -1, 11.7597, -0.89924, 24.917, -150.256, -83.7737, 134.424
0.04, -1, 11.7594, -0.899233, 24.917, -150.256, -83.7737, 134.424
0.044, -1, 11.7587, -0.899216, 24.9169, -150.256, -83.7737, 134.424
0.048, -1, 11.7574, -0.89918, 24.9168, -150.257, -83.7737, 134.424
0.052, -1, 11.7552, -0.899122, 24.9166, -150.257, -83.7737, 134.424
0.056, -1, 11.7521, -0.899034, 24.9162, -150.257, -83.7738, 134.423
0.06, -1, 11.7478, -0.898916, 24.9157, -150.257, -83.7739, 134.421
0.064, -1, 11.7421, -0.898763, 24.915, -150.257, -83.7742, 134.419
0.068, -1, 11.7349, -0.898576, 24.9141, -150.258, -83.7746, 134.415
0.072, -1, 11.7259, -0.898354, 24.913, -150.258, -83.7752, 134.409
0.076, -1, 11.7148, -0.898095, 24.9118, -150.26, -83.7762, 134.4
0.08, -1, 11.701, -0.8978, 24.9102, -150.261, -83.7775, 134.388
0.084, -1, 11.6843, -0.897475, 24.9084, -150.263, -83.7793, 134.371
0.088, -1, 11.6643, -0.897132, 24.9064, -150.266, -83.7816, 134.35
0.092, -1, 11.6411, -0.896791, 24.9042, -150.27, -83.7847, 134.322
0.096, -1, 11.6144, -0.896472, 24.9018, -150.274, -83.7885, 134.287
0.1, -1, 11.5845, -0.896194, 24.8994, -150.28, -83.7933, 134.244
0.104, -1, 11.5511, -0.895969, 24.897, -150.286, -83.799, 134.192
0.108, -1, 11.5143, -0.8958, 24.8945, -150.294, -83.8056, 134.132
0.112, -1, 11.4738, -0.895685, 24.892, -150.302, -83.8133, 134.063
0.116, -1, 11.4296, -0.895615, 24.8894, -150.312, -83.822, 133.984
0.12, -1, 11.3815, -0.89558, 24.8868, -150.323, -83.8317, 133.897
0.124, -1, 11.3298, -0.895569, 24.884, -150.335, -83.8422, 133.802
0.128, -1, 11.2746, -0.895575, 24.8811, -150.348, -83.8537, 133.699
0.131, -1, 11.2162, -0.895589, 24.8781, -150.362, -83.8659, 133.59
