primitives,points,q_bp
movej_fit,"[array([ 658.20608858, -766.30245113,  607.69481478])]","[array([-1.05294567,  0.21547605,  0.11517016,  2.7867445 ,  1.50529108,
       -0.16340745])]"
movel_fit,"[array([ 652.71504953, -719.59046807,  590.72899242])]","[array([-1.0323698 ,  0.13450207, -0.00436579,  2.78478874,  1.46202869,
       -0.16914602])]"
movel_fit,"[array([ 646.95050646, -673.0740476 ,  573.40565571])]","[array([-1.01156896,  0.05535708, -0.11726729,  2.78007698,  1.42123258,
       -0.1762651 ])]"
movel_fit,"[array([ 640.61685626, -620.68379729,  554.11127161])]","[array([-1.01586335,  0.0292085 , -0.18308972,  2.72498717,  1.44531417,
       -0.25144991])]"
movel_fit,"[array([ 638.61908796, -566.02141884,  540.86074535])]","[array([-1.00592128,  0.01110119, -0.23183586,  2.68091223,  1.47591638,
       -0.35243206])]"
movel_fit,"[array([ 640.23877334, -510.41929429,  533.01883651])]","[array([-0.99313643, -0.0065984 , -0.27770893,  2.63327045,  1.50486759,
       -0.44729586])]"
movel_fit,"[array([ 645.47182454, -454.43795911,  530.78016538])]","[array([-0.97429855, -0.02619381, -0.32024638,  2.58607309,  1.52980662,
       -0.53552991])]"
movel_fit,"[array([ 653.52426985, -398.81583209,  533.23515368])]","[array([-0.94891447, -0.04948002, -0.36013227,  2.54075572,  1.5487213 ,
       -0.61571887])]"
movel_fit,"[array([ 663.55680839, -343.91434734,  539.37115088])]","[array([-0.91420268, -0.07283998, -0.39199734,  2.50147836,  1.56349894,
       -0.69360198])]"
movel_fit,"[array([ 675.08399218, -289.70743412,  548.56422118])]","[array([-0.8691415 , -0.09286796, -0.41210565,  2.46949046,  1.57571303,
       -0.77242618])]"
movel_fit,"[array([ 687.35788264, -236.21465485,  559.79010685])]","[array([-0.81493271, -0.10827111, -0.42071793,  2.44431138,  1.58535548,
       -0.85144634])]"
movel_fit,"[array([ 700.13700905, -183.05059152,  572.68531002])]","[array([-0.75206806, -0.11803827, -0.41758819,  2.42553346,  1.5926454 ,
       -0.93075745])]"
movel_fit,"[array([ 712.85196948, -130.10604841,  586.53388502])]","[array([-0.68180044, -0.12175881, -0.40335303,  2.41329377,  1.5977509 ,
       -1.00930174])]"
movel_fit,"[array([725.02364368, -77.16043116, 600.73862336])]","[array([-0.60419382, -0.11901704, -0.37851644,  2.40841118,  1.60070381,
       -1.08696312])]"
movel_fit,"[array([736.19299047, -23.9396497 , 614.73810436])]","[array([-0.51877896, -0.10726572, -0.34091778,  2.41296987,  1.6037257 ,
       -1.16504157])]"
movel_fit,"[array([745.85573723,  29.80645761, 627.91809489])]","[array([-0.42474522, -0.0845884 , -0.28929194,  2.42888935,  1.60878352,
       -1.24442366])]"
movel_fit,"[array([753.35716581,  84.09119407, 639.5308077 ])]","[array([-0.32247477, -0.0511507 , -0.22358455,  2.45790012,  1.61777019,
       -1.32439239])]"
movel_fit,"[array([758.01901449, 139.3753637 , 648.83204427])]","[array([-0.21027603, -0.00625197, -0.14358863,  2.50202523,  1.6327168 ,
       -1.40590909])]"
movel_fit,"[array([759.04230961, 194.92140479, 654.80940388])]","[array([-0.08813147,  0.0534555 , -0.04768391,  2.5628513 ,  1.65893157,
       -1.48940567])]"
movel_fit,"[array([755.6066343 , 250.91060825, 656.48933997])]","[array([ 0.04344046,  0.12869872,  0.06178932,  2.63868375,  1.69952637,
       -1.57454316])]"
movel_fit,"[array([746.88426955, 306.36395218, 652.81694923])]","[array([ 0.17978394,  0.21891074,  0.17889798,  2.7237352 ,  1.75603032,
       -1.65895952])]"
movel_fit,"[array([733.41057755, 360.18371402, 644.08702279])]","[array([ 0.31261403,  0.3268101 ,  0.30253206,  2.80739438,  1.83100719,
       -1.74250836])]"
movel_fit,"[array([714.55512434, 411.0226881 , 629.38094825])]","[array([ 0.43231983,  0.45195654,  0.42743646,  2.87715544,  1.92265003,
       -1.82677173])]"
movel_fit,"[array([690.58698215, 457.72026027, 608.84089394])]","[array([ 0.53161312,  0.5919599 ,  0.55044466,  2.92255595,  2.02610321,
       -1.91625288])]"
movel_fit,"[array([664.50016148, 501.78703088, 585.5316667 ])]","[array([ 0.60939895,  0.74411685,  0.67941068,  2.93876176,  2.13617659,
       -2.01549692])]"
movel_fit,"[array([635.53608699, 541.62632205, 558.66229789])]","[array([ 0.66655439,  0.89874378,  0.80186558,  2.92397666,  2.24303733,
       -2.12852221])]"
movel_fit,"[array([604.86794552, 578.26831507, 529.41027135])]","[array([ 0.70700428,  1.04866831,  0.91258668,  2.87779917,  2.3383704 ,
       -2.25885422])]"
movel_fit,"[array([572.44062961, 611.74287133, 497.87929565])]","[array([ 0.73606666,  1.17184646,  0.9801144 ,  2.80949459,  2.40114828,
       -2.39390272])]"
movel_fit,"[array([543.83141236, 641.3419354 , 470.0864042 ])]","[array([ 0.76705054,  1.15011234,  0.90380353,  2.79720933,  2.33432848,
       -2.40515073])]"
movel_fit,"[array([514.9346486 , 671.06794125, 442.0162051 ])]","[array([ 0.79736862,  1.14781817,  0.85774342,  2.77802693,  2.28314353,
       -2.42171249])]"
