primitives,points,q_bp
movej_fit,"[array([ 658.79788712, -765.93215027,  608.50595002])]","[array([-1.05219972,  0.21572372,  0.11670136,  2.78674464,  1.50623676,
       -0.16455183])]"
movel_fit,"[array([ 653.0109488 , -719.40531764,  591.13456004])]","[array([-1.03197856,  0.13460547, -0.00363669,  2.78479808,  1.46247963,
       -0.16973109])]"
movel_fit,"[array([ 647.09722281, -672.96485603,  573.59298565])]","[array([-1.01198269,  0.05511517, -0.11810905,  2.77910386,  1.42101358,
       -0.17552358])]"
movel_fit,"[array([ 641.56804147, -629.47311481,  557.18827928])]","[array([-1.01721803,  0.03258748, -0.17400274,  2.73146983,  1.44074356,
       -0.23446288])]"
movel_fit,"[array([ 638.93327577, -584.28896865,  544.73460524])]","[array([-1.00903195,  0.01711831, -0.21557596,  2.69656944,  1.46596716,
       -0.31999278])]"
movel_fit,"[array([ 639.04540432, -538.24401398,  536.34112259])]","[array([-1.00030295e+00,  2.16276215e-03, -2.55351457e-01,  2.65680425e+00,
        1.49071161e+00, -4.00381087e-01])]"
movel_fit,"[array([ 641.86839761, -491.6335245 ,  532.00761017])]","[array([-0.98720452, -0.01273685, -0.29164834,  2.6173513 ,  1.51399023,
       -0.47821742])]"
movel_fit,"[array([ 646.67613394, -445.19535713,  530.97734933])]","[array([-0.97066046, -0.02989163, -0.3270971 ,  2.57819683,  1.53334349,
       -0.54936   ])]"
movel_fit,"[array([ 653.61048003, -398.85415755,  533.42151614])]","[array([-0.9488419 , -0.04945284, -0.35980398,  2.54074504,  1.54881762,
       -0.61597769])]"
movel_fit,"[array([ 661.74620485, -353.12236242,  538.19551319])]","[array([-0.92076384, -0.06905236, -0.38723325,  2.50760763,  1.56131774,
       -0.68066792])]"
movel_fit,"[array([ 671.06379547, -307.78267264,  545.22632585])]","[array([-0.88530487, -0.08664501, -0.40664084,  2.47949403,  1.57194857,
       -0.74609811])]"
movel_fit,"[array([ 681.13518721, -262.89491068,  553.97394093])]","[array([-0.84315872, -0.10120569, -0.41766836,  2.45620735,  1.58094855,
       -0.81204075])]"
movel_fit,"[array([ 691.63570805, -218.39771646,  564.01539011])]","[array([-0.79478447, -0.11219345, -0.42068456,  2.43743602,  1.58814124,
       -0.87816339])]"
movel_fit,"[array([ 702.29710298, -174.16106059,  574.99076551])]","[array([-0.74076022, -0.11909157, -0.41575211,  2.42314081,  1.59371932,
       -0.94415091])]"
movel_fit,"[array([ 712.85400333, -130.0553878 ,  586.55740227])]","[array([-0.68158245, -0.12185142, -0.403352  ,  2.41339598,  1.59762896,
       -1.00952785])]"
movel_fit,"[array([723.04361884, -85.93542971, 598.38298273])]","[array([-0.61739486, -0.12009595, -0.38346605,  2.40876652,  1.60015422,
       -1.07427389])]"
movel_fit,"[array([732.59361543, -41.65320742, 610.13225856])]","[array([-0.54785945, -0.11244037, -0.35501325,  2.41043827,  1.60239762,
       -1.13914518])]"
movel_fit,"[array([741.21474704,   2.92823835, 621.46041018])]","[array([-0.47261361, -0.09736148, -0.31675503,  2.41964961,  1.60586663,
       -1.20484628])]"
movel_fit,"[array([748.56923936,  47.93417648, 631.97244335])]","[array([-0.39147407, -0.07466794, -0.26863493,  2.43734707,  1.611425  ,
       -1.2713169 ])]"
movel_fit,"[array([754.28875599,  93.44319467, 641.24484769])]","[array([-0.30419544, -0.04464365, -0.21099881,  2.46449835,  1.61981245,
       -1.338265  ])]"
movel_fit,"[array([757.94347119, 139.48236608, 648.77628478])]","[array([-0.21006405, -0.00628104, -0.14323039,  2.50245848,  1.63289255,
       -1.40623768])]"
movel_fit,"[array([759.07358294, 185.96224636, 654.0214769 ])]","[array([-0.10868331,  0.04237096, -0.06437039,  2.55199666,  1.6536882 ,
       -1.47588595])]"
movel_fit,"[array([757.19227744, 232.59633285, 656.36459857])]","[array([-4.94094894e-04,  1.01826096e-01,  2.40262526e-02,  2.61242576e+00,
        1.68398075e+00, -1.54668246e+00])]"
movel_fit,"[array([751.89595214, 279.04324359, 655.3139736 ])]","[array([ 0.11207731,  0.17202424,  0.119932  ,  2.68101191,  1.72561994,
       -1.61739254])]"
movel_fit,"[array([742.92816601, 324.75297916, 650.47801715])]","[array([ 0.22540694,  0.25326103,  0.22006081,  2.75267794,  1.77917951,
       -1.68724651])]"
movel_fit,"[array([730.2738883 , 368.92147625, 641.63904726])]","[array([ 0.33401942,  0.34600909,  0.32198984,  2.82054255,  1.84470606,
       -1.7563078 ])]"
movel_fit,"[array([714.20170043, 411.04369793, 628.97790221])]","[array([ 0.432536  ,  0.45161909,  0.42614452,  2.87721724,  1.92223249,
       -1.82672978])]"
movel_fit,"[array([695.17009197, 450.6967231 , 612.88578786])]","[array([ 0.51683249,  0.56991806,  0.53339479,  2.91661386,  2.01014643,
       -1.90146815])]"
movel_fit,"[array([673.70407658, 487.72169361, 593.86570084])]","[array([ 0.58581282,  0.69430676,  0.63901227,  2.93634372,  2.10086447,
       -1.98162487])]"
movel_fit,"[array([650.2995017 , 522.11648713, 572.41794953])]","[array([ 0.64025548,  0.82184601,  0.74188124,  2.93522756,  2.19079678,
       -2.07002429])]"
movel_fit,"[array([625.36197866, 554.13566489, 548.99866486])]","[array([ 0.68158551,  0.94961662,  0.83995452,  2.91177366,  2.27639417,
       -2.1701606 ])]"
movel_fit,"[array([599.30622176, 584.00978478, 524.03403577])]","[array([ 0.71263213,  1.06999208,  0.92454357,  2.86798625,  2.34987609,
       -2.28119972])]"
movel_fit,"[array([572.14016767, 611.79651691, 497.56998276])]","[array([ 0.73628242,  1.17021217,  0.97693097,  2.8100541 ,  2.39931135,
       -2.39332569])]"
movel_fit,"[array([543.57893676, 641.13029549, 469.79673943])]","[array([ 0.76707238,  1.14859816,  0.9005563 ,  2.79774091,  2.3327629 ,
       -2.40444382])]"
movel_fit,"[array([514.66557786, 670.71791077, 441.67109252])]","[array([ 0.79733522,  1.14606593,  0.85398515,  2.77867248,  2.28135273,
       -2.42080707])]"
