primitives,points,q_bp
movej_fit,"[array([ 705.88930854, -606.70289815,  591.66558395])]","[array([-0.81564505,  0.64596003,  0.6597113 , -0.28172114, -2.05051211,
        2.28464523])]"
movel_fit,"[array([ 704.90026286, -556.71271662,  591.60609173])]","[array([-0.78547033,  0.55296126,  0.51760495, -0.2893896 , -1.99489499,
        2.26783803])]"
movel_fit,"[array([ 703.91505436, -506.71107703,  591.54680139])]","[array([-0.75292006,  0.47438332,  0.40316794, -0.29931676, -1.95184443,
        2.24558051])]"
movel_fit,"[array([ 703.14717221, -465.65146638,  591.49086913])]","[array([-0.72448424,  0.41662549,  0.32243849, -0.30669318, -1.92448117,
        2.24973617])]"
movel_fit,"[array([ 701.38615815, -424.6032144 ,  591.55280377])]","[array([-0.70179157,  0.347143  ,  0.23165447, -0.32202514, -1.88671656,
        2.26551293])]"
movel_fit,"[array([ 698.68083163, -383.59346332,  591.64111701])]","[array([-0.6846742 ,  0.26638327,  0.13242789, -0.34465577, -1.83999254,
        2.29286288])]"
movel_fit,"[array([ 695.05928526, -342.65587866,  591.62996917])]","[array([-0.67316763,  0.1747666 ,  0.02576125, -0.3744232 , -1.78588403,
        2.33106491])]"
movel_fit,"[array([ 690.60691544, -301.81551956,  591.35442016])]","[array([-0.6669255 ,  0.0738131 , -0.08657678, -0.4111715 , -1.72699521,
        2.3775264 ])]"
movel_fit,"[array([ 685.51773921, -261.05679312,  590.66823779])]","[array([-0.66468899, -0.03340418, -0.20139533, -0.4543114 , -1.66703455,
        2.42642213])]"
movel_fit,"[array([ 680.15173649, -220.3335391 ,  589.50808289])]","[array([-0.6639392 , -0.14239191, -0.31406185, -0.50246998, -1.61001121,
        2.46766857])]"
movel_fit,"[array([ 675.08411291, -179.5843446 ,  588.00697037])]","[array([-0.66076341, -0.24788992, -0.41899754, -0.55330686, -1.55878528,
        2.4868126 ])]"
movel_fit,"[array([ 671.14154847, -138.69786761,  586.57717016])]","[array([-0.64962962, -0.34450733, -0.51022538, -0.60321762, -1.51353132,
        2.46637543])]"
movel_fit,"[array([669.37590859, -97.66208775, 585.87126262])]","[array([-0.62203959, -0.4250148 , -0.57965953, -0.64494289, -1.47156886,
        2.38856677])]"
movel_fit,"[array([670.86026602, -56.60963208, 586.46959015])]","[array([-0.56537246, -0.47554251, -0.61371951, -0.6637485 , -1.43017275,
        2.24082361])]"
movel_fit,"[array([676.24325392, -15.890368  , 588.29071624])]","[array([-0.46922876, -0.46972311, -0.5921005 , -0.64008111, -1.39729524,
        2.02539823])]"
movel_fit,"[array([685.29329013,  24.1238498 , 590.18365412])]","[array([-0.34409711, -0.37633145, -0.49695738, -0.57248115, -1.40483651,
        1.76940989])]"
movel_fit,"[array([696.88977972,  63.54560409, 590.38960769])]","[array([-0.22438773, -0.18935084, -0.33140645, -0.49844367, -1.48816817,
        1.52340724])]"
movel_fit,"[array([709.17977109, 102.64258932, 587.5264963 ])]","[array([-0.13717523,  0.04211913, -0.13949347, -0.46282117, -1.62917498,
        1.33961683])]"
movel_fit,"[array([719.85945934, 141.95535645, 581.99310828])]","[array([-0.08121792,  0.24906105,  0.02115357, -0.47428487, -1.77161921,
        1.25912088])]"
movel_fit,"[array([726.23211397, 182.24697576, 576.9469105 ])]","[array([-0.04202638,  0.4004651 ,  0.1288361 , -0.51749583, -1.89035772,
        1.32081649])]"
movel_fit,"[array([725.42119992, 223.32580436, 577.02805614])]","[array([-1.51524233e-03,  4.74838686e-01,  1.81589499e-01, -5.56670423e-01,
       -1.96942859e+00,  1.50977897e+00])]"
movel_fit,"[array([716.45092538, 263.03632092, 582.70872083])]","[array([ 0.04638234,  0.41334984,  0.14581516, -0.55333999, -1.9410824 ,
        1.71132176])]"
movel_fit,"[array([701.40172408, 300.80025751, 588.74118206])]","[array([ 0.10078586,  0.18316272, -0.02340667, -0.51903655, -1.75594525,
        1.85464286])]"
movel_fit,"[array([683.87303265, 337.97014499, 590.02430627])]","[array([ 0.17645482, -0.14114816, -0.28714537, -0.48764655, -1.46723808,
        1.90622106])]"
movel_fit,"[array([669.09457321, 376.17383386, 586.34292603])]","[array([ 0.27571382, -0.42545783, -0.53484685, -0.47057832, -1.17314038,
        1.77136691])]"
movel_fit,"[array([664.9631696 , 417.0251761 , 584.28915651])]","[array([ 0.41094473, -0.60116674, -0.69700838, -0.39639671, -0.89596981,
        1.31016331])]"
movel_fit,"[array([676.15269263, 456.48778836, 587.89903195])]","[array([ 0.48955977, -0.49778542, -0.60991899, -0.28906109, -0.86724558,
        0.83565836])]"
movel_fit,"[array([695.50717701, 492.69652397, 589.00007384])]","[array([ 0.41789689, -0.14705555, -0.28769264, -0.38859808, -1.15262468,
        0.72434282])]"
movel_fit,"[array([718.10212297, 537.29892667, 589.62830914])]","[array([ 0.35076919,  0.23685967,  0.06446808, -0.51062906, -1.46989065,
        0.54318928])]"
movel_fit,"[array([740.83096256, 581.82620041, 590.47786447])]","[array([ 0.30150554,  0.58936866,  0.36945767, -0.66781822, -1.74791442,
        0.31609452])]"
