breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 703.91121372, -506.72253554,  591.54660022])]","[array([-0.75327455,  0.47361302,  0.40219315, -0.29974359, -1.95105139,
        2.24578222])]"
499,movel_fit,"[array([ 703.79687604, -496.46903793,  591.52209111])]","[array([-0.74570326,  0.46012939,  0.38287264, -0.30087024, -1.94510898,
        2.24578857])]"
998,movel_fit,"[array([ 703.62368178, -486.21599353,  591.5060135 ])]","[array([-0.73848176,  0.44594635,  0.36289294, -0.30251468, -1.9385017 ,
        2.24650074])]"
1497,movel_fit,"[array([ 703.39158687, -475.96334671,  591.49805714])]","[array([-0.73160699,  0.4310649 ,  0.3422823 , -0.30466296, -1.93124475,
        2.24792175])]"
1996,movel_fit,"[array([ 703.10052495, -465.711091  ,  591.49770428])]","[array([-0.72507684,  0.41548496,  0.32106505, -0.30730272, -1.92335274,
        2.25005554])]"
2495,movel_fit,"[array([ 702.75044624, -455.46004559,  591.50422793])]","[array([-0.71889061,  0.39920678,  0.29926368, -0.31042295, -1.91484065,
        2.25290624])]"
2994,movel_fit,"[array([ 702.34130912, -445.21081629,  591.51669025])]","[array([-0.71304821,  0.38222987,  0.27689722, -0.3140142 , -1.90572338,
        2.25647778])]"
3493,movel_fit,"[array([ 701.87313768, -434.96477944,  591.53394173])]","[array([-0.70755061,  0.36455496,  0.25398402, -0.3180682 , -1.89601708,
        2.26077287])]"
3992,movel_fit,"[array([ 701.34591405, -424.72133403,  591.55462755])]","[array([-0.70239816,  0.34617982,  0.23053625, -0.32257891, -1.88573695,
        2.26579358])]"
4491,movel_fit,"[array([ 700.759748  , -414.481288  ,  591.57718555])]","[array([-0.69759232,  0.32710555,  0.20656812, -0.32754112, -1.87490096,
        2.27153922])]"
4990,movel_fit,"[array([ 700.11480212, -404.2446999 ,  591.59985525])]","[array([-0.6931342 ,  0.30733344,  0.18209187, -0.33295115, -1.86352828,
        2.2780065 ])]"
5489,movel_fit,"[array([ 699.41136531, -394.01178238,  591.62068456])]","[array([-0.68902476,  0.2868673 ,  0.15712066, -0.33880629, -1.85164082,
        2.2851882 ])]"
5988,movel_fit,"[array([ 698.64991852, -383.78325421,  591.63754171])]","[array([-0.68526451,  0.26571492,  0.13167033, -0.34510424, -1.83926429,
        2.29307179])]"
6487,movel_fit,"[array([ 697.83108226, -373.55908126,  591.64813528])]","[array([-0.6818527 ,  0.24388631,  0.10575726, -0.35184357, -1.82642725,
        2.30163933])]"
6986,movel_fit,"[array([ 696.95572513, -363.3394766 ,  591.6500353 ])]","[array([-0.67878719,  0.22139637,  0.07940167, -0.3590228 , -1.81316277,
        2.3108655 ])]"
7485,movel_fit,"[array([ 696.02499303, -353.12466303,  591.640704  ])]","[array([-0.67606393,  0.19826518,  0.05262786, -0.36664007, -1.7995086 ,
        2.32071652])]"
7984,movel_fit,"[array([ 695.04040318, -342.91533587,  591.61753523])]","[array([-0.67367653,  0.17451966,  0.0254663 , -0.37469236, -1.78550804,
        2.33114829])]"
8483,movel_fit,"[array([ 694.00365068, -332.71020232,  591.57789337])]","[array([-6.71615198e-01,  1.50188331e-01, -2.05231832e-03, -3.83176980e-01,
       -1.77120664e+00,  2.34210757e+00])]"
8982,movel_fit,"[array([ 692.9172128 , -322.5114895 ,  591.51918788])]","[array([-0.6698674 ,  0.12531469, -0.02988175, -0.3920866 , -1.75665973,
        2.35352477])]"
