primitives,points,q_bp
movej_fit,"[array([ 705.88930854, -606.70289815,  591.66558395])]","[array([-0.81564505,  0.64596003,  0.6597113 , -0.28172114, -2.05051211,
        2.28464523])]"
movel_fit,"[array([ 704.90026286, -556.71271662,  591.60609173])]","[array([-0.78547033,  0.55296126,  0.51760495, -0.2893896 , -1.99489499,
        2.26783803])]"
movel_fit,"[array([ 703.93300175, -506.72497749,  591.54381825])]","[array([-0.75293598,  0.474405  ,  0.40319884, -0.299378  , -1.9517933 ,
        2.24556887])]"
movel_fit,"[array([ 703.16869452, -465.63971113,  591.48997918])]","[array([-0.7245055 ,  0.4165681 ,  0.32238103, -0.30680539, -1.92435324,
        2.24971557])]"
movel_fit,"[array([ 701.410259  , -424.59412002,  591.5525151 ])]","[array([-0.70180373,  0.34712305,  0.23165292, -0.32212211, -1.88662835,
        2.26548774])]"
movel_fit,"[array([ 698.70636484, -383.5928167 ,  591.64603985])]","[array([-0.68468104,  0.26640214,  0.13248505, -0.34473184, -1.83994905,
        2.2928361 ])]"
movel_fit,"[array([ 695.08290601, -342.67138073,  591.63829878])]","[array([-0.67316792,  0.17484582,  0.02588984, -0.37445931, -1.7859032 ,
        2.33103983])]"
movel_fit,"[array([ 690.62111534, -301.81652645,  591.36485129])]","[array([-0.66692162,  0.07384818, -0.08650629, -0.41119614, -1.72700759,
        2.37750522])]"
movel_fit,"[array([ 685.5199327 , -261.05555018,  590.67300114])]","[array([-0.66469261, -0.03341201, -0.20140032, -0.4543181 , -1.66703313,
        2.42642338])]"
movel_fit,"[array([ 680.1395237 , -220.33194974,  589.50299214])]","[array([-0.66392308, -0.14239898, -0.31409748, -0.50242166, -1.61003143,
        2.46767042])]"
movel_fit,"[array([ 675.04887767, -179.58301188,  587.98696942])]","[array([-0.66078692, -0.24798268, -0.41915476, -0.55325705, -1.55878903,
        2.48686568])]"
movel_fit,"[array([ 671.08503715, -138.70477652,  586.54668005])]","[array([-0.64967882, -0.34462105, -0.51040194, -0.60312314, -1.51358898,
        2.46644604])]"
movel_fit,"[array([669.29028608, -97.66207785, 585.83944303])]","[array([-0.62218512, -0.4252083 , -0.57985725, -0.64484421, -1.47174155,
        2.38867607])]"
movel_fit,"[array([670.74155305, -56.59896994, 586.4624369 ])]","[array([-0.56564829, -0.47580432, -0.61381406, -0.66361436, -1.43057779,
        2.24092086])]"
movel_fit,"[array([676.11298101, -15.89187165, 588.34562784])]","[array([-0.46954791, -0.4697622 , -0.59174161, -0.63979049, -1.39810734,
        2.0253701 ])]"
movel_fit,"[array([685.19712488,  24.14692387, 590.31138858])]","[array([-0.34419686, -0.37580199, -0.49593069, -0.5720462 , -1.40607689,
        1.7691558 ])]"
movel_fit,"[array([696.8618817 ,  63.55933131, 590.47642513])]","[array([-0.22441413, -0.18905803, -0.33087215, -0.49834013, -1.4887702 ,
        1.52330671])]"
movel_fit,"[array([709.21632532, 102.63146725, 587.46154893])]","[array([-0.13712663,  0.04138178, -0.14043799, -0.46286771, -1.62804133,
        1.33966408])]"
movel_fit,"[array([719.95125756, 141.90947323, 581.79902949])]","[array([-0.08110834,  0.24829864,  0.01979513, -0.47418093, -1.76981   ,
        1.25931883])]"
movel_fit,"[array([726.35978373, 182.22400139, 576.78834831])]","[array([-0.04196892,  0.4000499 ,  0.12814033, -0.51730232, -1.88894167,
        1.32096726])]"
movel_fit,"[array([725.58726333, 223.35037572, 577.04055966])]","[array([-1.64420149e-03,  4.74532018e-01,  1.82076068e-01, -5.56443375e-01,
       -1.96874176e+00,  1.50956463e+00])]"
movel_fit,"[array([716.61477926, 263.05082758, 582.97332367])]","[array([ 0.04604194,  0.41244346,  0.14674517, -0.55308233, -1.94058759,
        1.71074648])]"
movel_fit,"[array([701.45891345, 300.81907343, 588.85574754])]","[array([ 0.10067602,  0.18243189, -0.02341542, -0.51893971, -1.75541622,
        1.85439654])]"
movel_fit,"[array([683.72966162, 337.88542799, 589.73641405])]","[array([ 0.17647704, -0.13886538, -0.28632783, -0.48781125, -1.46922796,
        1.90690148])]"
movel_fit,"[array([668.68838482, 376.03113946, 585.94711179])]","[array([ 0.27609911, -0.42562235, -0.53641538, -0.47079494, -1.17371887,
        1.77171338])]"
movel_fit,"[array([664.63021236, 417.03045704, 584.31929625])]","[array([ 0.4109579 , -0.60200302, -0.69687376, -0.39631309, -0.89721677,
        1.30980004])]"
movel_fit,"[array([676.14758663, 456.46046295, 588.30183202])]","[array([ 0.48800174, -0.49623566, -0.6061839 , -0.29066027, -0.87093428,
        0.83744482])]"
movel_fit,"[array([695.35982067, 492.77620313, 588.82011194])]","[array([ 0.41852728, -0.14901292, -0.29033824, -0.38854683, -1.15019666,
        0.72399642])]"
movel_fit,"[array([718.10212297, 537.29892667, 589.62830914])]","[array([ 0.35076919,  0.23685967,  0.06446808, -0.51062906, -1.46989065,
        0.54318928])]"
movel_fit,"[array([740.83096256, 581.82620041, 590.47786447])]","[array([ 0.30150554,  0.58936866,  0.36945767, -0.66781822, -1.74791442,
        0.31609452])]"
