primitives,points,q_bp
movej_fit,"[array([ 682.69046548, -479.5307782 ,  496.02308929])]","[array([-1.26402995,  0.91066152,  0.72214938,  0.16646259,  1.16259766,
       -4.74194667])]"
movel_fit,"[array([ 706.97703993, -468.24327124,  472.73361192])]","[array([-1.22252657,  0.91825238,  0.7067935 ,  0.16798975,  1.1658402 ,
       -4.69811009])]"
movel_fit,"[array([ 711.49041428, -465.93339343,  464.93299719])]","[array([-1.21453397,  0.92309087,  0.70726357,  0.17323805,  1.16385907,
       -4.69035413])]"
movel_fit,"[array([ 716.45565631, -461.5638434 ,  460.26293117])]","[array([-1.20492597,  0.9251301 ,  0.70983376,  0.17831057,  1.16422079,
       -4.68387926])]"
movel_fit,"[array([ 721.83741202, -455.12643576,  458.77552223])]","[array([-1.19372784,  0.92424325,  0.71438834,  0.18333742,  1.16707959,
       -4.67876217])]"
movel_fit,"[array([ 727.59621655, -446.69565814,  460.40954493])]","[array([-1.18098115,  0.92062332,  0.72117232,  0.18839113,  1.1722526 ,
       -4.67498959])]"
movel_fit,"[array([ 733.64218994, -436.36341727,  464.87810548])]","[array([-1.16677788,  0.91450572,  0.72998041,  0.19348735,  1.17958428,
       -4.67243045])]"
movel_fit,"[array([ 739.81256626, -424.35580405,  471.60462963])]","[array([-1.15136612,  0.90642293,  0.74039869,  0.19860606,  1.18868743,
       -4.67093722])]"
movel_fit,"[array([ 745.96181525, -411.04207754,  479.67618644])]","[array([-1.13504759,  0.89725149,  0.75174446,  0.20364993,  1.19892224,
       -4.670247  ])]"
movel_fit,"[array([ 751.93623279, -396.95896579,  487.92509282])]","[array([-1.11826008,  0.88814609,  0.76313576,  0.20853975,  1.20942295,
       -4.67014059])]"
movel_fit,"[array([ 757.64107508, -382.80868818,  494.99852372])]","[array([-1.10151206,  0.88044415,  0.77344318,  0.2131559 ,  1.21916047,
       -4.67035657])]"
movel_fit,"[array([ 763.05275254, -369.39020751,  499.49103159])]","[array([-1.08534897,  0.87557289,  0.78147053,  0.217383  ,  1.22702392,
       -4.67065373])]"
movel_fit,"[array([ 768.19939162, -357.51798346,  499.98927219])]","[array([-1.07033318,  0.87500462,  0.78600138,  0.22111499,  1.23187257,
       -4.67084925])]"
movel_fit,"[array([ 773.13940812, -348.01044153,  494.97516728])]","[array([-1.05704968,  0.88039046,  0.78576028,  0.22416345,  1.23248663,
       -4.67074038])]"
movel_fit,"[array([ 777.85174748, -341.53506576,  482.83410141])]","[array([-1.04611426,  0.89341119,  0.77921397,  0.22622314,  1.2274635 ,
       -4.67017892])]"
movel_fit,"[array([ 782.15347777, -338.43093613,  461.71061029])]","[array([-1.03811316,  0.91617438,  0.76481112,  0.22680404,  1.21520784,
       -4.66917818])]"
movel_fit,"[array([ 785.63148001, -338.02383408,  429.9232971 ])]","[array([-1.0331563 ,  0.95066457,  0.74093922,  0.22515273,  1.19397292,
       -4.66806803])]"
movel_fit,"[array([ 787.81125794, -337.52574467,  386.967014  ])]","[array([-1.02987497,  0.99799325,  0.70682643,  0.22046208,  1.16241876,
       -4.66787109])]"
movel_fit,"[array([ 788.69333155, -331.5646399 ,  335.89169798])]","[array([-1.02439803,  1.05616136,  0.66510605,  0.21296343,  1.12055876,
       -4.67053036])]"
movel_fit,"[array([ 788.90458003, -315.66406392,  284.48422932])]","[array([-1.01237998,  1.11749624,  0.62292878,  0.2054744 ,  1.07306866,
       -4.67728957])]"
movel_fit,"[array([ 789.18454933, -292.06413996,  241.78010858])]","[array([-0.9937799 ,  1.17125074,  0.58978435,  0.2015576 ,  1.02793198,
       -4.68640552])]"
movel_fit,"[array([ 790.05605242, -268.47881541,  213.35015103])]","[array([-0.97340894,  1.20866942,  0.57084121,  0.20170497,  0.99383461,
       -4.69401733])]"
movel_fit,"[array([ 791.4307028 , -252.39864543,  201.9325067 ])]","[array([-0.95780345,  1.22144686,  0.56219136,  0.20440647,  0.98123311,
       -4.69642774])]"
movel_fit,"[array([ 794.48353501, -249.26829023,  209.23601179])]","[array([-0.95076915,  1.20914535,  0.57148036,  0.2093802 ,  0.99195239,
       -4.69233965])]"
movel_fit,"[array([ 799.37284118, -255.54982359,  236.00806679])]","[array([-0.94910755,  1.16720476,  0.59305108,  0.21761281,  1.0282282 ,
       -4.68048125])]"
movel_fit,"[array([ 806.66387621, -260.78670907,  279.33561771])]","[array([-0.94293966,  1.10349758,  0.63097278,  0.23308069,  1.08069724,
       -4.66465436])]"
movel_fit,"[array([ 816.07560305, -253.20828202,  329.15493016])]","[array([-0.92316828,  1.03838462,  0.68355274,  0.25435368,  1.13083375,
       -4.65278594])]"
movel_fit,"[array([ 823.83811034, -234.39666959,  369.55646846])]","[array([-0.89622328,  0.99099948,  0.73057127,  0.27327903,  1.16520851,
       -4.649657  ])]"
movel_fit,"[array([ 828.00690136, -216.1100421 ,  386.79709962])]","[array([-0.87444202,  0.97092336,  0.7505121 ,  0.28313517,  1.18317525,
       -4.65071778])]"
movel_fit,"[array([ 828.75939896, -207.30709662,  375.5874607 ])]","[array([-0.86593667,  0.98442358,  0.74048416,  0.28216281,  1.1768646 ,
       -4.65509108])]"
