primitives,points,q_bp
movej_fit,"[array([ 664.04282171, -498.78494929,  479.97186281])]","[array([-1.29957549,  0.93384305,  0.72941528,  0.18645204,  1.13694129,
       -4.76357989])]"
movel_fit,"[array([ 706.94492339, -468.18483086,  472.67851409])]","[array([-1.2225424 ,  0.91799029,  0.70616169,  0.16797313,  1.16620732,
       -4.69805944])]"
movec_fit,"[array([ 721.30070132, -458.11016465,  458.91519854]), array([ 737.30191999, -429.99467223,  468.50378778])]","[array([-1.19613555,  0.9315925 ,  0.72586774,  0.18262365,  1.1606142 ,
       -4.68073959]), array([-1.15809332,  0.91153522,  0.73837165,  0.19647358,  1.18341641,
       -4.67167011])]"
movec_fit,"[array([ 744.36594684, -414.99874011,  477.37313639]), array([ 751.2018631 , -398.74864671,  486.90377363])]","[array([-1.13960779,  0.90072712,  0.75014015,  0.2023087 ,  1.19534264,
       -4.6704959 ]), array([-1.12037573,  0.8892881 ,  0.76176233,  0.20794504,  1.20817507,
       -4.67013471])]"
movec_fit,"[array([ 759.40445384, -377.85951008,  496.95273748]), array([ 766.97399688, -359.25204436,  500.06986822])]","[array([-1.09588863,  0.87715578,  0.7745174 ,  0.21459872,  1.22287455,
       -4.67029601]), array([-1.07316252,  0.87250278,  0.78100473,  0.2203041 ,  1.23344981,
       -4.67038052])]"
movec_fit,"[array([ 774.2534407 , -344.62945751,  491.29942234]), array([ 781.18817575, -337.94971979,  464.47942189])]","[array([-1.05311439,  0.87937609,  0.77516813,  0.22469737,  1.23598143,
       -4.66964052]), array([-1.03901308,  0.90897317,  0.7591986 ,  0.22654859,  1.22110206,
       -4.66844641])]"
movec_fit,"[array([ 784.68663712, -337.58408291,  436.50303725]), array([ 787.04025587, -337.49338093,  398.93749523])]","[array([-1.03407257,  0.94081133,  0.74107827,  0.22551971,  1.20177927,
       -4.66770818]), array([-1.03084519,  0.98216577,  0.71180296,  0.2218253 ,  1.17440144,
       -4.66719123])]"
movec_fit,"[array([ 788.29886059, -335.17074935,  359.11787636]), array([ 788.85973059, -327.09250575,  316.45618853])]","[array([-1.02751696,  1.02868988,  0.68281797,  0.21650661,  1.14129061,
       -4.66871214]), array([-1.0209304 ,  1.07965895,  0.65038787,  0.21009682,  1.10278032,
       -4.67275872])]"
movec_fit,"[array([ 789.17107895, -313.56778248,  279.28886785]), array([ 789.48597842, -295.91597527,  247.5328206 ])]","[array([-1.01047281,  1.12528574,  0.62148945,  0.20494477,  1.06587767,
       -4.67862381]), array([-0.99645109,  1.16519164,  0.5967469 ,  0.20188389,  1.03158021,
       -4.68542942])]"
movec_fit,"[array([ 790.02956969, -278.55494144,  224.64472562]), array([ 791.15388381, -263.81106219,  209.34603198])]","[array([-0.98181038,  1.19485822,  0.58031604,  0.20122325,  1.00402724,
       -4.69146293]), array([-0.96807901,  1.21625687,  0.57349961,  0.2022331 ,  0.98380308,
       -4.6958336 ])]"
movec_fit,"[array([ 793.0623328 , -250.52783183,  203.02801353]), array([ 797.28885422, -251.92418985,  218.81720786])]","[array([-0.9540223 ,  1.2220255 ,  0.56974378,  0.20595474,  0.97746452,
       -4.69658766]), array([-0.94925875,  1.19793771,  0.58696849,  0.21224106,  0.99809678,
       -4.68923308])]"
movec_fit,"[array([ 799.9189166 , -256.13396233,  239.02957581]), array([ 803.71344641, -260.00734278,  265.15592746])]","[array([-0.94888074,  1.16349832,  0.59652728,  0.21841811,  1.02681273,
       -4.6805834 ]), array([-0.9464945 ,  1.12270152,  0.61526724,  0.2276426 ,  1.0619592 ,
       -4.67035834])]"
movec_fit,"[array([ 807.97969993, -260.46864498,  288.28298589]), array([ 812.89052955, -257.41883229,  312.41288493])]","[array([-0.94072563,  1.09027021,  0.6378408 ,  0.23663512,  1.08992458,
       -4.66227375]), array([-0.93121203,  1.05919684,  0.66485168,  0.24688078,  1.11579882,
       -4.65563142])]"
movec_fit,"[array([ 817.86615026, -250.45701492,  336.53207566]), array([ 821.79756673, -240.7967524 ,  357.37949014])]","[array([-0.91836747,  1.02993124,  0.69317297,  0.25783987,  1.13956052,
       -4.6510696 ]), array([-0.90459057,  1.00449993,  0.71583863,  0.26775684,  1.15980264,
       -4.64888192])]"
movec_fit,"[array([ 824.38169665, -230.03140775,  373.18736135]), array([ 826.26934553, -220.38979975,  382.65184085])]","[array([-0.89152805,  0.98321266,  0.72868355,  0.27550384,  1.17693241,
       -4.64799886]), array([-0.88038684,  0.9709046 ,  0.73723372,  0.28084137,  1.18778647,
       -4.64843298])]"
movec_fit,"[array([ 827.75885024, -209.46543118,  382.33436438]), array([ 826.64831197, -206.00294103,  360.35718821])]","[array([-0.86875837,  0.97093464,  0.73743617,  0.2836918 ,  1.1906688 ,
       -4.65138411]), array([-0.86764996,  0.99734399,  0.7153824 ,  0.2781417 ,  1.17420547,
       -4.65699698])]"
