primitives,points,q_bp
movej_fit,"[array([213.13032225,  24.23842667, 774.29664644])]","[array([-0.81168762, -0.84331091, -0.3094417 , -0.20329228, -2.07747051,
       -1.22330761])]"
movel_fit,"[array([258.22737844,   2.69522428, 775.76155393])]","[array([-0.71240122, -0.80187774, -0.30350506, -0.19105951, -1.99772682,
       -1.25901958])]"
movel_fit,"[array([303.30894478, -18.8664903 , 777.20906546])]","[array([-0.64841655, -0.75845972, -0.29598757, -0.1792865 , -1.92400783,
       -1.26100193])]"
movel_fit,"[array([340.3532532 , -36.60610078, 778.38586398])]","[array([-0.61215502, -0.72176811, -0.28851731, -0.17126632, -1.86644987,
       -1.24782142])]"
movel_fit,"[array([377.72030401, -53.60482156, 780.15165572])]","[array([-0.55041403, -0.69039129, -0.2763901 , -0.1437643 , -1.8020191 ,
       -1.22993632])]"
movel_fit,"[array([415.39445006, -69.85166461, 782.40826642])]","[array([-0.46953994, -0.66233785, -0.26251534, -0.09635353, -1.73389772,
       -1.20610522])]"
movel_fit,"[array([453.37748629, -85.3008165 , 785.02701761])]","[array([-0.37560892, -0.63466567, -0.24868862, -0.03017441, -1.66653221,
       -1.17591736])]"
movel_fit,"[array([491.6705984 , -99.94408535, 787.826314  ])]","[array([-0.27767634, -0.60359092, -0.23524177,  0.04971673, -1.60526333,
       -1.13958217])]"
movel_fit,"[array([ 530.23055219, -113.86881297,  790.57252067])]","[array([-0.18732237, -0.56565856, -0.22094931,  0.13399279, -1.55431621,
       -1.09866847])]"
movel_fit,"[array([ 568.97081934, -127.34645877,  793.03921926])]","[array([-0.11473838, -0.51928425, -0.20357351,  0.21215991, -1.5148266 ,
       -1.05713049])]"
movel_fit,"[array([ 607.70279123, -140.92031145,  795.06171666])]","[array([-0.0666049 , -0.46556764, -0.18114011,  0.27521752, -1.48460689,
       -1.02008901])]"
movel_fit,"[array([ 646.10698357, -155.46498193,  796.59864543])]","[array([-0.04644378, -0.40731637, -0.15218491,  0.31626772, -1.4600236 ,
       -0.99243131])]"
movel_fit,"[array([ 683.65460709, -172.10735381,  797.71104775])]","[array([-0.05712893, -0.34742763, -0.11538277,  0.32833587, -1.43815095,
       -0.97802535])]"
movel_fit,"[array([ 719.67458097, -191.88501008,  798.38058275])]","[array([-0.10315861, -0.28694767, -0.06897728,  0.30129401, -1.41878872,
       -0.97971796])]"
movel_fit,"[array([ 753.59120938, -215.09149861,  798.21228305])]","[array([-0.19184317, -0.22319521, -0.01122306,  0.21902486, -1.406792  ,
       -0.9977072 ])]"
movel_fit,"[array([ 785.48871473, -240.93844892,  796.27160951])]","[array([-0.33073676, -0.14835095,  0.0553789 ,  0.06170739, -1.41387035,
       -1.02388799])]"
movel_fit,"[array([ 816.26043436, -267.75598215,  791.48599936])]","[array([-0.50851768, -0.05382711,  0.11302793, -0.16887473, -1.45180784,
       -1.04054697])]"
movel_fit,"[array([ 847.23394966, -293.58490864,  783.59378546])]","[array([-0.67049143,  0.05791955,  0.13988306, -0.41062522, -1.51083818,
       -1.03864266])]"
movel_fit,"[array([ 879.62225226, -317.09574632,  774.24420087])]","[array([-0.7687378 ,  0.16827941,  0.14943604, -0.59163243, -1.5600503 ,
       -1.02107877])]"
movel_fit,"[array([ 914.41323694, -337.9699596 ,  767.58775864])]","[array([-0.80531769,  0.25510407,  0.17447199, -0.69036625, -1.57708455,
       -0.99208264])]"
movel_fit,"[array([ 951.41400218, -355.84550479,  769.03764835])]","[array([-0.79414961,  0.30216063,  0.2333867 , -0.70183949, -1.55121041,
       -0.95332496])]"
movel_fit,"[array([ 988.93970729, -369.11555511,  779.40662035])]","[array([-0.73110799,  0.30689436,  0.32594023, -0.60401451, -1.480953  ,
       -0.89774557])]"
movel_fit,"[array([1027.08935049, -376.68502365,  792.72767455])]","[array([-0.5985708 ,  0.29433163,  0.43314447, -0.37530697, -1.38663693,
       -0.80558996])]"
movel_fit,"[array([1066.78770953, -379.75440159,  802.94840759])]","[array([-0.4304826 ,  0.31057682,  0.52656837, -0.0919643 , -1.32117915,
       -0.66536849])]"
movel_fit,"[array([1107.45325113, -383.58480833,  807.80556886])]","[array([-0.32169508,  0.37518388,  0.62461378,  0.0852874 , -1.31365348,
       -0.51860721])]"
movel_fit,"[array([1145.93507128, -398.12864553,  809.23475581])]","[array([-0.31293655,  0.46886166,  0.75770921,  0.09562235, -1.34078737,
       -0.43134182])]"
movel_fit,"[array([1175.98572203, -426.22431387,  807.82619084])]","[array([-0.41258677,  0.55963777,  0.88366882, -0.08433004, -1.37061474,
       -0.4326138 ])]"
movel_fit,"[array([1201.10173257, -457.75067198,  799.78972121])]","[array([-0.58094606,  0.64777348,  0.92678498, -0.42034307, -1.3955721 ,
       -0.51454656])]"
movel_fit,"[array([1232.06642075, -495.77409976,  790.0981667 ])]","[array([-0.73092031,  0.63116956,  0.67635073, -0.80970498, -1.30014431,
       -0.54895194])]"
movel_fit,"[array([1263.04616868, -533.848489  ,  780.57996822])]","[array([-0.81741853,  0.60999041,  0.36607147, -1.20578097, -1.23104341,
       -0.51465187])]"
