primitives,points,q_bp
movej_fit,"[array([213.19398599,  24.3791799 , 774.4130935 ])]","[array([-0.8006352 , -0.84458765, -0.30803538, -0.20000072, -2.07479979,
       -1.22736687])]"
movel_fit,"[array([243.23746887,   9.97012723, 775.3508828 ])]","[array([-0.73406507, -0.81683615, -0.3048884 , -0.19288656, -2.02182519,
       -1.25376861])]"
movel_fit,"[array([273.28095175,  -4.43892544, 776.28867211])]","[array([-0.68471532, -0.78799886, -0.30073805, -0.18555719, -1.97185259,
       -1.26344618])]"
movel_fit,"[array([303.30738659, -18.88308598, 777.19629178])]","[array([-0.64924702, -0.75858719, -0.29630681, -0.17969236, -1.92388998,
       -1.26029593])]"
movel_fit,"[array([334.16416665, -33.6879772 , 778.15718912])]","[array([-0.61947253, -0.72735993, -0.2898819 , -0.17355564, -1.87670215,
       -1.25090286])]"
movel_fit,"[array([365.24450722, -48.00442438, 779.5160207 ])]","[array([-0.57254285, -0.70022384, -0.28039612, -0.15463112, -1.82422375,
       -1.23723486])]"
movel_fit,"[array([396.53555254, -61.80963018, 781.23610452])]","[array([-0.51127216, -0.67597121, -0.26921549, -0.12205131, -1.76831579,
       -1.21944493])]"
movel_fit,"[array([428.04820835, -75.08144964, 783.25762829])]","[array([-0.43860775, -0.65310836, -0.25757593, -0.07573942, -1.71123044,
       -1.19733646])]"
movel_fit,"[array([459.76261638, -87.78658612, 785.49252918])]","[array([-0.35872488, -0.62971665, -0.24624196, -0.01720084, -1.65586737,
       -1.17070386])]"
movel_fit,"[array([491.69493271, -99.93707417, 787.82733355])]","[array([-0.27736386, -0.60351331, -0.23514754,  0.0499587 , -1.60531996,
       -1.13980388])]"
movel_fit,"[array([ 523.81438886, -111.5874292 ,  790.1260829 ])]","[array([-0.2012904 , -0.57252892, -0.2234759 ,  0.12016794, -1.56197317,
       -1.1056782 ])]"
movel_fit,"[array([ 556.07089974, -122.88383855,  792.25260901])]","[array([-0.13665777, -0.53571148, -0.20993709,  0.18721509, -1.52664747,
       -1.07048627])]"
movel_fit,"[array([ 588.37167256, -134.09397202,  794.10438068])]","[array([-0.08770937, -0.4932914 , -0.19322804,  0.24571316, -1.49854296,
       -1.03731122])]"
movel_fit,"[array([ 620.59321111, -145.64318508,  795.62050719])]","[array([-0.05711051, -0.44660224, -0.1724141 ,  0.2912342 , -1.47566286,
       -1.00911523])]"
movel_fit,"[array([ 652.45460561, -158.10738332,  796.80555346])]","[array([-0.04663276, -0.39758138, -0.14683855,  0.31988633, -1.45583354,
       -0.98835469])]"
movel_fit,"[array([ 683.66146109, -172.17037934,  797.70315366])]","[array([-0.05793325, -0.34767313, -0.11563649,  0.32752314, -1.43764984,
       -0.97722177])]"
movel_fit,"[array([ 713.82328061, -188.41161375,  798.29826103])]","[array([-0.09361159, -0.29735564, -0.07774133,  0.30820643, -1.42118948,
       -0.97743384])]"
movel_fit,"[array([ 742.55493434, -207.06380665,  798.38935803])]","[array([-0.15790576, -0.24542827, -0.03212085,  0.25280109, -1.40883346,
       -0.98932333])]"
movel_fit,"[array([ 769.76448237, -227.83400471,  797.50322505])]","[array([-0.25593781, -0.18805759,  0.02106056,  0.14939195, -1.40640556,
       -1.00983678])]"
movel_fit,"[array([ 795.84633958, -249.90472448,  795.01102588])]","[array([-0.3879182 , -0.11921284,  0.07690557, -0.00927252, -1.42281129,
       -1.03117133])]"
movel_fit,"[array([ 821.42784342, -272.20284616,  790.34874244])]","[array([-0.53853632, -0.03585388,  0.12009018, -0.21085931, -1.46110345,
       -1.04175692])]"
movel_fit,"[array([ 847.28566215, -293.61524203,  783.56178627])]","[array([-0.67072387,  0.05806486,  0.13977708, -0.41103667, -1.51085935,
       -1.03855394])]"
movel_fit,"[array([ 874.13736297, -313.38472507,  775.73212299])]","[array([-0.75715679,  0.15115961,  0.14773082, -0.5671814 , -1.55379501,
       -1.02502396])]"
movel_fit,"[array([ 902.60695563, -331.3116134 ,  769.18993565])]","[array([-0.79863561,  0.23017398,  0.16396699, -0.66602495, -1.5761684 ,
       -1.00355356])]"
movel_fit,"[array([ 932.79017448, -347.43589861,  766.93784442])]","[array([-0.80573507,  0.28425938,  0.19787132, -0.70907058, -1.5693099 ,
       -0.97282368])]"
movel_fit,"[array([ 963.99230149, -360.94704224,  771.58702711])]","[array([-0.78005324,  0.30772826,  0.25948405, -0.68409171, -1.53157375,
       -0.93599121])]"
movel_fit,"[array([ 995.29703867, -370.86047857,  781.57301603])]","[array([-0.71453027,  0.30461497,  0.3420755 , -0.57617282, -1.46490844,
       -0.88393842])]"
movel_fit,"[array([1027.14022198, -376.73678967,  792.79974502])]","[array([-0.59842242,  0.29429862,  0.43321776, -0.37504794, -1.38642339,
       -0.80509827])]"
movel_fit,"[array([1060.14253576, -379.43192778,  801.69827093])]","[array([-0.45588589,  0.3047335 ,  0.51290089, -0.1339594 , -1.32838152,
       -0.69135653])]"
movel_fit,"[array([1093.98804503, -381.57914248,  806.76411546])]","[array([-0.34630568,  0.34975399,  0.59001943,  0.04613771, -1.31164132,
       -0.56497167])]"
movel_fit,"[array([1127.59504645, -388.71172663,  808.8076591 ])]","[array([-0.30176417,  0.42168122,  0.68954719,  0.11657895, -1.32664304,
       -0.46693262])]"
movel_fit,"[array([1157.15506663, -406.37209252,  809.26520932])]","[array([-0.33357746,  0.50194752,  0.80717389,  0.05927148, -1.35307573,
       -0.4231869 ])]"
movel_fit,"[array([1180.39986859, -431.5772711 ,  807.10436022])]","[array([-0.4374578 ,  0.57486919,  0.900371  , -0.1306918 , -1.3760054 ,
       -0.44330687])]"
movel_fit,"[array([1201.14851941, -457.79714557,  799.65436117])]","[array([-0.58186555,  0.64849029,  0.92654927, -0.42271026, -1.39579016,
       -0.51385093])]"
movel_fit,"[array([1221.65440282, -483.1466603 ,  792.73340045])]","[array([-0.69132968,  0.64111281,  0.76943194, -0.68932371, -1.33477752,
       -0.55040091])]"
movel_fit,"[array([1242.15878757, -508.51792746,  785.8791959 ])]","[array([-0.77147846,  0.6242236 ,  0.56403214, -0.95645591, -1.27439305,
       -0.54807342])]"
movel_fit,"[array([1262.66317232, -533.88919461,  779.02499135])]","[array([-0.82148721,  0.61087931,  0.34703352, -1.22975623, -1.23689795,
       -0.52031681])]"
