primitives,points,q_bp
movej_fit,"[array([424.25556255, 705.90694715, 966.56379024])]","[array([ 0.06159578,  0.16709476, -1.02388223,  0.70064898, -2.17955374,
        5.77344293])]"
movel_fit,"[array([452.0766472 , 638.22801221, 896.54314645])]","[array([-0.0953745 ,  0.59935052, -1.00346259,  0.70018221, -1.83044985,
        5.52319709])]"
movel_fit,"[array([465.26172474, 622.35442536, 904.99539744])]","[array([-0.10697732,  0.60292332, -1.00155379,  0.69418846, -1.82064536,
        5.53359594])]"
movel_fit,"[array([473.39187018, 603.16766298, 917.19940721])]","[array([-0.12053657,  0.60582312, -1.00115725,  0.68375276, -1.79936664,
        5.53901027])]"
movel_fit,"[array([481.18626803, 582.87289389, 932.01524868])]","[array([-0.13528152,  0.60330814, -0.98706108,  0.67920211, -1.78906703,
        5.55501682])]"
movel_fit,"[array([484.40040157, 563.529261  , 947.32763459])]","[array([-0.14785685,  0.60056692, -0.97301954,  0.67479356, -1.77653848,
        5.56961009])]"
movel_fit,"[array([483.70911276, 546.26789444, 961.98448213])]","[array([-0.15778819,  0.59765533, -0.96020794,  0.67129567, -1.76334019,
        5.58262837])]"
movel_fit,"[array([480.22481346, 531.21280098, 975.55857794])]","[array([-0.16554604,  0.59490421, -0.94751851,  0.66911764, -1.75077119,
        5.59454814])]"
movel_fit,"[array([474.29317276, 517.74298119, 988.62988038])]","[array([-0.17180434,  0.59155882, -0.93410571,  0.66756122, -1.73876969,
        5.60582821])]"
movel_fit,"[array([ 465.88478573,  505.28439519, 1001.58517593])]","[array([-0.17724025,  0.58738246, -0.91966976,  0.66615446, -1.72663808,
        5.6164578 ])]"
movel_fit,"[array([ 455.19254333,  493.61877542, 1014.45371714])]","[array([-0.18214877,  0.5823064 , -0.90399783,  0.66469668, -1.71438506,
        5.62658617])]"
movel_fit,"[array([ 442.40923469,  482.61920396, 1027.12125204])]","[array([-0.18673099,  0.57645345, -0.88719777,  0.66296979, -1.70186975,
        5.63614197])]"
movel_fit,"[array([ 427.93942705,  472.10053713, 1039.51944353])]","[array([-0.19128976,  0.56984973, -0.86886931,  0.66089299, -1.68948337,
        5.64546473])]"
movel_fit,"[array([ 412.10677984,  462.0341249 , 1051.4052287 ])]","[array([-0.19601999,  0.56274356, -0.84936283,  0.65825429, -1.67711465,
        5.65432443])]"
movel_fit,"[array([ 395.31208344,  452.25784132, 1062.68205886])]","[array([-0.20134358,  0.5552092 , -0.8285672 ,  0.65485149, -1.66491002,
        5.66278753])]"
movel_fit,"[array([ 377.75685715,  442.41222198, 1073.4849866 ])]","[array([-0.20793687,  0.54706659, -0.80595026,  0.65024042, -1.65290807,
        5.67109289])]"
movel_fit,"[array([ 359.44776782,  432.33922276, 1083.81504086])]","[array([-0.21643104,  0.53808055, -0.78157776,  0.64380841, -1.64079396,
        5.67902497])]"
movel_fit,"[array([ 340.76423316,  422.24616741, 1093.36037081])]","[array([-0.227398  ,  0.52841335, -0.75531475,  0.63535597, -1.628811  ,
        5.68628954])]"
movel_fit,"[array([ 322.12158755,  412.62167125, 1101.70708212])]","[array([-0.241342  ,  0.51814603, -0.72727809,  0.62481953, -1.61728902,
        5.69234997])]"
movel_fit,"[array([ 303.76901602,  403.89479814, 1108.57450004])]","[array([-0.25903411,  0.50704966, -0.69746946,  0.61197441, -1.60636435,
        5.69665759])]"
movel_fit,"[array([ 286.04022774,  396.41317874, 1113.68833825])]","[array([-0.28158165,  0.49496732, -0.66565461,  0.59664745, -1.59606384,
        5.6987292 ])]"
movel_fit,"[array([ 269.65638618,  391.0034079 , 1116.40755168])]","[array([-0.3091537 ,  0.48235593, -0.63277971,  0.57839447, -1.58587616,
        5.6971993 ])]"
movel_fit,"[array([ 256.07487867,  388.38891799, 1116.2318646 ])]","[array([-0.34122013,  0.46995862, -0.60020184,  0.55676252, -1.57555367,
        5.69083609])]"
movel_fit,"[array([ 247.7920339 ,  387.66019475, 1114.30964268])]","[array([-0.37869188,  0.45721114, -0.56628764,  0.53201628, -1.56822886,
        5.68176543])]"
movel_fit,"[array([ 246.9759652 ,  387.21318387, 1111.30927208])]","[array([-0.42267543,  0.44559902, -0.53180974,  0.50370885, -1.5635121 ,
        5.67011144])]"
movel_fit,"[array([ 255.78234534,  385.1677563 , 1108.00443994])]","[array([-0.47350517,  0.43669584, -0.49872109,  0.47038484, -1.5604497 ,
        5.65513393])]"
movel_fit,"[array([ 275.52666438,  380.26483981, 1104.91846495])]","[array([-0.52898356,  0.43126468, -0.4708969 ,  0.43042695, -1.55772131,
        5.63481323])]"
movel_fit,"[array([ 306.02100117,  369.58958821, 1103.54960729])]","[array([-0.58817811,  0.43045467, -0.44415029,  0.38773702, -1.5594729 ,
        5.61269223])]"
movel_fit,"[array([ 345.49584737,  350.72829715, 1104.26683902])]","[array([-0.65018409,  0.43576204, -0.41549933,  0.34462999, -1.56707787,
        5.59023897])]"
movel_fit,"[array([ 390.8992849 ,  323.45167413, 1105.84547909])]","[array([-0.71195105,  0.44775042, -0.38739597,  0.30149228, -1.57740303,
        5.56582788])]"
movel_fit,"[array([ 432.54880536,  289.9242966 , 1106.46486312])]","[array([-0.77813594,  0.45549625, -0.37935701,  0.26589666, -1.57934861,
        5.54245356])]"
movel_fit,"[array([ 471.85737044,  253.92413598, 1105.67092487])]","[array([-0.8358785 ,  0.46702811, -0.37500537,  0.23548675, -1.58111582,
        5.51933317])]"
movel_fit,"[array([ 570.38607726,  167.7769442 , 1064.20711461])]","[array([-0.91061316,  0.59827026, -0.34964435,  0.12955064, -1.49865702,
        5.4240056 ])]"
