primitives,points,q_bp
movej_fit,"[array([437.0483715 , 681.01112094, 881.41797722])]","[array([-0.04153716,  0.53888566, -1.01923256,  0.69751985, -1.90606149,
        5.54252611])]"
movel_fit,"[array([453.02076475, 637.76948784, 896.70457647])]","[array([-0.0967767 ,  0.59892002, -1.00061524,  0.70213968, -1.83298192,
        5.52535205])]"
movec_fit,"[array([478.20222231, 598.98719834, 920.49010779]), array([485.86415025, 557.48380991, 952.9302986 ])]","[array([-0.12457313,  0.60229348, -0.9897586 ,  0.68627155, -1.80734702,
        5.54966843]), array([-0.15093768,  0.59735681, -0.96514996,  0.67373337, -1.77664561,
        5.57774137])]"
movec_fit,"[array([483.26492342, 537.36937445, 970.57338464]), array([476.62390711, 520.17640833, 986.94869674])]","[array([-0.1617538 ,  0.5937473 , -0.94967329,  0.66985991, -1.76044366,
        5.59313095]), array([-0.1698344 ,  0.5899196 , -0.93388749,  0.66744926, -1.74491324,
        5.60695743])]"
movec_fit,"[array([ 466.80056936,  505.43556131, 1002.19338685]), array([ 453.78846011,  491.79932205, 1017.24360433])]","[array([-0.17624519,  0.58528625, -0.91746289,  0.66559109, -1.73011183,
        5.6191012 ]), array([-0.18199257,  0.57959799, -0.89939058,  0.66373579, -1.71497211,
        5.63039388])]"
movec_fit,"[array([ 442.34440806,  482.19532099, 1028.29786703]), array([ 429.57017021,  472.99882088, 1039.05094128])]","[array([-0.18612105,  0.5745101 , -0.88466549,  0.6622834 , -1.70382171,
        5.63856391]), array([-0.19019197,  0.5690605 , -0.86900683,  0.66049166, -1.69247443,
        5.64629088])]"
movel_fit,"[array([ 394.69471592,  451.85420282, 1063.42001588])]","[array([-0.20121526,  0.55437138, -0.82682746,  0.65429297, -1.66521552,
        5.66381251])]"
movec_fit,"[array([ 367.31269995,  436.74493247, 1079.36109983]), array([ 338.72907779,  421.34807495, 1093.80706552])]","[array([-0.21233888,  0.54234224, -0.79237386,  0.64660073, -1.64564138,
        5.67537719]), array([-0.22868381,  0.52841384, -0.7536414 ,  0.63452574, -1.62625298,
        5.68587845])]"
movec_fit,"[array([ 314.69190407,  409.30395591, 1103.83528412]), array([ 291.38285734,  399.13214268, 1111.25704315])]","[array([-0.24761895,  0.51540376, -0.71792269,  0.62035477, -1.6107339 ,
        5.69254483]), array([-0.27286341,  0.50085226, -0.67917751,  0.60180815, -1.5963307 ,
        5.69594107])]"
movec_fit,"[array([ 270.72156394,  392.18989506, 1115.26982614]), array([ 254.59260617,  388.90433761, 1115.62177077])]","[array([-0.30463931,  0.48531268, -0.63855457,  0.57896454, -1.58380718,
        5.69473763]), array([-0.34441811,  0.46900268, -0.59622051,  0.55194342, -1.5734375 ,
        5.68816908])]"
movec_fit,"[array([ 248.13634635,  387.58702364, 1110.32717018]), array([ 283.722883  ,  376.96155482, 1105.09035813])]","[array([-0.43123105,  0.44400373, -0.52512102,  0.49596264, -1.56232383,
        5.66606867]), array([-0.54616362,  0.43152371, -0.45880253,  0.41960236, -1.56078373,
        5.63095261])]"
movec_fit,"[array([ 328.59436434,  357.91288726, 1104.24720742]), array([ 384.3580614 ,  325.48618962, 1105.29844895])]","[array([-0.62821557,  0.43324435, -0.42452086,  0.36406328, -1.56480962,
        5.6018668 ]), array([-0.71256712,  0.44225918, -0.39802297,  0.30827096, -1.57156987,
        5.56955465])]"
movec_fit,"[array([ 430.21018422,  291.62492761, 1106.20837811]), array([ 472.94207124,  254.69381993, 1105.75209349])]","[array([-0.77660568,  0.45342903, -0.38332431,  0.26756744, -1.57721414,
        5.5431814 ]), array([-0.83292984,  0.46722466, -0.37436602,  0.23326803, -1.58200268,
        5.51752546])]"
movel_fit,"[array([ 568.44418765,  179.45708895, 1099.89499112])]","[array([-0.89930664,  0.49230478, -0.38008934,  0.10745372, -1.5659833 ,
        5.41952986])]"
