primitives,points,q_bp
movej_fit,"[array([450.08149494, 645.31389366, 891.32124646])]","[array([-0.09047997,  0.59861542, -1.00194435,  0.70399636, -1.84049722,
        5.52228237])]"
movel_fit,"[array([452.98021729, 639.81314895, 895.47797369])]","[array([-0.08900313,  0.60477525, -1.00018559,  0.69349226, -1.82866753,
        5.52193844])]"
movec_fit,"[array([474.71335126, 596.91947472, 921.35194974]), array([486.88331972, 557.04509805, 953.58972713])]","[array([-0.13403756,  0.59695664, -1.00028838,  0.69488768, -1.80347437,
        5.54609217]), [-0.15192751, 0.59492606, -0.96238437, 0.67539967, -1.78068175, 5.58106857]]"
movec_fit,"[array([479.43184482, 537.38319652, 970.26743921]), array([477.24152975, 519.94391977, 987.51903095])]","[array([-0.16397775,  0.5929178 , -0.96115983,  0.67085522, -1.75207697,
        5.58643248]), [-0.17035035, 0.58773106, -0.9323748, 0.66839168, -1.74784919, 5.60930581]]"
movec_fit,"[array([ 465.11637925,  505.88591749, 1001.64896658]), array([ 454.18866193,  491.68239819, 1017.68031127])]","[array([-0.17578159,  0.58629823, -0.9225662 ,  0.66453777, -1.72535136,
        5.6152591 ]), [-0.18218384, 0.57802829, -0.89844862, 0.66416455, -1.71697466, 5.63197748]]"
movec_fit,"[array([ 442.63329138,  482.13159608, 1028.63834816]), array([ 429.78110214,  472.96194666, 1039.33049232])]","[array([-0.18615143,  0.57336342, -0.88394725,  0.66246828, -1.70529016,
        5.63972387]), [-0.19013479, 0.56819817, -0.86841152, 0.66053349, -1.69359142, 5.64717713]]"
movel_fit,"[array([ 394.79474655,  451.88462248, 1063.53799057])]","[array([-0.20101884,  0.55408549, -0.82649645,  0.65411905, -1.66568582,
        5.66414731])]"
movec_fit,"[array([ 367.35342105,  436.78507406, 1079.41966407]), array([ 338.69076774,  421.41660296, 1093.76548991])]","[array([-0.21211682,  0.54228615, -0.79210041,  0.64635681, -1.64584527,
        5.67550109]), [-0.22841652, 0.52864302, -0.75350566, 0.63417965, -1.62607986, 5.68569531]]"
movec_fit,"[array([ 314.58649543,  409.38989046, 1103.69936716]), array([ 291.17608365,  399.22195698, 1111.03030955])]","[array([-0.24738717,  0.51579881, -0.71801103,  0.6200152 , -1.61023857,
        5.69211631]), [-0.27274944, 0.50129319, -0.67962171, 0.60155198, -1.59547504, 5.69529347]]"
movec_fit,"[array([ 270.62736652,  391.72165906, 1115.97562254]), array([ 254.20042128,  388.87282739, 1115.38581878])]","[array([-0.30588049,  0.48327031, -0.63843515,  0.58016158, -1.58537117,
        5.69641827]), [-0.34467721, 0.46895114, -0.59795639, 0.55252881, -1.57219446, 5.68770243]]"
movec_fit,"[array([ 249.07238251,  385.27212773, 1110.03370447]), array([ 282.89035092,  376.67853223, 1104.99477593])]","[array([-0.43513775,  0.44881072, -0.51883784,  0.49950277, -1.56270138,
        5.66900177]), [-0.54752384, 0.43067122, -0.46066331, 0.42091909, -1.55954584, 5.63152424]]"
movec_fit,"[array([ 328.17471041,  358.62634095, 1104.09454989]), array([ 383.19894633,  324.91249316, 1105.28313125])]","[array([-0.62721239,  0.43209698, -0.42698406,  0.36358126, -1.56380919,
        5.6009919 ]), [-0.71503891, 0.44145249, -0.39934132, 0.31037668, -1.57054702, 5.57117197]]"
movec_fit,"[array([ 429.68030573,  291.47669398, 1106.19442501]), array([ 472.86489544,  254.43985332, 1105.79234592])]","[array([-0.7775936 ,  0.45295564, -0.38411577,  0.26840028, -1.57671281,
        5.54381049]), [-0.83343857, 0.46745624, -0.37383492, 0.23365186, -1.58221565, 5.5179246]]"
movel_fit,"[array([ 567.21151284,  180.28846057, 1106.32814295])]","[array([-0.90031368,  0.47509099, -0.38176365,  0.1081893 , -1.58133784,
        5.42183084])]"
