primitives,points,q_bp
movej_fit,"[array([ 436.74850248, -435.43040251, -274.68201427])]","[array([-1.49706232,  1.57033426, -0.07478167, -0.76103425, -1.27037886,
        0.04899393])]"
movel_fit,"[array([ 426.55187106, -451.63957553, -228.84073695])]","[array([-1.5160759 ,  1.54553245, -0.07839103, -0.74811639, -1.33186874,
        0.05420173])]"
movec_fit,"[array([ 414.98728949, -470.54965243, -175.2960616 ]), array([ 403.00851515, -490.90601507, -119.28657415])]","[array([-1.53538475,  1.52660592, -0.07254432, -0.73771533, -1.41352574,
        0.07108763]), array([-1.55364728,  1.50341188, -0.07137148, -0.73075798, -1.49443624,
        0.07370845])]"
movec_fit,"[array([ 398.01396804, -500.79003029,  -95.94218036]), array([ 393.20205664, -511.73778327,  -72.96632822])]","[array([-1.56425269,  1.49839985, -0.07023335, -0.73414627, -1.53115289,
        0.07962119]), array([-1.5735231 ,  1.49454861, -0.06624317, -0.73792956, -1.56910602,
        0.08365028])]"
movec_fit,"[array([ 389.07430537, -522.15447563,  -53.09682683]), array([ 385.10539673, -533.3571321 ,  -33.71024789])]","[array([-1.58201404,  1.48759646, -0.06581485, -0.74238417, -1.59847405,
        0.08406616]), array([-1.58938876,  1.48213689, -0.06237065, -0.74716718, -1.62908074,
        0.08348068])]"
movel_fit,"[array([ 377.61440142, -556.97540452,    3.38569793])]","[array([-1.60554523,  1.47034719, -0.05893878, -0.76283899, -1.68542561,
        0.08539399])]"
movel_fit,"[array([ 370.91450432, -583.07723418,   38.63446673])]","[array([-1.61965476,  1.45723085, -0.05266322, -0.78187576, -1.73829032,
        0.08407202])]"
movel_fit,"[array([ 364.69547467, -610.21559528,   72.80310212])]","[array([-1.63226649,  1.44377317, -0.04546377, -0.80477258, -1.78866499,
        0.08343095])]"
movel_fit,"[array([ 359.10977054, -638.57239696,  105.60229585])]","[array([-1.6431294 ,  1.43026709, -0.03586156, -0.83118861, -1.8363104 ,
        0.0816338 ])]"
movel_fit,"[array([ 354.10216444, -667.76391273,  137.2010961 ])]","[array([-1.65259456,  1.41696139, -0.02447147, -0.86143611, -1.88110948,
        0.07953014])]"
movel_fit,"[array([ 349.71347628, -697.76042813,  167.54150785])]","[array([-1.66070991,  1.40408614, -0.01073374, -0.89544493, -1.9228042 ,
        0.07669539])]"
movel_fit,"[array([ 345.93018481, -728.43170219,  196.70693053])]","[array([-1.66771357,  1.39157528,  0.0052426 , -0.93323868, -1.96093643,
        0.07333148])]"
movel_fit,"[array([ 342.72648568, -759.66387611,  224.77636862])]","[array([-1.67377346,  1.37934802,  0.02365334, -0.97454885, -1.99503494,
        0.06945358])]"
movel_fit,"[array([ 340.01405634, -791.23072879,  251.95836614])]","[array([-1.67892238,  1.36764016,  0.04484274, -1.01893818, -2.02519025,
        0.06549833])]"
movel_fit,"[array([ 337.63998462, -822.91202079,  278.4514099 ])]","[array([-1.68321285,  1.35677787,  0.06939165, -1.06579947, -2.0516142 ,
        0.06196592])]"
movel_fit,"[array([ 335.36947643, -854.57191081,  304.44895487])]","[array([-1.68704236,  1.34649869,  0.09768268, -1.11432026, -2.07383979,
        0.05931805])]"
movel_fit,"[array([ 332.87745228, -886.09976344,  330.18386554])]","[array([-1.69108037,  1.33610116,  0.13000288, -1.16330971, -2.0909159 ,
        0.05804309])]"
movel_fit,"[array([ 329.74525763, -917.23939261,  355.92185305])]","[array([-1.69588139,  1.32532829,  0.16690372, -1.21128611, -2.10252237,
        0.05901231])]"
movel_fit,"[array([ 325.46748089, -947.65005894,  381.91964908])]","[array([-1.70186033,  1.31444469,  0.20929982, -1.25673192, -2.10908613,
        0.06321739])]"
movel_fit,"[array([ 319.49449519, -976.94193982,  408.3974147 ])]","[array([-1.70960626,  1.30328977,  0.25751583, -1.29802831, -2.11076311,
        0.07143867])]"
movel_fit,"[array([  311.31656057, -1004.62012358,   435.5987374 ])]","[array([-1.71966933,  1.29132539,  0.31081158, -1.33374589, -2.10783276,
        0.08404704])]"
movel_fit,"[array([  300.50607151, -1029.95228774,   463.80046523])]","[array([-1.73205292,  1.27872797,  0.3679717 , -1.36343306, -2.10218092,
        0.10085687])]"
movel_fit,"[array([  286.70531498, -1051.98701053,   493.35685598])]","[array([-1.74640849,  1.26607707,  0.4272937 , -1.3878207 , -2.09691667,
        0.1208709 ])]"
movel_fit,"[array([  269.58902158, -1069.50695658,   524.68320304])]","[array([-1.7623264 ,  1.25384607,  0.48678467, -1.40830336, -2.09562543,
        0.14262682])]"
movel_fit,"[array([  249.12578174, -1081.18518522,   558.2305232 ])]","[array([-1.77916695,  1.24273503,  0.54596466, -1.42652156, -2.10193695,
        0.16388612])]"
movel_fit,"[array([  226.3042255 , -1086.33327228,   594.3104941 ])]","[array([-1.79642259,  1.23082441,  0.60201835, -1.44355778, -2.11577722,
        0.18275285])]"
movel_fit,"[array([  202.40224989, -1084.5189994 ,   632.98336329])]","[array([-1.81356451,  1.21537334,  0.65098342, -1.45992298, -2.13601061,
        0.19946296])]"
movel_fit,"[array([  178.81353521, -1075.55992579,   674.0812562 ])]","[array([-1.8287297 ,  1.1992714 ,  0.69797592, -1.47797861, -2.16474004,
        0.2109573 ])]"
movel_fit,"[array([  157.09837627, -1060.42721909,   717.06083453])]","[array([-1.84164726,  1.1791865 ,  0.73791503, -1.49792406, -2.19794018,
        0.21864141])]"
movel_fit,"[array([  138.65629416, -1041.09462382,   761.2372678 ])]","[array([-1.85198875,  1.15450453,  0.77026221, -1.52055285, -2.23168086,
        0.22270076])]"
movel_fit,"[array([  138.04711841, -1040.2459487 ,   764.58111524])]","[array([-1.85243514,  1.15133463,  0.76805713, -1.52339933, -2.23285462,
        0.22229285])]"
movel_fit,"[array([  126.73702299, -1025.98955832,   828.71953742])]","[array([-1.86019585,  1.1008887 ,  0.74667338, -1.58565958, -2.25316389,
        0.19893589])]"
