breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1733.67873467,  766.88475326,  143.73022844])]","[array([ 0.34853052,  1.49549148,  1.1802637 , -0.30373588, -0.31200708,
       -1.16995112])]"
1000,movel_fit,"[array([1725.44044397,  776.66902056,  163.3007002 ])]","[array([ 0.35080906,  1.47793613,  1.17844514, -0.32087756, -0.33837776,
       -1.17713856])]"
2000,movel_fit,"[array([1715.96569397,  783.95872463,  182.67088281])]","[array([ 0.35220394,  1.45891147,  1.17668191, -0.33170474, -0.36882552,
       -1.17719097])]"
3000,movel_fit,"[array([1706.10588401,  789.99711161,  201.62042532])]","[array([ 0.35292641,  1.43996387,  1.17484201, -0.34204545, -0.39983714,
       -1.17610749])]"
4000,movel_fit,"[array([1696.66440576,  795.91253892,  220.98212693])]","[array([ 0.35351328,  1.42197164,  1.17378217, -0.353109  , -0.42870454,
       -1.17514639])]"
5000,movel_fit,"[array([1687.64628217,  801.86545866,  240.7938974 ])]","[array([ 0.35412531,  1.40489467,  1.17356642, -0.36434367, -0.45535754,
       -1.1739656 ])]"
6000,movel_fit,"[array([1679.04408296,  808.0486304 ,  261.04737933])]","[array([ 0.3549277 ,  1.38871425,  1.17419599, -0.37544689, -0.47968263,
       -1.17250799])]"
7000,movel_fit,"[array([1670.79875556,  814.75197178,  281.65746467])]","[array([ 0.35613275,  1.37343321,  1.17558771, -0.3862779 , -0.50152683,
       -1.17097669])]"
8000,movel_fit,"[array([1662.82158221,  822.18586483,  302.5184486 ])]","[array([ 0.35791797,  1.35901299,  1.17763165, -0.39663475, -0.52085632,
       -1.16950668])]"
9000,movel_fit,"[array([1655.01301821,  830.33353749,  323.52142233])]","[array([ 0.36034327,  1.34533835,  1.18021852, -0.40618576, -0.53788162,
       -1.16798484])]"
10000,movel_fit,"[array([1647.40541961,  839.0549005 ,  344.75757711])]","[array([ 0.36336731,  1.33230317,  1.18338204, -0.4147471 , -0.55272826,
       -1.16621346])]"
11000,movel_fit,"[array([1640.05315226,  848.14699641,  366.36428216])]","[array([ 0.36689001,  1.31979614,  1.18717864, -0.42224052, -0.56555032,
       -1.16399017])]"
12000,movel_fit,"[array([1632.98522872,  857.43603075,  388.45951353])]","[array([ 0.37081246,  1.3077147 ,  1.19163687, -0.42867572, -0.57650645,
       -1.16119487])]"
13000,movel_fit,"[array([1626.19004629,  866.81460805,  411.12306207])]","[array([ 0.37506671,  1.2959688 ,  1.19674437, -0.43411417, -0.58574285,
       -1.15780667])]"
