breakpoints,primitives,points,q_bp
0,movej_fit,"[array([-324.12652981,  797.20682669,  370.03710947])]","[array([ 0.01933089, -0.9808959 , -0.72628773,  0.25479852, -0.85006794,
        4.85071875])]"
1000,movel_fit,"[array([-334.68673646,  791.29646021,  369.45402057])]","[array([ 0.02766893, -0.97365477, -0.72927159,  0.25397283, -0.85074387,
        4.85828957])]"
2000,movel_fit,"[array([-345.71278624,  784.74991709,  366.26748754])]","[array([ 0.03754859, -0.97148059, -0.72886749,  0.25177376, -0.84683156,
        4.86508492])]"
3000,movel_fit,"[array([-355.78752006,  777.91388206,  361.06611089])]","[array([ 0.04666072, -0.97062804, -0.72806874,  0.25089971, -0.84221003,
        4.87213415])]"
4000,movel_fit,"[array([-364.77219408,  770.97075696,  354.47691867])]","[array([ 0.0547465 , -0.97030975, -0.72734673,  0.25141231, -0.83761933,
        4.87942247])]"
5000,movel_fit,"[array([-372.74350629,  763.99863266,  346.80177426])]","[array([ 0.06194285, -0.97054758, -0.72658873,  0.25298984, -0.83300008,
        4.88679374])]"
6000,movel_fit,"[array([-379.74915165,  757.09812154,  338.42035121])]","[array([ 0.06830964, -0.97118771, -0.72580623,  0.25538254, -0.82845837,
        4.89412018])]"
7000,movel_fit,"[array([-385.83950952,  750.42620123,  329.90761039])]","[array([ 0.07384069, -0.97184663, -0.72514341,  0.25834301, -0.82429886,
        4.90126291])]"
8000,movel_fit,"[array([-391.09755011,  744.14132577,  321.80245213])]","[array([ 0.07855471, -0.97220706, -0.72469918,  0.26160068, -0.82075632,
        4.90806985])]"
9000,movel_fit,"[array([-395.61734   ,  738.33542786,  314.36352035])]","[array([ 0.08253044, -0.9722191 , -0.72443337,  0.26492853, -0.81783103,
        4.91442344])]"
10000,movel_fit,"[array([-399.47462747,  733.01292389,  307.53624958])]","[array([ 0.08588578, -0.97207291, -0.72420052,  0.26819727, -0.81532582,
        4.92027532])]"
11000,movel_fit,"[array([-402.72025508,  728.12096185,  301.09955698])]","[array([ 0.08874015, -0.97204121, -0.72383793,  0.27136637, -0.81298615,
        4.92563765])]"
12000,movel_fit,"[array([-405.39033961,  723.59657866,  294.83944433])]","[array([ 0.09118898, -0.97233788, -0.72323182,  0.27443688, -0.81061783,
        4.93054899])]"
13000,movel_fit,"[array([-407.51693596,  719.39651529,  288.63654516])]","[array([ 0.09329868, -0.9730683 , -0.72233208,  0.27741061, -0.8081233 ,
        4.93504493])]"
14000,movel_fit,"[array([-409.13206504,  715.49936865,  282.45518479])]","[array([ 0.09511637, -0.9742596 , -0.72112975,  0.28027624, -0.80547174,
        4.93914868])]"
15000,movel_fit,"[array([-410.26687456,  711.89307802,  276.29236224])]","[array([ 0.09668257, -0.97591358, -0.71962787,  0.28301422, -0.80265302,
        4.94287553])]"
16000,movel_fit,"[array([-410.95003983,  708.5670908 ,  270.1487842 ])]","[array([ 0.09803721, -0.97803374, -0.71782773,  0.28560214, -0.79965498,
        4.94623718])]"
17000,movel_fit,"[array([-411.20751674,  705.51767606,  264.04003386])]","[array([ 0.09921672, -0.9806174 , -0.71573239,  0.28801126, -0.79647004,
        4.94923767])]"
18000,movel_fit,"[array([-411.06308045,  702.75907354,  258.02102025])]","[array([ 0.1002473 , -0.98363755, -0.71335469,  0.29019942, -0.79311   ,
        4.95186498])]"
19000,movel_fit,"[array([-410.53807449,  700.32609239,  252.1856017 ])]","[array([ 0.10114304, -0.98704463, -0.71071601,  0.29211075, -0.78960428,
        4.95408845])]"
20000,movel_fit,"[array([-409.64969465,  698.26081692,  246.62879905])]","[array([ 0.10191369, -0.9907975 , -0.7078323 ,  0.29368592, -0.78597513,
        4.95586799])]"
21000,movel_fit,"[array([-408.40884916,  696.59114795,  241.39655714])]","[array([ 0.10257863, -0.9949037 , -0.70469651,  0.29487584, -0.78220582,
        4.9571698 ])]"
22000,movel_fit,"[array([-406.81956346,  695.31910805,  236.46550297])]","[array([ 0.1031762 , -0.99943652, -0.70127184,  0.2956464 , -0.77822798,
        4.95797536])]"
23000,movel_fit,"[array([-404.88088244,  694.43305907,  231.7785501 ])]","[array([ 0.10375805, -1.0045087 , -0.69750409,  0.29596811, -0.77394354,
        4.95827262])]"
24000,movel_fit,"[array([-402.59021607,  693.94171254,  227.32323875])]","[array([ 0.10436648, -1.01021203, -0.69334878,  0.29579576, -0.76927358,
        4.95803047])]"
25000,movel_fit,"[array([-399.94633123,  693.90934809,  223.20416209])]","[array([ 0.1050063 , -1.01655946, -0.68879695,  0.29505267, -0.76420442,
        4.95717118])]"
26000,movel_fit,"[array([-396.95104235,  694.46495149,  219.65550772])]","[array([ 0.10563066, -1.02347221, -0.68388139,  0.29363253, -0.7587974 ,
        4.95556173])]"
27000,movel_fit,"[array([-393.60971858,  695.77274249,  216.97742827])]","[array([ 0.10615519, -1.03082715, -0.67865675,  0.29141963, -0.75315064,
        4.95303405])]"
28000,movel_fit,"[array([-389.93198273,  697.98083718,  215.43875279])]","[array([ 0.10649369, -1.03853364, -0.67316691,  0.28831323, -0.7473377 ,
        4.94942288])]"
29000,movel_fit,"[array([-385.93504782,  701.18396448,  215.21833582])]","[array([ 0.10658906, -1.04658109, -0.66742521,  0.2842397 , -0.74136988,
        4.94459454])]"
30000,movel_fit,"[array([-381.64989525,  705.42546237,  216.42752552])]","[array([ 0.10641209, -1.05501625, -0.66142577,  0.27914856, -0.73521405,
        4.93844733])]"
31000,movel_fit,"[array([-377.12525401,  710.72914324,  219.18715689])]","[array([ 0.10592509, -1.06386303, -0.6551804 ,  0.27300535, -0.72885464,
        4.93088991])]"
32000,movel_fit,"[array([-372.42376863,  717.12039754,  223.67703506])]","[array([ 0.10504224, -1.07305019, -0.64875228,  0.26579908, -0.72234757,
        4.92182968])]"
33000,movel_fit,"[array([-367.61348825,  724.5997082 ,  230.08787681])]","[array([ 0.10363403, -1.08241629, -0.64225423,  0.25756679, -0.7158122 ,
        4.9112018 ])]"
34000,movel_fit,"[array([-362.76679559,  733.07809843,  238.49340989])]","[array([ 0.10159082, -1.09179502, -0.63580809,  0.24841741, -0.70936094,
        4.89903331])]"
35000,movel_fit,"[array([-357.97364699,  742.32895131,  248.74132797])]","[array([ 0.09890227, -1.10110567, -0.62949787,  0.23853406, -0.70302797,
        4.88549844])]"
36000,movel_fit,"[array([-353.35934438,  751.99857052,  260.43944072])]","[array([ 0.0956943 , -1.11037696, -0.62334973,  0.22815344, -0.69675313,
        4.87092576])]"
37000,movel_fit,"[array([-349.09490741,  761.66098489,  273.01649754])]","[array([ 0.09221855, -1.11971909, -0.61733493,  0.21753393, -0.69040825,
        4.8557618 ])]"
38000,movel_fit,"[array([-345.41071244,  770.86894471,  285.78751432])]","[array([ 0.08884467, -1.12931448, -0.61136649,  0.20691683, -0.6838107 ,
        4.84052408])]"
39000,movel_fit,"[array([-342.62274393,  779.18351158,  298.00922254])]","[array([ 0.08607114, -1.13943197, -0.60528908,  0.1964844 , -0.6767196 ,
        4.82575907])]"
40000,movel_fit,"[array([-341.11584376,  786.21870984,  308.98396334])]","[array([ 0.08446919, -1.15035892, -0.59891001,  0.18634401, -0.66889173,
        4.81198467])]"
41000,movel_fit,"[array([-341.20372537,  791.72976361,  318.22779891])]","[array([ 0.08448321, -1.16219777, -0.59209617,  0.17656977, -0.6602334 ,
        4.79960364])]"
42000,movel_fit,"[array([-342.94757197,  795.68447613,  325.58700138])]","[array([ 0.0862258 , -1.17471257, -0.58485555,  0.16725809, -0.65090881,
        4.78882911])]"
