breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 1013.03239362, -1030.81690676,   360.03677636])]","[array([-0.3822675 ,  1.52866211,  0.8267888 ,  1.83034081, -1.83856732,
       -2.00524229])]"
1000,movel_fit,"[array([ 1010.441763  , -1015.91896245,   338.53553629])]","[array([-0.37253452,  1.54037839,  0.81911052,  1.81356109, -1.84955004,
       -2.0050346 ])]"
2000,movel_fit,"[array([ 1007.68734332, -1000.68132205,   318.76228665])]","[array([-0.36273222,  1.55171433,  0.81181   ,  1.79784024, -1.8608126 ,
       -2.00240901])]"
3000,movel_fit,"[array([1005.32380834, -984.62574357,  299.1961929 ])]","[array([-0.35214166,  1.56294866,  0.80475667,  1.78152472, -1.87135068,
       -1.99930515])]"
4000,movel_fit,"[array([1003.02885392, -968.04636206,  279.44631928])]","[array([-0.34103603,  1.57432192,  0.79780033,  1.7645987 , -1.88110749,
       -1.99617506])]"
5000,movel_fit,"[array([1000.57109259, -951.2132021 ,  259.48657954])]","[array([-0.32967583,  1.58594721,  0.79087719,  1.74732986, -1.89012391,
       -1.99304282])]"
6000,movel_fit,"[array([ 997.74505035, -934.35764757,  239.25886847])]","[array([-0.31827946,  1.59792322,  0.78392237,  1.72988842, -1.89841582,
       -1.99000256])]"
7000,movel_fit,"[array([ 994.29516256, -917.71603729,  218.65539466])]","[array([-0.30708112,  1.61035462,  0.77684635,  1.71235042, -1.90600716,
       -1.98724022])]"
8000,movel_fit,"[array([ 990.01502328, -901.47880815,  197.62980447])]","[array([-0.29627126,  1.62330517,  0.76958028,  1.69478352, -1.9129258 ,
       -1.9848903 ])]"
9000,movel_fit,"[array([ 984.85750154, -885.73219424,  176.24941423])]","[array([-0.28592081,  1.63677057,  0.76211555,  1.67729867, -1.91917578,
       -1.98295253])]"
10000,movel_fit,"[array([ 978.93409636, -870.46263506,  154.65520818])]","[array([-0.27597954,  1.65069765,  0.75449998,  1.66004519, -1.92472773,
       -1.98131902])]"
11000,movel_fit,"[array([ 972.4274    , -855.60925304,  132.98967598])]","[array([-0.26633665,  1.66502291,  0.74680512,  1.64317469, -1.9295337 ,
       -1.97985295])]"
12000,movel_fit,"[array([ 965.50128352, -841.11453555,  111.35068236])]","[array([-0.25688468,  1.67969908,  0.73909459,  1.62680853, -1.93354912,
       -1.97845082])]"
13000,movel_fit,"[array([ 958.26213097, -826.94450064,   89.78646219])]","[array([-0.24754817,  1.69470057,  0.73141088,  1.61102805, -1.93674591,
       -1.97705966])]"
14000,movel_fit,"[array([ 950.76906031, -813.08270156,   68.31472351])]","[array([-0.23827846,  1.71001596,  0.72377907,  1.59588558, -1.93911365,
       -1.9756605 ])]"
15000,movel_fit,"[array([ 943.06032304, -799.517076  ,   46.94277177])]","[array([-0.22903687,  1.72563924,  0.7162162 ,  1.58142137, -1.94065515,
       -1.97424453])]"
16000,movel_fit,"[array([ 935.16763624, -786.23300581,   25.67678722])]","[array([-0.21978549,  1.74156595,  0.70873605,  1.56767201, -1.94138395,
       -1.97280171])]"
17000,movel_fit,"[array([ 927.1132324 , -773.21342269,    4.52186292])]","[array([-0.21048826,  1.75779336,  0.70134729,  1.55466712, -1.94132576,
       -1.97132383])]"
18000,movel_fit,"[array([ 918.90264636, -760.43965336,  -16.51951308])]","[array([-0.20111389,  1.77432117,  0.6940498 ,  1.54242209, -1.94052072,
       -1.96981126])]"
19000,movel_fit,"[array([ 910.52772842, -747.88803871,  -37.44496465])]","[array([-0.19163205,  1.79115087,  0.68683457,  1.53093767, -1.93902293,
       -1.96827176])]"
20000,movel_fit,"[array([ 901.98228517, -735.52285089,  -58.24581707])]","[array([-0.18200222,  1.80828403,  0.67968896,  1.52021014, -1.93689746,
       -1.96670872])]"
21000,movel_fit,"[array([ 893.27938398, -723.2898801 ,  -78.90088219])]","[array([-0.17216194,  1.82572137,  0.6726028 ,  1.51024484, -1.93421848,
       -1.96510656])]"
22000,movel_fit,"[array([ 884.45599572, -711.11462123,  -99.37450019])]","[array([-0.16202283,  1.84346347,  0.66556984,  1.50106095, -1.93107199,
       -1.96342528])]"
23000,movel_fit,"[array([ 875.55928024, -698.90571856, -119.61986612])]","[array([-0.15147646,  1.86151262,  0.65858137,  1.49268051, -1.92756215,
       -1.96161076])]"
24000,movel_fit,"[array([ 866.6223372 , -686.56137865, -139.58533524])]","[array([-0.14040585,  1.87987482,  0.65161526,  1.48510672, -1.92381605,
       -1.95961676])]"
25000,movel_fit,"[array([ 857.64613602, -673.97548678, -159.21961136])]","[array([-0.128694  ,  1.89856056,  0.64462763,  1.47830668, -1.91998146,
       -1.95742511])]"
26000,movel_fit,"[array([ 848.60194718, -661.04062419, -178.47205678])]","[array([-0.11622282,  1.91758462,  0.63755392,  1.47221353, -1.91621744,
       -1.95504899])]"
27000,movel_fit,"[array([ 839.45464324, -647.64657132, -197.28687027])]","[array([-0.10286208,  1.93696499,  0.63031963,  1.4667495 , -1.91268482,
       -1.95251466])]"
28000,movel_fit,"[array([ 830.19097281, -633.6758542 , -215.59379844])]","[array([-0.08845553,  1.95672169,  0.62285328,  1.46185465, -1.90954488,
       -1.94983322])]"
29000,movel_fit,"[array([ 820.83220188, -619.00190889, -233.30123408])]","[array([-0.07281542,  1.9768754 ,  0.61509282,  1.45750027, -1.90696594,
       -1.9469834 ])]"
30000,movel_fit,"[array([ 811.42221632, -603.49721028, -250.2976202 ])]","[array([-0.05573395,  1.99744541,  0.606983  ,  1.45367889, -1.90512726,
       -1.94391936])]"
31000,movel_fit,"[array([ 802.00097849, -587.05483138, -266.4630146 ])]","[array([-0.03701138,  2.0184463 ,  0.5984703 ,  1.45038137, -1.90420701,
       -1.9405987 ])]"
32000,movel_fit,"[array([ 792.58469519, -569.61732934, -281.68552341])]","[array([-0.0164908 ,  2.039883  ,  0.5895056 ,  1.44758184, -1.90435451,
       -1.9370081 ])]"
33000,movel_fit,"[array([ 783.16785052, -551.1979599 , -295.87190276])]","[array([ 0.005916  ,  2.06174475,  0.5800578 ,  1.44524205, -1.90566483,
       -1.93316311])]"
34000,movel_fit,"[array([ 773.74057173, -531.88256334, -308.94570325])]","[array([ 0.03021889,  2.08399986,  0.57013041,  1.44332533, -1.90817657,
       -1.92908131])]"
35000,movel_fit,"[array([ 764.29887824, -511.81710839, -320.8393448 ])]","[array([ 0.05634855,  2.1065937 ,  0.55976869,  1.441799  , -1.91189082,
       -1.92475404])]"
36000,movel_fit,"[array([ 754.8354731 , -491.19558582, -331.4927983 ])]","[array([ 0.08415267,  2.12945172,  0.54905432,  1.44061867, -1.91678871,
       -1.92014102])]"
37000,movel_fit,"[array([ 745.32331945, -470.24978402, -340.85898562])]","[array([ 0.11339511,  2.15248735,  0.53809321,  1.4397087 , -1.92283867,
       -1.91518177])]"
38000,movel_fit,"[array([ 735.71103685, -449.22556618, -348.89897759])]","[array([ 0.14377676,  2.17561288,  0.52700119,  1.43895308, -1.93001588,
       -1.90979729])]"
39000,movel_fit,"[array([ 725.92542381, -428.34868322, -355.56286934])]","[array([ 0.17497233,  2.19875057,  0.51588818,  1.4381899 , -1.93833931,
       -1.90387914])]"
40000,movel_fit,"[array([ 715.85459866, -407.8295774 , -360.79720315])]","[array([ 0.2066324 ,  2.22184228,  0.5048501 ,  1.43719619, -1.94785766,
       -1.89731077])]"
41000,movel_fit,"[array([ 705.31321239, -387.94394816, -364.62410471])]","[array([ 0.23832326,  2.24485932,  0.4939843 ,  1.43568244, -1.95850882,
       -1.89005459])]"
42000,movel_fit,"[array([ 694.0473712 , -369.1068594 , -367.23522167])]","[array([ 0.269494  ,  2.26781391,  0.48341937,  1.43334012, -1.9699539 ,
       -1.88223334])]"
43000,movel_fit,"[array([ 681.81494653, -351.77553298, -368.92521975])]","[array([ 0.29960191,  2.29076219,  0.47330997,  1.42991007, -1.9816828 ,
       -1.87404987])]"
44000,movel_fit,"[array([ 668.43892826, -336.2477309 , -369.8589996 ])]","[array([ 0.32827659,  2.31378529,  0.46378785,  1.42514325, -1.99338712,
       -1.86557939])]"
45000,movel_fit,"[array([ 653.73962501, -322.74335284, -370.08005128])]","[array([ 0.35519736,  2.33696379,  0.45497819,  1.41871705, -2.00491457,
       -1.85680771])]"
46000,movel_fit,"[array([ 637.53176024, -311.67194377, -369.84005776])]","[array([ 0.37989182,  2.36037079,  0.44708986,  1.41039195, -2.01572228,
       -1.84793321])]"
47000,movel_fit,"[array([ 619.76317551, -303.38519162, -369.46066926])]","[array([ 0.40199533,  2.38406246,  0.44034158,  1.40014766, -2.02515676,
       -1.8392351 ])]"
48000,movel_fit,"[array([ 600.48500104, -298.04196982, -369.13477112])]","[array([ 0.42129881,  2.40804632,  0.43489977,  1.38806645, -2.03278335,
       -1.83090366])]"
