breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 861.61735197, -841.09811283,  747.82895956])]","[array([-0.95020661, -0.08067234, -0.29568647, -0.36345454, -1.36227872,
        2.9229539 ])]"
1000,movel_fit,"[array([ 862.1703926 , -820.23717173,  738.02146365])]","[array([-0.94416316, -0.0804431 , -0.30523723, -0.37043628, -1.37606879,
        2.9271971 ])]"
2000,movel_fit,"[array([ 864.87016037, -802.41888209,  718.19189344])]","[array([-0.93564024, -0.06990829, -0.31409716, -0.37395966, -1.38589802,
        2.92612936])]"
3000,movel_fit,"[array([ 868.32044085, -783.21678101,  699.16080189])]","[array([-0.92623952, -0.05912386, -0.32263495, -0.37845664, -1.39615033,
        2.92533205])]"
4000,movel_fit,"[array([ 872.40503644, -762.60821935,  682.41265279])]","[array([-0.91628617, -0.04931168, -0.33072133, -0.38439111, -1.40704274,
        2.9254215 ])]"
5000,movel_fit,"[array([ 877.1548349 , -741.19067521,  667.40005896])]","[array([-0.9057855 , -0.03989055, -0.33821594, -0.39136641, -1.41812985,
        2.92598116])]"
6000,movel_fit,"[array([ 882.52558833, -719.38227715,  653.98982811])]","[array([-0.89482835, -0.03071438, -0.34501449, -0.39914912, -1.42915484,
        2.92682557])]"
7000,movel_fit,"[array([ 888.44035172, -697.52475904,  642.45257309])]","[array([-0.88360877, -0.02204798, -0.35102877, -0.4076639 , -1.43997634,
        2.92799066])]"
8000,movel_fit,"[array([ 894.8237403 , -675.95924101,  632.90268043])]","[array([-0.87230079, -0.01406563, -0.35620137, -0.41677702, -1.45044001,
        2.92946061])]"
9000,movel_fit,"[array([ 901.59355844, -654.96642671,  625.0477136 ])]","[array([-0.86097451, -0.00662183, -0.36053013, -0.42621464, -1.46037974,
        2.93105309])]"
10000,movel_fit,"[array([ 908.64739637, -634.70449386,  618.32226036])]","[array([-8.49605162e-01,  6.46899637e-04, -3.64069116e-01, -4.35629595e-01,
       -1.46967230e+00,  2.93248582e+00])]"
11000,movel_fit,"[array([ 915.8664203 , -615.2167292 ,  612.15505925])]","[array([-0.83813517,  0.00810402, -0.36690561, -0.44470736, -1.47826505,
        2.93349813])]"
12000,movel_fit,"[array([ 923.13076198, -596.48481339,  606.14937504])]","[array([-0.82652972,  0.01596546, -0.36913204, -0.45322757, -1.48616329,
        2.9339259 ])]"
13000,movel_fit,"[array([ 930.33258863, -578.47846935,  600.10978041])]","[array([-0.81479543,  0.02428011, -0.37082994, -0.4610633 , -1.49340079,
        2.93370513])]"
14000,movel_fit,"[array([ 937.37999078, -561.17694847,  593.96788749])]","[array([-0.80296729,  0.03299474, -0.37206854, -0.46814436, -1.5000162 ,
        2.9328321 ])]"
15000,movel_fit,"[array([ 944.19409894, -544.56881641,  587.69690427])]","[array([-0.79108655,  0.04202787, -0.37290984, -0.47441967, -1.50604249,
        2.93132118])]"
16000,movel_fit,"[array([ 950.70552147, -528.64898419,  581.27282892])]","[array([-0.77919005,  0.05130305, -0.37341151, -0.47983941, -1.51150429,
        2.92918544])]"
17000,movel_fit,"[array([ 956.85372895, -513.42402282,  574.68336826])]","[array([-0.76731544,  0.06073993, -0.37362583, -0.48435653, -1.51641651,
        2.92644055])]"
18000,movel_fit,"[array([ 962.58830177, -498.92189276,  567.94820549])]","[array([-0.75551191,  0.0702342 , -0.37359818, -0.48793341, -1.52078193,
        2.92311537])]"
19000,movel_fit,"[array([ 967.86834694, -485.19492216,  561.11442792])]","[array([-0.74384196,  0.0796592 , -0.37336854, -0.49053909, -1.52458954,
        2.91925092])]"
20000,movel_fit,"[array([ 972.65778579, -472.31041893,  554.21990403])]","[array([-0.73236812,  0.08889726, -0.37297551, -0.49213237, -1.5278156 ,
        2.91488217])]"
21000,movel_fit,"[array([ 976.91822358, -460.33569102,  547.24980416])]","[array([-0.72113275,  0.09787924, -0.37245938, -0.49263935, -1.53042641,
        2.91001305])]"
22000,movel_fit,"[array([ 980.60424053, -449.33199906,  540.12266215])]","[array([-0.71014811,  0.10659835, -0.37186112, -0.49194112, -1.53237948,
        2.90460416])]"
23000,movel_fit,"[array([ 983.66540183, -439.36782384,  532.72544276])]","[array([-0.69940989,  0.11507848, -0.37121777, -0.48988308, -1.53362083,
        2.89858734])]"
24000,movel_fit,"[array([ 986.05507887, -430.54828499,  524.98428812])]","[array([-0.68893252,  0.12330753, -0.37055841, -0.48630499, -1.53407942,
        2.89190479])]"
25000,movel_fit,"[array([ 987.74088973, -423.04403605,  516.92934637])]","[array([-0.67878777,  0.1311742 , -0.3699045 , -0.48107559, -1.53366271,
        2.88455199])]"
26000,movel_fit,"[array([ 988.70900795, -417.09997591,  508.70865413])]","[array([-0.66912109,  0.1384524 , -0.36927561, -0.47410819, -1.53225711,
        2.87659535])]"
27000,movel_fit,"[array([ 988.95784639, -413.01692313,  500.53775344])]","[array([-0.66013186,  0.14484901, -0.36869562, -0.46534247, -1.52973326,
        2.86814851])]"
28000,movel_fit,"[array([ 988.48474972, -411.12066737,  492.6214053 ])]","[array([-0.65203109,  0.15008317, -0.36819378, -0.45470324, -1.52595299,
        2.85932161])]"
29000,movel_fit,"[array([ 987.27592691, -411.74359524,  485.110526  ])]","[array([-0.64501169,  0.15393671, -0.36779955, -0.44207051, -1.5207742 ,
        2.85018381])]"
30000,movel_fit,"[array([ 985.30816208, -415.23097822,  478.13499754])]","[array([-0.63925998,  0.1562348 , -0.36753636, -0.42729612, -1.51405575,
        2.84077594])]"
31000,movel_fit,"[array([ 982.56071123, -421.9551469 ,  471.89442578])]","[array([-0.63500323,  0.15677386, -0.36741961, -0.4102742 , -1.50566994,
        2.83117339])]"
32000,movel_fit,"[array([ 979.02480222, -432.30193059,  466.73375598])]","[array([-0.63254874,  0.15526789, -0.36745781, -0.39102856, -1.49552893,
        2.82155163])]"
33000,movel_fit,"[array([ 974.69742168, -446.60896565,  463.1273464 ])]","[array([-0.6322633 ,  0.15138515, -0.36764851, -0.36975348, -1.48361894,
        2.81218928])]"
34000,movel_fit,"[array([ 969.56049842, -465.0789578 ,  461.56638632])]","[array([-0.63448729,  0.14487266, -0.3679643 , -0.34677381, -1.47002371,
        2.80338877])]"
35000,movel_fit,"[array([ 963.56316032, -487.71741295,  462.43048559])]","[array([-0.63943797,  0.13568006, -0.36833664, -0.32246055, -1.45492267,
        2.79537169])]"
36000,movel_fit,"[array([ 956.62291154, -514.32235842,  465.92494747])]","[array([-0.64716084,  0.12399898, -0.36865118, -0.29716662, -1.43856547,
        2.78822313])]"
37000,movel_fit,"[array([ 948.64278654, -544.52036095,  472.08012933])]","[array([-0.65753197,  0.11022529, -0.36875797, -0.27119063, -1.42123046,
        2.78188896])]"
38000,movel_fit,"[array([ 939.52934393, -577.84729116,  480.75376037])]","[array([-0.67027771,  0.09491289, -0.36848587, -0.24471121, -1.40316246,
        2.77616426])]"
39000,movel_fit,"[array([ 929.20449528, -613.87098759,  491.64010787])]","[array([-0.68501038,  0.07873341, -0.3676531 , -0.21769436, -1.38449796,
        2.77066325])]"
40000,movel_fit,"[array([ 917.61836209, -652.26996478,  504.37784973])]","[array([-0.70131063,  0.06236718, -0.36608481, -0.18993122, -1.36524587,
        2.76488813])]"
41000,movel_fit,"[array([ 904.76839604, -692.72891952,  518.76316876])]","[array([-0.7188333 ,  0.04629966, -0.36365331, -0.16133017, -1.34540172,
        2.7584866 ])]"
42000,movel_fit,"[array([ 890.71097571, -734.72193828,  534.86553948])]","[array([-0.73734508,  0.03067945, -0.36032112, -0.13222085, -1.32511045,
        2.75150432])]"
43000,movel_fit,"[array([ 875.53358253, -777.59690228,  552.84432257])]","[array([-0.75665391,  0.01547145, -0.35611026, -0.10312345, -1.30459477,
        2.744198  ])]"
44000,movel_fit,"[array([ 859.28956476, -821.06828416,  572.68073317])]","[array([-7.76539902e-01,  8.02161407e-04, -3.50986920e-01, -7.40554061e-02,
       -1.28382249e+00,  2.73645048e+00])]"
45000,movel_fit,"[array([ 841.98875488, -865.19622666,  594.26292252])]","[array([-0.79679406, -0.01305945, -0.34486729, -0.04461687, -1.26254429,
        2.72780356])]"
