breakpoints,primitives,points,q_bp
0,movej_fit,"[array([3225.59682732, -997.22671686,  730.19462002])]","[array([-0.34557519,  1.13446401,  0.23038346,  0.36477381,  1.18333323,
       -0.22863813])]"
1000,movel_fit,"[array([3231.30544497, -971.52860095,  739.63055811])]","[array([-0.33764214,  1.1384886 ,  0.23297394,  0.36041827,  1.1994707 ,
       -0.23648746])]"
2000,movel_fit,"[array([3236.42538408, -947.38109379,  742.16068082])]","[array([-0.32995777,  1.14524376,  0.23655088,  0.35555616,  1.21488031,
       -0.24422643])]"
3000,movel_fit,"[array([3236.50815682, -937.00416434,  727.46310227])]","[array([-0.32605189,  1.15048052,  0.2348353 ,  0.35087691,  1.21986648,
       -0.25026589])]"
4000,movel_fit,"[array([3234.38516805, -920.00254003,  709.40690934])]","[array([-0.31967929,  1.14309298,  0.21905249,  0.34569385,  1.21309027,
       -0.25512706])]"
5000,movel_fit,"[array([3230.34481507, -890.39522937,  685.20916173])]","[array([-0.30819922,  1.12802814,  0.19182489,  0.33606235,  1.20051445,
       -0.25880312])]"
6000,movel_fit,"[array([3228.09302284, -873.20059262,  668.24574053])]","[array([-0.30127768,  1.12052688,  0.17711382,  0.32973935,  1.19228912,
       -0.26265907])]"
7000,movel_fit,"[array([3227.01971749, -864.51387938,  654.0325923 ])]","[array([-0.29681988,  1.11732507,  0.1693897 ,  0.32396356,  1.18495556,
       -0.2644011 ])]"
8000,movel_fit,"[array([3222.64024495, -841.60684159,  628.060787  ])]","[array([-0.28728071,  1.10743492,  0.14929518,  0.31476494,  1.17187022,
       -0.2677932 ])]"
9000,movel_fit,"[array([3218.68985838, -830.8557766 ,  607.45385411])]","[array([-0.28091746,  1.10240656,  0.13699363,  0.3043738 ,  1.16193095,
       -0.26874174])]"
10000,movel_fit,"[array([3212.26557178, -816.48192889,  588.14416059])]","[array([-0.27292655,  1.09494424,  0.12041394,  0.29134655,  1.15387842,
       -0.26703732])]"
11000,movel_fit,"[array([3194.84610856, -813.80489255,  546.5476808 ])]","[array([-0.26849468,  1.09049372,  0.09690107,  0.27531568,  1.14697985,
       -0.2693139 ])]"
12000,movel_fit,"[array([3176.6292304 , -818.79791493,  510.94699552])]","[array([-0.26646149,  1.08908245,  0.07754852,  0.25805931,  1.14678226,
       -0.27625371])]"
13000,movel_fit,"[array([3170.99996216, -821.31044889,  509.78532602])]","[array([-0.26448378,  1.08744988,  0.07147218,  0.24594643,  1.15318217,
       -0.28223427])]"
14000,movel_fit,"[array([3167.79397054, -820.97666926,  516.31318366])]","[array([-0.2627826 ,  1.08282095,  0.06584937,  0.23907659,  1.15713138,
       -0.28383517])]"
15000,movel_fit,"[array([3163.99899742, -817.65970145,  524.45319386])]","[array([-0.26136374,  1.0725325 ,  0.05610352,  0.23745303,  1.15421357,
       -0.28020506])]"
16000,movel_fit,"[array([3161.44885424, -809.38710961,  535.02584187])]","[array([-0.25928589,  1.05833551,  0.04460478,  0.24009537,  1.14570999,
       -0.27221416])]"
17000,movel_fit,"[array([3164.64922304, -799.73241188,  540.82989424])]","[array([-0.25550158,  1.05431055,  0.04347403,  0.23917741,  1.14126488,
       -0.26606758])]"
18000,movel_fit,"[array([3169.30129522, -782.21666634,  532.05210972])]","[array([-0.24788821,  1.05760991,  0.04508483,  0.23305146,  1.13847745,
       -0.26322625])]"
19000,movel_fit,"[array([3173.15925805, -761.88882383,  518.51676237])]","[array([-0.23863722,  1.06104576,  0.04536171,  0.22432564,  1.13406893,
       -0.25991854])]"
20000,movel_fit,"[array([3176.64756487, -740.54072935,  502.27232205])]","[array([-0.22910542,  1.06439087,  0.04523467,  0.21593868,  1.12759437,
       -0.25577037])]"
21000,movel_fit,"[array([3180.06993866, -718.25652074,  485.13058713])]","[array([-0.21937214,  1.0674509 ,  0.04501835,  0.20805586,  1.1196159 ,
       -0.25082436])]"
22000,movel_fit,"[array([3183.63810192, -695.08422359,  468.51533747])]","[array([-0.20948836,  1.07020519,  0.04495603,  0.20073704,  1.11092016,
       -0.24510806])]"
23000,movel_fit,"[array([3187.30728475, -670.94590397,  452.24110969])]","[array([-0.19944382,  1.0726604 ,  0.04500473,  0.19403317,  1.10141291,
       -0.23855248])]"
24000,movel_fit,"[array([3191.05243096, -645.74196512,  436.22388684])]","[array([-0.18922591,  1.07479978,  0.04513331,  0.1880173 ,  1.09100417,
       -0.23107229])]"
25000,movel_fit,"[array([3194.88890361, -619.32684254,  420.56131097])]","[array([-0.17881535,  1.07657746,  0.04533004,  0.18279212,  1.07965414,
       -0.22257914])]"
26000,movel_fit,"[array([3198.87979509, -591.50540797,  405.55079469])]","[array([-0.16818276,  1.07792304,  0.04560565,  0.17847863,  1.06739896,
       -0.2129953 ])]"
27000,movel_fit,"[array([3203.11731009, -562.0287672 ,  391.60089247])]","[array([-0.1572869 ,  1.07875755,  0.0459805 ,  0.17521387,  1.05433346,
       -0.20224288])]"
28000,movel_fit,"[array([3207.67598267, -530.61776685,  379.08905821])]","[array([-0.14609217,  1.07900084,  0.0464523 ,  0.1731906 ,  1.04055005,
       -0.19020045])]"
29000,movel_fit,"[array([3212.58717997, -496.97913769,  368.26840766])]","[array([-0.13455902,  1.07855506,  0.04698243,  0.17261284,  1.02604415,
       -0.17673662])]"
30000,movel_fit,"[array([3217.85250761, -460.83920569,  359.32783647])]","[array([-0.12264348,  1.07733594,  0.04753368,  0.17365145,  1.01078663,
       -0.16172329])]"
31000,movel_fit,"[array([3223.47055959, -421.90489095,  352.52151096])]","[array([-0.11029409,  1.07525081,  0.04807577,  0.1764707 ,  0.99477622,
       -0.14504788])]"
32000,movel_fit,"[array([3229.44301644, -379.8396319 ,  348.27791411])]","[array([-0.09745825,  1.07218894,  0.04857344,  0.18126057,  0.97814001,
       -0.12664276])]"
33000,movel_fit,"[array([3235.75878205, -334.30768597,  347.13504526])]","[array([-0.08407442,  1.06802451,  0.0489912 ,  0.18815062,  0.96109984,
       -0.10658017])]"
34000,movel_fit,"[array([3242.31035842, -285.02938223,  349.55564108])]","[array([-0.07010343,  1.06263295,  0.04924001,  0.19726617,  0.94392419,
       -0.08497918])]"
35000,movel_fit,"[array([3248.8637429 , -231.90706363,  355.71760469])]","[array([-0.055538  ,  1.05594052,  0.04920798,  0.20863426,  0.92682847,
       -0.06204883])]"
36000,movel_fit,"[array([3255.09055048, -175.06149857,  365.43254015])]","[array([-0.04037807,  1.04795911,  0.04881516,  0.22207247,  0.90990075,
       -0.03809952])]"
37000,movel_fit,"[array([3260.57356895, -114.88320495,  378.20004379])]","[array([-0.02468669,  1.03874795,  0.0479718 ,  0.2373648 ,  0.89308488,
       -0.01338648])]"
38000,movel_fit,"[array([3264.89190764,  -51.97076158,  393.2295546 ])]","[array([-0.00855475,  1.02844173,  0.04663985,  0.25422015,  0.87617087,
        0.01184508])]"
39000,movel_fit,"[array([3267.66469375,   12.97348605,  409.43084833])]","[array([0.00792489, 1.01724605, 0.04484402, 0.27233178, 0.8587271 ,
       0.0374486 ])]"
40000,movel_fit,"[array([3268.59803819,   79.17412359,  425.61140704])]","[array([0.02464589, 1.00533326, 0.04265372, 0.29149907, 0.8400213 ,
       0.06340565])]"
41000,movel_fit,"[array([3267.54993549,  145.89977238,  440.84847512])]","[array([0.04149574, 0.99296389, 0.04020481, 0.31157433, 0.81967189,
       0.08968238])]"
42000,movel_fit,"[array([3264.51573483,  212.4785354 ,  454.84003847])]","[array([0.05836996, 0.98034242, 0.03759909, 0.33232862, 0.79781962,
       0.11603176])]"
