breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 741.73304738, -412.0511316 ,  552.63029089])]","[array([ 0.16612263,  0.64977174, -0.68415833,  1.34997042, -1.86421719,
       -0.30492099])]"
1666,movel_fit,"[array([ 725.04007417, -378.10600882,  580.17350555])]","[array([ 0.19061028,  0.65044163, -0.68744783,  1.31507395, -1.92498193,
       -0.31018967])]"
3332,movel_fit,"[array([ 705.69304149, -342.61796954,  603.7466972 ])]","[array([ 0.21462877,  0.65865506, -0.70065574,  1.27817096, -1.98782851,
       -0.31285468])]"
4998,movel_fit,"[array([ 683.97430993, -305.98127058,  623.12655266])]","[array([ 0.23656028,  0.67255899, -0.70887996,  1.22979289, -2.04861234,
       -0.32129932])]"
6664,movel_fit,"[array([ 660.28180522, -268.6090128 ,  638.34571867])]","[array([ 0.25727004,  0.68934536, -0.71485036,  1.17095664, -2.10435204,
       -0.33430539])]"
8330,movel_fit,"[array([ 635.05387597, -230.85763903,  649.67388591])]","[array([ 0.27803974,  0.70603083, -0.71905795,  1.102517  , -2.15215537,
       -0.35134649])]"
9996,movel_fit,"[array([ 608.70693126, -192.98736518,  657.54273261])]","[array([ 0.3001315 ,  0.72121566, -0.72321614,  1.02668716, -2.1907943 ,
       -0.37089737])]"
11662,movel_fit,"[array([ 581.59950636, -155.15424547,  662.46357732])]","[array([ 0.32417814,  0.7355249 , -0.72948527,  0.94593761, -2.22074014,
       -0.39120476])]"
13328,movel_fit,"[array([ 554.02137265, -117.42264301,  664.96515707])]","[array([ 0.35061719,  0.74988619, -0.73881531,  0.86226639, -2.24272842,
       -0.41116385])]"
14994,movel_fit,"[array([526.20056851, -79.78778925, 665.55822246])]","[array([ 0.38017007,  0.7647613 , -0.75118878,  0.77759992, -2.25730903,
       -0.43000237])]"
16660,movel_fit,"[array([498.31901317, -42.19930149, 664.72185156])]","[array([ 0.4138718 ,  0.78046452, -0.76633573,  0.69402369, -2.26513943,
       -0.44682215])]"
18326,movel_fit,"[array([470.52846472,  -4.57868521, 662.9036804 ])]","[array([ 0.45311371,  0.79720849, -0.78378997,  0.61374011, -2.26708283,
       -0.46045796])]"
19992,movel_fit,"[array([442.96307994,  33.17127489, 660.52829597])]","[array([ 0.49971423,  0.81493459, -0.80272276,  0.53902419, -2.26425454,
       -0.46941168])]"
21658,movel_fit,"[array([415.7501596 ,  71.16150283, 658.01035928])]","[array([ 0.55574945,  0.83350836, -0.82216031,  0.47206231, -2.25818206,
       -0.47174927])]"
23324,movel_fit,"[array([389.0227599 , 109.50998153, 655.76990185])]","[array([ 0.62344615,  0.85277827, -0.84123084,  0.4149325 , -2.25074819,
       -0.46494537])]"
24990,movel_fit,"[array([362.93519261, 148.3308465 , 654.24765433])]","[array([ 0.70527575,  0.87171266, -0.85871145,  0.36997499, -2.24397819,
       -0.44576852])]"
26656,movel_fit,"[array([337.67858857, 187.72142576, 653.91925101])]","[array([ 0.8033487 ,  0.88722914, -0.87224876,  0.33991625, -2.24004803,
       -0.41069515])]"
28322,movel_fit,"[array([313.49406571, 227.74818266, 655.30724695])]","[array([ 0.91777816,  0.89434421, -0.87857003,  0.3273336 , -2.24117297,
       -0.35705283])]"
29988,movel_fit,"[array([290.68514109, 268.4245708 , 658.98606966])]","[array([ 1.04552157,  0.88771926, -0.87450713,  0.33422547, -2.24880652,
       -0.28427553])]"
31654,movel_fit,"[array([269.62965511, 309.67134078, 665.56759171])]","[array([ 1.18019631,  0.86315867, -0.85705677,  0.36167923, -2.2627316 ,
       -0.19552417])]"
33320,movel_fit,"[array([250.77811177, 351.26609572, 675.65133893])]","[array([ 1.31231732,  0.81955891, -0.82293966,  0.40878972, -2.28086739,
       -0.09956188])]"
34986,movel_fit,"[array([234.61349114, 392.81441365, 689.73362489])]","[array([ 1.43217121,  0.76105485, -0.77012171,  0.47230416, -2.29956934,
       -0.00823888])]"
36652,movel_fit,"[array([221.5642933 , 433.7763855 , 708.09514454])]","[array([ 1.53436565,  0.69536068, -0.70007599,  0.54804136, -2.31441701,
        0.07014741])]"
38318,movel_fit,"[array([211.90533985, 473.54806681, 730.7122056 ])]","[array([ 1.61899708,  0.62912166, -0.61782688,  0.63215587, -2.32137589,
        0.13362262])]"
39984,movel_fit,"[array([205.6972983 , 511.57024818, 757.24330079])]","[array([ 1.69002479,  0.56467605, -0.53043129,  0.72154019, -2.3169483 ,
        0.18514274])]"
41650,movel_fit,"[array([202.78177781, 547.4429786 , 787.11883868])]","[array([ 1.75123192,  0.50130211, -0.44400902,  0.81201403, -2.29894118,
        0.2278127 ])]"
43316,movel_fit,"[array([202.8330311 , 580.9977245 , 819.70096492])]","[array([ 1.80299362,  0.4397816 , -0.36111198,  0.89763451, -2.26872984,
        0.26136077])]"
44982,movel_fit,"[array([205.46357228, 612.25141806, 854.40756853])]","[array([ 1.84700227,  0.37914754, -0.28353884,  0.97482654, -2.2271116 ,
        0.28783817])]"
46648,movel_fit,"[array([210.29040493, 641.31940307, 890.73801862])]","[array([ 1.88451908,  0.31830574, -0.21243752,  1.04133914, -2.17493514,
        0.30945236])]"
48314,movel_fit,"[array([216.9642306 , 668.37934323, 928.30015775])]","[array([ 1.91469108,  0.25929937, -0.14650298,  1.09603729, -2.11531492,
        0.32587499])]"
49980,movel_fit,"[array([225.19032167, 693.6266809 , 966.79294164])]","[array([ 1.93540705,  0.20873624, -0.0840572 ,  1.14123417, -2.05494686,
        0.33555899])]"
