primitives,points,q_bp
movej_fit,"[array([ 777.99427843, -484.96084953,  494.58465516])]","[array([ 0.0779577 ,  0.76296963, -0.61303267,  1.42520146, -1.83799509,
       -0.34434836])]"
movel_fit,"[array([ 759.86366325, -448.50598897,  523.60747264])]","[array([ 0.12135301,  0.70594469, -0.65133623,  1.38747331, -1.84973844,
       -0.3266692 ])]"
movel_fit,"[array([ 741.7449954 , -412.51859627,  552.99592861])]","[array([ 0.16572956,  0.64728764, -0.68065556,  1.34723939, -1.86187783,
       -0.30020439])]"
movel_fit,"[array([ 721.88098654, -371.46607988,  585.99950774])]","[array([ 0.1951101 ,  0.65035179, -0.68918506,  1.30903291, -1.93742624,
       -0.30797444])]"
movel_fit,"[array([ 697.58114668, -328.19168884,  612.58022658])]","[array([ 0.22352945,  0.66291037, -0.70468306,  1.26120661, -2.0127858 ,
       -0.31485658])]"
movel_fit,"[array([ 670.28380955, -283.62993387,  633.32370399])]","[array([ 0.24895766,  0.68193939, -0.71276309,  1.19662634, -2.08337092,
       -0.32778918])]"
movel_fit,"[array([ 640.453642  , -238.39902723,  648.21156025])]","[array([ 0.27364077,  0.70243706, -0.71822099,  1.11756212, -2.14394915,
       -0.34706375])]"
movel_fit,"[array([ 608.9133719 , -192.95147908,  657.9723924 ])]","[array([ 0.2999021 ,  0.72086209, -0.72278538,  1.02705364, -2.19137639,
       -0.37027456])]"
movel_fit,"[array([ 576.25870651, -147.54390023,  663.42205021])]","[array([ 0.32901477,  0.73813574, -0.73052023,  0.92946091, -2.22623578,
       -0.39483796])]"
movel_fit,"[array([ 543.01150075, -102.34448246,  665.59754601])]","[array([ 0.36164666,  0.75556523, -0.74295159,  0.82842968, -2.24978911,
       -0.41873197])]"
movel_fit,"[array([509.55723644, -57.23360968, 665.33639301])]","[array([ 0.39938951,  0.77391671, -0.75953297,  0.72713919, -2.26310271,
       -0.44042787])]"
movel_fit,"[array([476.15411554, -12.11757226, 663.40301503])]","[array([ 0.44423149,  0.79370825, -0.77976939,  0.62930503, -2.26740559,
       -0.45828325])]"
movel_fit,"[array([443.03784392,  33.15220662, 660.54964562])]","[array([ 0.49909233,  0.81493834, -0.80236472,  0.53881858, -2.26449069,
       -0.46984387])]"
movel_fit,"[array([410.41934863,  78.76364245, 657.48589758])]","[array([ 0.56749821,  0.83737641, -0.82562546,  0.45944842, -2.25692177,
       -0.47186213])]"
movel_fit,"[array([378.55857808, 124.92647121, 654.94471738])]","[array([ 0.65331437,  0.86067228, -0.84809703,  0.39487422, -2.24796529,
       -0.45991419])]"
movel_fit,"[array([347.73984404, 171.85807804, 653.68600465])]","[array([ 0.76091344,  0.88222037, -0.86692885,  0.34932724, -2.24133003,
       -0.42807908])]"
movel_fit,"[array([318.28839943, 219.62610263, 654.58021264])]","[array([ 0.89233262,  0.89467825, -0.87754963,  0.32757815, -2.24051625,
       -0.37087432])]"
movel_fit,"[array([290.69743954, 268.35839767, 658.5916972 ])]","[array([ 1.04404257,  0.88894584, -0.87406795,  0.33322318, -2.24876087,
       -0.28615929])]"
movel_fit,"[array([265.56730198, 317.91856008, 666.73503859])]","[array([ 1.20587892,  0.85770645, -0.85143336,  0.36836714, -2.2658915 ,
       -0.17860789])]"
movel_fit,"[array([243.66830768, 367.90949942, 680.12295025])]","[array([ 1.36165236,  0.79953551, -0.80413646,  0.43119406, -2.28811871,
       -0.06356801])]"
movel_fit,"[array([225.91396643, 417.51197077, 699.51593444])]","[array([ 1.49571947,  0.72382251, -0.73000981,  0.51515777, -2.30880751,
        0.03916088])]"
movel_fit,"[array([213.04719759, 465.84495468, 725.2108257 ])]","[array([ 1.60318309,  0.64388814, -0.63437495,  0.61325125, -2.32078701,
        0.12065516])]"
movel_fit,"[array([205.17639113, 511.78187883, 756.66371257])]","[array([ 1.68954473,  0.56645659, -0.52906986,  0.71974238, -2.31740681,
        0.18381749])]"
movel_fit,"[array([202.16133949, 554.66360829, 793.01102723])]","[array([ 1.76184793,  0.49046988, -0.42530058,  0.82831147, -2.29439232,
        0.23461056])]"
movel_fit,"[array([203.20599081, 594.02411638, 833.00190697])]","[array([ 1.82075552,  0.41732712, -0.32723285,  0.92823411, -2.25431874,
        0.27214525])]"
movel_fit,"[array([207.88805367, 630.17347465, 875.76969357])]","[array([ 1.86974665,  0.3440445 , -0.2380255 ,  1.01495982, -2.19755224,
        0.30147984])]"
movel_fit,"[array([215.44728975, 663.35975833, 920.31879233])]","[array([ 1.90905546,  0.27131128, -0.15775377,  1.08480594, -2.12730193,
        0.3235714 ])]"
movel_fit,"[array([225.35897117, 693.64306525, 966.53126841])]","[array([ 1.9348133 ,  0.20901878, -0.08205089,  1.13961284, -2.05468104,
        0.33658212])]"
movel_fit,"[array([ 233.79706452,  720.74209943, 1007.74013068])]","[array([ 1.95523738,  0.15353287, -0.02781889,  1.18070288, -1.97900113,
        0.33570741])]"
movel_fit,"[array([ 242.43038074,  747.9308961 , 1048.80392479])]","[array([ 1.97076735,  0.09660465,  0.01603255,  1.21210299, -1.89203943,
        0.32556335])]"
