primitives,points,q_bp
movej_fit,"[array([213.19398599,  24.3791799 , 774.4130935 ])]","[array([-0.8006352 , -0.84458765, -0.30803538, -0.20000072, -2.07479979,
       -1.22736687])]"
movel_fit,"[array([243.23746887,   9.97012723, 775.3508828 ])]","[array([-0.73406507, -0.81683615, -0.3048884 , -0.19288656, -2.02182519,
       -1.25376861])]"
movel_fit,"[array([273.28095175,  -4.43892544, 776.28867211])]","[array([-0.68471532, -0.78799886, -0.30073805, -0.18555719, -1.97185259,
       -1.26344618])]"
movel_fit,"[array([303.31493584, -18.87563462, 777.20470361])]","[array([-0.64875746, -0.75843068, -0.29578077, -0.1794593 , -1.92421032,
       -1.26075722])]"
movel_fit,"[array([334.17458916, -33.68884228, 778.16583146])]","[array([-0.62012721, -0.72729784, -0.28949927, -0.17395386, -1.87707927,
       -1.25043529])]"
movel_fit,"[array([365.25455415, -48.00598788, 779.52626007])]","[array([-0.57312414, -0.70016022, -0.2800217 , -0.15502508, -1.82456788,
       -1.23681309])]"
movel_fit,"[array([396.54798318, -61.81192996, 781.24906789])]","[array([-0.5117715 , -0.67590638, -0.26886095, -0.12243208, -1.76860825,
       -1.21906936])]"
movel_fit,"[array([428.04751272, -75.08233259, 783.2685205 ])]","[array([-0.43899279, -0.65306287, -0.25726174, -0.07606553, -1.71147341,
       -1.19703085])]"
movel_fit,"[array([459.75761158, -87.79916595, 785.4894678 ])]","[array([-0.3590679 , -0.62978386, -0.24636909, -0.01745241, -1.65577242,
       -1.17039643])]"
movel_fit,"[array([491.69073479, -99.94829212, 787.82788277])]","[array([-0.2775709 , -0.60355502, -0.2352126 ,  0.04980247, -1.60525721,
       -1.13961508])]"
movel_fit,"[array([ 523.81168195, -111.59480545,  790.12976346])]","[array([-0.20132518, -0.57253011, -0.2234729 ,  0.12014871, -1.56197076,
       -1.10564519])]"
movel_fit,"[array([ 556.0733784 , -122.88604296,  792.25914662])]","[array([-0.13651141, -0.53565776, -0.20986754,  0.18735457, -1.52672604,
       -1.07062353])]"
movel_fit,"[array([ 588.38629983, -134.0871888 ,  794.11410221])]","[array([-0.08728201, -0.49313201, -0.19305641,  0.24612046, -1.49877266,
       -1.03772357])]"
movel_fit,"[array([ 620.6027934 , -145.60932029,  795.63159304])]","[array([-0.05638166, -0.44635804, -0.17216351,  0.29193269, -1.47608018,
       -1.00983024])]"
movel_fit,"[array([ 652.47654692, -158.06436796,  796.81382497])]","[array([-0.04585787, -0.39729477, -0.14656723,  0.32065646, -1.45629555,
       -0.98913393])]"
movel_fit,"[array([ 683.70057541, -172.12277932,  797.7171694 ])]","[array([-0.05768247, -0.34766571, -0.11616676,  0.32811233, -1.43744138,
       -0.97769361])]"
movel_fit,"[array([ 713.86516911, -188.32253184,  798.33347043])]","[array([-0.09308994, -0.29732355, -0.07840559,  0.30918846, -1.42100653,
       -0.9782535 ])]"
movel_fit,"[array([ 742.5899581 , -207.0119629 ,  798.41269987])]","[array([-0.15745981, -0.2455199 , -0.03311792,  0.25384268, -1.4083728 ,
       -0.99011838])]"
movel_fit,"[array([ 769.81325289, -227.77987587,  797.56322803])]","[array([-0.25541101, -0.1882116 ,  0.01991992,  0.15049117, -1.405745  ,
       -1.01064907])]"
movel_fit,"[array([ 795.85562134, -249.90980775,  795.06834024])]","[array([-0.3875793 , -0.11949655,  0.07566129, -0.00854558, -1.42194038,
       -1.03159045])]"
movel_fit,"[array([ 821.41926567, -272.21344905,  790.39215615])]","[array([-0.53836948, -0.03576153,  0.12042477, -0.21056643, -1.46130867,
       -1.04199678])]"
movel_fit,"[array([ 847.26748151, -293.63425204,  783.59267553])]","[array([-0.67085322,  0.05804985,  0.13965885, -0.41122995, -1.5108346 ,
       -1.03838403])]"
movel_fit,"[array([ 874.12407465, -313.40938852,  775.74297213])]","[array([-0.75816756,  0.15174149,  0.1496738 , -0.56798993, -1.55564769,
       -1.02489165])]"
movel_fit,"[array([ 902.57709073, -331.32459155,  769.14650204])]","[array([-0.79988762,  0.23075115,  0.16576615, -0.66700965, -1.57817136,
       -1.00333575])]"
movel_fit,"[array([ 932.75588779, -347.55800484,  766.66722967])]","[array([-0.80783775,  0.28524214,  0.2002241 , -0.71079819, -1.57222179,
       -0.97213326])]"
movel_fit,"[array([ 963.97996091, -361.11535964,  771.34130911])]","[array([-0.78227139,  0.30889725,  0.26226286, -0.68613806, -1.53470387,
       -0.93522144])]"
movel_fit,"[array([ 995.28384717, -370.99090446,  781.537219  ])]","[array([-0.71658165,  0.30576641,  0.3449959 , -0.57869703, -1.46784848,
       -0.88294547])]"
movel_fit,"[array([1027.14184684, -376.81714189,  792.90026558])]","[array([-0.59910632,  0.29480818,  0.43457475, -0.37611309, -1.3874845 ,
       -0.80460848])]"
movel_fit,"[array([1060.10434204, -379.480782  ,  801.81093841])]","[array([-0.45561449,  0.3042553 ,  0.51130982, -0.13312881, -1.32730907,
       -0.69165635])]"
movel_fit,"[array([1094.01747829, -381.39815127,  806.88468722])]","[array([-0.34465711,  0.3493391 ,  0.58800061,  0.05021683, -1.31063306,
       -0.56755342])]"
movel_fit,"[array([1127.67751005, -388.4862862 ,  808.85591529])]","[array([-0.30060781,  0.42115728,  0.68721575,  0.11994702, -1.3254762 ,
       -0.46896728])]"
movel_fit,"[array([1157.3341804 , -406.11491922,  809.34271405])]","[array([-0.3319274 ,  0.50193546,  0.8058521 ,  0.06353734, -1.352417  ,
       -0.42562803])]"
movel_fit,"[array([1180.38977915, -431.61811689,  807.2410291 ])]","[array([-0.43700195,  0.57417371,  0.89815341, -0.1290307 , -1.37461634,
       -0.44383306])]"
movel_fit,"[array([1201.16527801, -457.81946028,  799.77945713])]","[array([-0.58164419,  0.65016694,  0.93104057, -0.42137249, -1.39841863,
       -0.51539927])]"
movel_fit,"[array([1221.64045724, -483.16060589,  792.71945486])]","[array([-0.69134724,  0.64108663,  0.76936744, -0.68933505, -1.33475903,
       -0.55036201])]"
movel_fit,"[array([1242.15878757, -508.51792746,  785.8791959 ])]","[array([-0.77147846,  0.6242236 ,  0.56403214, -0.95645591, -1.27439305,
       -0.54807342])]"
movel_fit,"[array([1262.66317232, -533.88919461,  779.02499135])]","[array([-0.82148721,  0.61087931,  0.34703352, -1.22975623, -1.23689795,
       -0.52031681])]"
