timestamp,J1,J2,J3,J4,J5,J6
 0,  18.6450,   8.3242, -35.3718, -34.7504,  32.8042,  25.2557
 8,  18.6450,   8.3242, -35.3718, -34.7504,  32.8042,  25.2557
 16,  18.6450,   8.3242, -35.3718, -34.7504,  32.8042,  25.2557
 24,  18.6450,   8.3242, -35.3718, -34.7504,  32.8042,  25.2557
 32,  18.6450,   8.3242, -35.3718, -34.7503,  32.8042,  25.2557
 40,  18.6450,   8.3242, -35.3718, -34.7503,  32.8042,  25.2556
 48,  18.6449,   8.3242, -35.3718, -34.7502,  32.8043,  25.2555
 56,  18.6449,   8.3242, -35.3719, -34.7500,  32.8043,  25.2554
 64,  18.6448,   8.3242, -35.3720, -34.7498,  32.8045,  25.2552
 72,  18.6447,   8.3242, -35.3721, -34.7495,  32.8046,  25.2549
 80,  18.6446,   8.3241, -35.3722, -34.7491,  32.8048,  25.2546
 96,  18.6441,   8.3241, -35.3728, -34.7473,  32.8056,  25.2530
 104,  18.6441,   8.3241, -35.3728, -34.7473,  32.8056,  25.2530
 112,  18.6439,   8.3240, -35.3731, -34.7464,  32.8060,  25.2523
 120,  18.6436,   8.3240, -35.3734, -34.7454,  32.8065,  25.2515
 128,  18.6433,   8.3239, -35.3738, -34.7443,  32.8070,  25.2505
 136,  18.6429,   8.3238, -35.3742, -34.7430,  32.8076,  25.2494
 144,  18.6425,   8.3237, -35.3747, -34.7415,  32.8083,  25.2481
 152,  18.6421,   8.3236, -35.3753, -34.7399,  32.8090,  25.2467
 160,  18.6416,   8.3235, -35.3759, -34.7380,  32.8099,  25.2452
 168,  18.6410,   8.3234, -35.3766, -34.7360,  32.8109,  25.2434
 176,  18.6403,   8.3233, -35.3773, -34.7337,  32.8119,  25.2415
 184,  18.6396,   8.3231, -35.3782, -34.7312,  32.8131,  25.2393
 192,  18.6389,   8.3230, -35.3791, -34.7285,  32.8143,  25.2370
 200,  18.6381,   8.3228, -35.3801, -34.7255,  32.8157,  25.2344
 208,  18.6371,   8.3226, -35.3811, -34.7222,  32.8172,  25.2317
 224,  18.6340,   8.3220, -35.3849, -34.7109,  32.8225,  25.2220
 232,  18.6340,   8.3220, -35.3849, -34.7109,  32.8225,  25.2220
 240,  18.6327,   8.3217, -35.3864, -34.7065,  32.8246,  25.2182
 248,  18.6314,   8.3215, -35.3880, -34.7018,  32.8267,  25.2142
 256,  18.6300,   8.3212, -35.3897, -34.6967,  32.8291,  25.2099
 264,  18.6285,   8.3209, -35.3914, -34.6914,  32.8316,  25.2053
 272,  18.6269,   8.3205, -35.3933, -34.6857,  32.8342,  25.2005
 280,  18.6253,   8.3202, -35.3954, -34.6796,  32.8371,  25.1953
 288,  18.6235,   8.3198, -35.3975, -34.6732,  32.8400,  25.1898
 296,  18.6216,   8.3194, -35.3998, -34.6664,  32.8432,  25.1840
 304,  18.6196,   8.3190, -35.4022, -34.6592,  32.8466,  25.1779
 312,  18.6174,   8.3186, -35.4047, -34.6516,  32.8501,  25.1714
 320,  18.6152,   8.3182, -35.4074, -34.6437,  32.8538,  25.1646
