timestamp,J1,J2,J3,J4,J5,J6
 0,  37.4170,  42.2790,    .6200,  88.5610, -52.3060, 125.4930
 8,  37.4170,  42.2790,    .6200,  88.5610, -52.3060, 125.4930
 16,  37.4170,  42.2790,    .6200,  88.5609, -52.3060, 125.4930
 24,  37.4169,  42.2791,    .6201,  88.5604, -52.3062, 125.4933
 40,  37.4157,  42.2812,    .6230,  88.5494, -52.3113, 125.4978
 48,  37.4157,  42.2812,    .6230,  88.5494, -52.3113, 125.4978
 56,  37.4144,  42.2831,    .6254,  88.5398, -52.3165, 125.5009
 64,  37.4126,  42.2859,    .6289,  88.5259, -52.3243, 125.5052
 72,  37.4099,  42.2899,    .6337,  88.5068, -52.3354, 125.5108
 80,  37.4064,  42.2952,    .6400,  88.4816, -52.3504, 125.5177
 88,  37.4018,  42.3020,    .6480,  88.4494, -52.3698, 125.5263
 96,  37.3961,  42.3105,    .6580,  88.4095, -52.3943, 125.5365
 104,  37.3891,  42.3209,    .6700,  88.3609, -52.4245, 125.5486
 112,  37.3807,  42.3333,    .6844,  88.3029, -52.4609, 125.5627
 120,  37.3707,  42.3481,    .7013,  88.2345, -52.5042, 125.5790
 128,  37.3589,  42.3653,    .7210,  88.1549, -52.5548, 125.5976
 136,  37.3454,  42.3851,    .7436,  88.0632, -52.6135, 125.6187
 144,  37.3299,  42.4079,    .7693,  87.9587, -52.6808, 125.6424
 152,  37.3122,  42.4336,    .7985,  87.8404, -52.7573, 125.6689
 168,  37.2454,  42.5311,    .9081,  87.3944, -53.0479, 125.7665
 176,  37.2454,  42.5311,    .9081,  87.3944, -53.0479, 125.7665
 184,  37.2180,  42.5710,    .9528,  87.2126, -53.1670, 125.8055
 192,  37.1879,  42.6147,   1.0017,  87.0133, -53.2982, 125.8478
 200,  37.1551,  42.6624,   1.0548,  86.7966, -53.4415, 125.8931
 208,  37.1195,  42.7140,   1.1120,  86.5630, -53.5968, 125.9410
 216,  37.0813,  42.7692,   1.1731,  86.3133, -53.7636, 125.9915
 224,  37.0407,  42.8279,   1.2379,  86.0484, -53.9414, 126.0444
 232,  36.9977,  42.8899,   1.3061,  85.7691, -54.1295, 126.0993
 240,  36.9525,  42.9549,   1.3770,  85.4772, -54.3277, 126.1556
 248,  36.9051,  43.0224,   1.4498,  85.1742, -54.5357, 126.2123
 256,  36.8555,  43.0923,   1.5239,  84.8619, -54.7533, 126.2684
 264,  36.8039,  43.1641,   1.5985,  84.5420, -54.9803, 126.3230
 272,  36.7502,  43.2376,   1.6727,  84.2162, -55.2164, 126.3752
 280,  36.6945,  43.3124,   1.7460,  83.8861, -55.4614, 126.4241
 296,  36.5163,  43.5410,   1.9520,  82.8877, -56.2474, 126.5415
 304,  36.5163,  43.5410,   1.9520,  82.8877, -56.2474, 126.5415
 312,  36.4533,  43.6176,   2.0136,  82.5578, -56.5255, 126.5679
 320,  36.3887,  43.6938,   2.0704,  82.2321, -56.8114, 126.5862
 328,  36.3224,  43.7693,   2.1216,  81.9125, -57.1047, 126.5957
 336,  36.2546,  43.8437,   2.1666,  81.6005, -57.4052, 126.5953
 344,  36.1853,  43.9168,   2.2045,  81.2979, -57.7127, 126.5842
 352,  36.1145,  43.9882,   2.2346,  81.0064, -58.0269, 126.5615
 360,  36.0424,  44.0574,   2.2560,  80.7277, -58.3477, 126.5262
 368,  35.9687,  44.1239,   2.2674,  80.4639, -58.6748, 126.4775
 376,  35.8933,  44.1870,   2.2671,  80.2169, -59.0085, 126.4147
 384,  35.8159,  44.2461,   2.2538,  79.9884, -59.3489, 126.3370
 392,  35.7364,  44.3005,   2.2259,  79.7802, -59.6964, 126.2435
 400,  35.6545,  44.3498,   2.1821,  79.5938, -60.0513, 126.1335
 408,  35.5700,  44.3935,   2.1214,  79.4299, -60.4136, 126.0069
 424,  35.3002,  44.4876,   1.8343,  79.0748, -61.5420, 125.5338
 432,  35.3002,  44.4876,   1.8343,  79.0748, -61.5420, 125.5338
 440,  35.2045,  44.5057,   1.7023,  79.0018, -61.9309, 125.3474
 448,  35.1057,  44.5165,   1.5516,  78.9515, -62.3254, 125.1478
 456,  35.0038,  44.5198,   1.3817,  78.9239, -62.7244, 124.9364
 464,  34.8988,  44.5147,   1.1925,  78.9189, -63.1270, 124.7145
 472,  34.7905,  44.5010,    .9834,  78.9366, -63.5318, 124.4834
 480,  34.6789,  44.4779,    .7543,  78.9769, -63.9377, 124.2445
 488,  34.5639,  44.4451,    .5048,  79.0398, -64.3436, 123.9991
 496,  34.4454,  44.4018,    .2345,  79.1254, -64.7483, 123.7486
 504,  34.3234,  44.3477,   -.0567,  79.2336, -65.1506, 123.4943
 512,  34.1978,  44.2821,   -.3694,  79.3644, -65.5493, 123.2375
 520,  34.0685,  44.2046,   -.7039,  79.5179, -65.9434, 122.9797
 528,  33.9356,  44.1147,  -1.0603,  79.6938, -66.3316, 122.7222
 536,  33.7990,  44.0122,  -1.4380,  79.8913, -66.7127, 122.4663
 552,  33.3700,  43.6329,  -2.6849,  80.5978, -67.8020, 121.7238
 560,  33.3700,  43.6329,  -2.6849,  80.5978, -67.8020, 121.7238
 568,  33.2215,  43.4836,  -3.1335,  80.8657, -68.1430, 121.4897
 576,  33.0706,  43.3235,  -3.5961,  81.1471, -68.4712, 121.2645
 584,  32.9176,  43.1527,  -4.0718,  81.4412, -68.7855, 121.0493
 592,  32.7626,  42.9715,  -4.5594,  81.7470, -69.0848, 120.8449
 600,  32.6057,  42.7799,  -5.0578,  82.0637, -69.3680, 120.6522
 608,  32.4471,  42.5781,  -5.5660,  82.3904, -69.6340, 120.4721
 616,  32.2867,  42.3664,  -6.0829,  82.7264, -69.8818, 120.3054
 624,  32.1248,  42.1450,  -6.6074,  83.0706, -70.1109, 120.1524
 632,  31.9615,  41.9145,  -7.1385,  83.4223, -70.3219, 120.0129
 640,  31.7967,  41.6756,  -7.6752,  83.7806, -70.5152, 119.8864
 648,  31.6306,  41.4288,  -8.2164,  84.1447, -70.6913, 119.7726
 656,  31.4632,  41.1748,  -8.7613,  84.5135, -70.8508, 119.6711
 664,  31.2946,  40.9141,  -9.3087,  84.8864, -70.9940, 119.5815
 680,  30.7827,  40.0984, -10.9562,  86.0202, -71.3319, 119.3806
 688,  30.7827,  40.0984, -10.9562,  86.0202, -71.3319, 119.3806
 696,  30.6102,  39.8172, -11.5038,  86.4003, -71.4155, 119.3349
 704,  30.4368,  39.5324, -12.0490,  86.7802, -71.4855, 119.2993
 712,  30.2626,  39.2442, -12.5917,  87.1597, -71.5424, 119.2733
 720,  30.0873,  38.9527, -13.1317,  87.5387, -71.5866, 119.2564
 728,  29.9110,  38.6581, -13.6688,  87.9173, -71.6188, 119.2482
 736,  29.7336,  38.3607, -14.2027,  88.2954, -71.6391, 119.2482
 744,  29.5549,  38.0609, -14.7329,  88.6730, -71.6481, 119.2557
 752,  29.3750,  37.7590, -15.2592,  89.0501, -71.6459, 119.2703
 760,  29.1933,  37.4547, -15.7820,  89.4276, -71.6330, 119.2914
 768,  29.0097,  37.1480, -16.3020,  89.8060, -71.6103, 119.3182
 776,  28.8241,  36.8392, -16.8193,  90.1855, -71.5786, 119.3497
 784,  28.6367,  36.5289, -17.3336,  90.5663, -71.5388, 119.3850
 792,  28.4474,  36.2174, -17.8447,  90.9482, -71.4918, 119.4233
 808,  27.8697,  35.2788, -19.3567,  92.1019, -71.3091, 119.5529
 816,  27.8697,  35.2788, -19.3567,  92.1019, -71.3091, 119.5529
 824,  27.6742,  34.9654, -19.8528,  92.4892, -71.2346, 119.6000
 832,  27.4774,  34.6522, -20.3445,  92.8780, -71.1536, 119.6485
 840,  27.2794,  34.3395, -20.8316,  93.2682, -71.0661, 119.6983
 848,  27.0802,  34.0273, -21.3138,  93.6600, -70.9722, 119.7489
 856,  26.8800,  33.7161, -21.7910,  94.0534, -70.8721, 119.8002
 864,  26.6789,  33.4061, -22.2628,  94.4484, -70.7658, 119.8518
 872,  26.4769,  33.0975, -22.7290,  94.8451, -70.6535, 119.9035
 880,  26.2742,  32.7906, -23.1895,  95.2435, -70.5353, 119.9549
 888,  26.0709,  32.4856, -23.6439,  95.6437, -70.4112, 120.0058
 896,  25.8671,  32.1828, -24.0920,  96.0458, -70.2814, 120.0559
 904,  25.6628,  31.8824, -24.5336,  96.4496, -70.1461, 120.1049
 912,  25.4581,  31.5845, -24.9690,  96.8554, -70.0055, 120.1527
 920,  25.2531,  31.2890, -25.3984,  97.2631, -69.8601, 120.1991
 936,  24.6381,  30.4184, -26.6513,  98.4941, -69.3994, 120.3290
 944,  24.6381,  30.4184, -26.6513,  98.4941, -69.3994, 120.3290
 952,  24.4339,  30.1343, -27.0561,  98.9054, -69.2389, 120.3692
 960,  24.2302,  29.8532, -27.4549,  99.3169, -69.0751, 120.4079
 968,  24.0269,  29.5748, -27.8481,  99.7287, -68.9084, 120.4454
 976,  23.8240,  29.2991, -28.2359, 100.1407, -68.7390, 120.4815
 984,  23.6215,  29.0261, -28.6185, 100.5528, -68.5671, 120.5162
 992,  23.4195,  28.7559, -28.9958, 100.9651, -68.3931, 120.5491
 1000,  23.2179,  28.4886, -29.3677, 101.3775, -68.2173, 120.5801
 1008,  23.0170,  28.2244, -29.7343, 101.7900, -68.0401, 120.6090
 1016,  22.8166,  27.9634, -30.0956, 102.2025, -67.8617, 120.6355
