timestamp,J1,J2,J3,J4,J5,J6
 0, 37.4170, 42.2790,   .6200, 88.5610, -52.3060, 125.4930
 8, 37.4170, 42.2790,   .6200, 88.5610, -52.3060, 125.4930
 16, 37.4170, 42.2790,   .6200, 88.5608, -52.3061, 125.4931
 24, 37.4167, 42.2793,   .6202, 88.5594, -52.3066, 125.4938
 32, 37.4161, 42.2799,   .6207, 88.5559, -52.3080, 125.4955
 40, 37.4152, 42.2808,   .6217, 88.5500, -52.3103, 125.4985
 48, 37.4138, 42.2822,   .6230, 88.5417, -52.3135, 125.5026
 56, 37.4120, 42.2840,   .6246, 88.5311, -52.3176, 125.5079
 64, 37.4099, 42.2862,   .6266, 88.5181, -52.3226, 125.5144
 80, 37.4010, 42.2951,   .6350, 88.4649, -52.3432, 125.5409
 88, 37.4010, 42.2951,   .6350, 88.4649, -52.3432, 125.5409
 96, 37.3973, 42.2989,   .6385, 88.4425, -52.3519, 125.5521
 104, 37.3932, 42.3030,   .6424, 88.4177, -52.3615, 125.5644
 112, 37.3886, 42.3076,   .6466, 88.3906, -52.3720, 125.5779
 120, 37.3837, 42.3126,   .6513, 88.3611, -52.3835, 125.5926
 128, 37.3784, 42.3180,   .6564, 88.3293, -52.3959, 125.6084
 136, 37.3727, 42.3237,   .6617, 88.2953, -52.4091, 125.6253
 144, 37.3668, 42.3297,   .6673, 88.2602, -52.4228, 125.6428
 152, 37.3608, 42.3357,   .6729, 88.2250, -52.4366, 125.6602
 160, 37.3548, 42.3415,   .6776, 88.1909, -52.4501, 125.6769
 168, 37.3487, 42.3468,   .6808, 88.1585, -52.4633, 125.6920
 176, 37.3423, 42.3517,   .6819, 88.1279, -52.4765, 125.7055
 184, 37.3354, 42.3561,   .6801, 88.0989, -52.4897, 125.7169
 192, 37.3277, 42.3599,   .6752, 88.0712, -52.5032, 125.7263
 208, 37.2998, 42.3683,   .6402, 87.9965, -52.5461, 125.7417
 216, 37.2998, 42.3683,   .6402, 87.9965, -52.5461, 125.7417
 224, 37.2890, 42.3701,   .6218, 87.9744, -52.5611, 125.7425
 232, 37.2774, 42.3713,   .6002, 87.9536, -52.5765, 125.7413
 240, 37.2649, 42.3721,   .5752, 87.9341, -52.5922, 125.7379
 248, 37.2517, 42.3723,   .5468, 87.9160, -52.6082, 125.7324
 256, 37.2377, 42.3721,   .5152, 87.8993, -52.6246, 125.7248
 264, 37.2229, 42.3714,   .4804, 87.8839, -52.6414, 125.7152
 272, 37.2072, 42.3703,   .4423, 87.8697, -52.6585, 125.7035
 280, 37.1909, 42.3689,   .4018, 87.8559, -52.6762, 125.6905
 288, 37.1738, 42.3676,   .3596, 87.8417, -52.6945, 125.6769
 296, 37.1565, 42.3662,   .3170, 87.8273, -52.7130, 125.6631
 304, 37.1394, 42.3650,   .2750, 87.8130, -52.7312, 125.6496
 312, 37.1229, 42.3638,   .2346, 87.7994, -52.7487, 125.6365
 320, 37.1071, 42.3626,   .1959, 87.7862, -52.7655, 125.6240
 336, 37.0620, 42.3564,   .0860, 87.7489, -52.8133, 125.5883
 344, 37.0620, 42.3564,   .0860, 87.7489, -52.8133, 125.5883
 352, 37.0469, 42.3529,   .0491, 87.7365, -52.8293, 125.5763
 360, 37.0316, 42.3485,   .0116, 87.7238, -52.8455, 125.5640
 368, 37.0160, 42.3433,  -.0264, 87.7111, -52.8621, 125.5516
 376, 37.0002, 42.3371,  -.0651, 87.6981, -52.8789, 125.5389
 384, 36.9842, 42.3301,  -.1044, 87.6849, -52.8960, 125.5260
 392, 36.9679, 42.3222,  -.1444, 87.6716, -52.9133, 125.5128
 400, 36.9514, 42.3134,  -.1850, 87.6581, -52.9309, 125.4994
 408, 36.9346, 42.3038,  -.2264, 87.6444, -52.9489, 125.4858
 416, 36.9172, 42.2932,  -.2689, 87.6303, -52.9673, 125.4717
 424, 36.8993, 42.2818,  -.3130, 87.6157, -52.9865, 125.4571
 432, 36.8806, 42.2698,  -.3587, 87.6006, -53.0063, 125.4419
 440, 36.8616, 42.2574,  -.4051, 87.5852, -53.0264, 125.4265
 448, 36.8426, 42.2451,  -.4514, 87.5698, -53.0465, 125.4111
 464, 36.7906, 42.2118,  -.5774, 87.5277, -53.1013, 125.3691
 472, 36.7906, 42.2118,  -.5774, 87.5277, -53.1013, 125.3691
 480, 36.7751, 42.2024,  -.6138, 87.5152, -53.1175, 125.3567
 488, 36.7603, 42.1937,  -.6481, 87.5032, -53.1330, 125.3448
 496, 36.7458, 42.1857,  -.6807, 87.4914, -53.1483, 125.3331
 504, 36.7313, 42.1783,  -.7118, 87.4797, -53.1636, 125.3214
 512, 36.7168, 42.1715,  -.7418, 87.4680, -53.1789, 125.3097
 520, 36.7024, 42.1653,  -.7705, 87.4563, -53.1942, 125.2980
 528, 36.6879, 42.1597,  -.7979, 87.4445, -53.2096, 125.2863
 536, 36.6735, 42.1547,  -.8240, 87.4328, -53.2250, 125.2746
 544, 36.6591, 42.1502,  -.8490, 87.4210, -53.2405, 125.2628
 552, 36.6444, 42.1462,  -.8734, 87.4090, -53.2563, 125.2508
 560, 36.6291, 42.1423,  -.8980, 87.3966, -53.2727, 125.2383
 568, 36.6130, 42.1386,  -.9233, 87.3834, -53.2901, 125.2251
 576, 36.5957, 42.1348,  -.9501, 87.3693, -53.3086, 125.2110
 592, 36.5395, 42.1226, -1.0367, 87.3235, -53.3687, 125.1653
 600, 36.5395, 42.1226, -1.0367, 87.3235, -53.3687, 125.1653
 608, 36.5211, 42.1187, -1.0649, 87.3086, -53.3883, 125.1503
 616, 36.5038, 42.1151, -1.0914, 87.2945, -53.4067, 125.1363
 624, 36.4875, 42.1116, -1.1162, 87.2813, -53.4240, 125.1231
 632, 36.4721, 42.1084, -1.1397, 87.2688, -53.4403, 125.1106
 640, 36.4573, 42.1051, -1.1622, 87.2568, -53.4560, 125.0986
 648, 36.4428, 42.1018, -1.1844, 87.2450, -53.4713, 125.0869
 656, 36.4284, 42.0983, -1.2066, 87.2332, -53.4867, 125.0751
 664, 36.4139, 42.0947, -1.2288, 87.2215, -53.5020, 125.0634
 672, 36.3995, 42.0908, -1.2511, 87.2098, -53.5174, 125.0517
 680, 36.3851, 42.0868, -1.2734, 87.1981, -53.5328, 125.0400
 688, 36.3707, 42.0827, -1.2957, 87.1863, -53.5482, 125.0283
 696, 36.3563, 42.0784, -1.3182, 87.1746, -53.5636, 125.0166
 704, 36.3415, 42.0738, -1.3412, 87.1626, -53.5793, 125.0046
 720, 36.2928, 42.0583, -1.4173, 87.1230, -53.6315, 124.9650
 728, 36.2928, 42.0583, -1.4173, 87.1230, -53.6315, 124.9650
 736, 36.2745, 42.0525, -1.4458, 87.1081, -53.6510, 124.9501
 744, 36.2555, 42.0465, -1.4752, 87.0927, -53.6712, 124.9348
 752, 36.2366, 42.0406, -1.5046, 87.0773, -53.6913, 124.9194
 760, 36.2182, 42.0348, -1.5330, 87.0624, -53.7108, 124.9045
 768, 36.2008, 42.0295, -1.5597, 87.0483, -53.7291, 124.8905
 776, 36.1845, 42.0244, -1.5847, 87.0352, -53.7462, 124.8774
 784, 36.1691, 42.0196, -1.6084, 87.0227, -53.7625, 124.8650
 792, 36.1543, 42.0148, -1.6313, 87.0107, -53.7781, 124.8530
 800, 36.1398, 42.0100, -1.6539, 86.9990, -53.7934, 124.8413
 808, 36.1253, 42.0049, -1.6766, 86.9872, -53.8087, 124.8296
 816, 36.1109, 41.9997, -1.6994, 86.9755, -53.8240, 124.8179
 824, 36.0964, 41.9942, -1.7224, 86.9638, -53.8394, 124.8062
 832, 36.0820, 41.9886, -1.7455, 86.9520, -53.8547, 124.7946
 848, 36.0384, 41.9702, -1.8165, 86.9165, -53.9012, 124.7592
 856, 36.0384, 41.9702, -1.8165, 86.9165, -53.9012, 124.7592
 864, 36.0232, 41.9635, -1.8416, 86.9040, -53.9176, 124.7468
 872, 36.0070, 41.9563, -1.8682, 86.8908, -53.9349, 124.7337
 880, 35.9897, 41.9485, -1.8966, 86.8767, -53.9533, 124.7197
 888, 35.9714, 41.9404, -1.9267, 86.8617, -53.9729, 124.7048
 896, 35.9524, 41.9320, -1.9578, 86.8462, -53.9930, 124.6894
 904, 35.9335, 41.9237, -1.9887, 86.8308, -54.0131, 124.6741
 912, 35.9151, 41.9156, -2.0187, 86.8158, -54.0326, 124.6593
 920, 35.8977, 41.9080, -2.0469, 86.8017, -54.0510, 124.6453
 928, 35.8814, 41.9009, -2.0733, 86.7885, -54.0681, 124.6321
 936, 35.8660, 41.8941, -2.0983, 86.7760, -54.0844, 124.6197
 944, 35.8512, 41.8875, -2.1225, 86.7639, -54.1000, 124.6078
 952, 35.8367, 41.8808, -2.1463, 86.7521, -54.1153, 124.5961
 960, 35.8222, 41.8740, -2.1702, 86.7404, -54.1306, 124.5844
 976, 35.7789, 41.8523, -2.2426, 86.7052, -54.1766, 124.5494
 984, 35.7789, 41.8523, -2.2426, 86.7052, -54.1766, 124.5494
 992, 35.7645, 41.8447, -2.2670, 86.6934, -54.1920, 124.5377
 1000, 35.7501, 41.8368, -2.2916, 86.6817, -54.2075, 124.5260
 1008, 35.7354, 41.8287, -2.3169, 86.6697, -54.2232, 124.5140
 1016, 35.7201, 41.8201, -2.3432, 86.6572, -54.2396, 124.5016
 1024, 35.7039, 41.8109, -2.3710, 86.6441, -54.2569, 124.4885
