timestamp,J1,J2,J3,J4,J5,J6
 0, 37.4170, 42.2790,   .6200, 88.5610, -52.3060, 125.4930
 8, 37.4170, 42.2790,   .6200, 88.5610, -52.3060, 125.4930
 16, 37.4170, 42.2790,   .6200, 88.5610, -52.3060, 125.4930
 24, 37.4170, 42.2790,   .6200, 88.5609, -52.3060, 125.4930
 32, 37.4169, 42.2793,   .6202, 88.5605, -52.3068, 125.4936
 40, 37.4168, 42.2801,   .6207, 88.5597, -52.3089, 125.4952
 48, 37.4166, 42.2818,   .6217, 88.5583, -52.3133, 125.4987
 56, 37.4162, 42.2846,   .6233, 88.5560, -52.3207, 125.5044
 72, 37.4141, 42.3028,   .6339, 88.5426, -52.3683, 125.5419
 80, 37.4141, 42.3028,   .6339, 88.5426, -52.3683, 125.5419
 88, 37.4130, 42.3131,   .6399, 88.5353, -52.3952, 125.5632
 96, 37.4116, 42.3259,   .6473, 88.5263, -52.4289, 125.5898
 104, 37.4099, 42.3417,   .6564, 88.5154, -52.4702, 125.6225
 112, 37.4079, 42.3606,   .6673, 88.5024, -52.5197, 125.6617
 120, 37.4056, 42.3830,   .6802, 88.4871, -52.5784, 125.7082
 128, 37.4029, 42.4091,   .6952, 88.4694, -52.6469, 125.7625
 136, 37.3997, 42.4393,   .7126, 88.4491, -52.7261, 125.8252
 144, 37.3962, 42.4738,   .7324, 88.4259, -52.8166, 125.8969
 152, 37.3922, 42.5129,   .7549, 88.3998, -52.9193, 125.9783
 160, 37.3877, 42.5570,   .7802, 88.3705, -53.0349, 126.0700
 168, 37.3827, 42.6063,   .8084, 88.3378, -53.1641, 126.1725
 176, 37.3772, 42.6610,   .8398, 88.3016, -53.3078, 126.2865
 184, 37.3711, 42.7216,   .8745, 88.2617, -53.4667, 126.4125
 200, 37.3492, 42.9406,   .9998, 88.1183, -54.0414, 126.8685
 208, 37.3492, 42.9406,   .9998, 88.1183, -54.0414, 126.8685
 216, 37.3406, 43.0262,  1.0487, 88.0629, -54.2663, 127.0468
 224, 37.3314, 43.1179,  1.1006, 88.0041, -54.5075, 127.2374
 232, 37.3214, 43.2156,  1.1553, 87.9422, -54.7650, 127.4401
 240, 37.3107, 43.3190,  1.2127, 87.8776, -55.0384, 127.6544
 248, 37.2991, 43.4280,  1.2725, 87.8106, -55.3275, 127.8798
 256, 37.2868, 43.5425,  1.3344, 87.7415, -55.6322, 128.1159
 264, 37.2735, 43.6623,  1.3981, 87.6706, -55.9522, 128.3622
 272, 37.2594, 43.7872,  1.4634, 87.5982, -56.2873, 128.6182
 280, 37.2443, 43.9171,  1.5301, 87.5247, -56.6373, 128.8836
 288, 37.2282, 44.0518,  1.5979, 87.4504, -57.0020, 129.1578
 296, 37.2110, 44.1913,  1.6665, 87.3756, -57.3811, 129.4404
 304, 37.1929, 44.3351,  1.7356, 87.3006, -57.7744, 129.7310
 312, 37.1736, 44.4831,  1.8050, 87.2261, -58.1811, 130.0286
 328, 37.1094, 44.9472,  2.0097, 87.0097, -59.4715, 130.9526
 336, 37.1094, 44.9472,  2.0097, 87.0097, -59.4715, 130.9526
 344, 37.0858, 45.1070,  2.0755, 86.9417, -59.9218, 131.2676
 352, 37.0611, 45.2687,  2.1394, 86.8765, -60.3806, 131.5842
 360, 37.0352, 45.4319,  2.2008, 86.8148, -60.8469, 131.9014
 368, 37.0082, 45.5959,  2.2595, 86.7569, -61.3197, 132.2183
 376, 36.9800, 45.7605,  2.3150, 86.7034, -61.7980, 132.5336
 384, 36.9507, 45.9252,  2.3670, 86.6548, -62.2811, 132.8465
 392, 36.9202, 46.0897,  2.4150, 86.6113, -62.7684, 133.1564
 400, 36.8885, 46.2540,  2.4589, 86.5734, -63.2599, 133.4629
 408, 36.8554, 46.4179,  2.4983, 86.5413, -63.7553, 133.7655
 416, 36.8209, 46.5809,  2.5325, 86.5157, -64.2544, 134.0634
 424, 36.7847, 46.7426,  2.5607, 86.4972, -64.7570, 134.3559
 432, 36.7467, 46.9025,  2.5820, 86.4864, -65.2628, 134.6423
 440, 36.7067, 47.0601,  2.5957, 86.4837, -65.7709, 134.9217
 456, 36.5742, 47.5120,  2.5847, 86.5283, -67.2970, 135.7074
 464, 36.5742, 47.5120,  2.5847, 86.5283, -67.2970, 135.7074
 472, 36.5258, 47.6533,  2.5614, 86.5619, -67.8019, 135.9483
 480, 36.4750, 47.7887,  2.5273, 86.6053, -68.3027, 136.1770
 488, 36.4218, 47.9180,  2.4819, 86.6587, -68.7988, 136.3930
 496, 36.3662, 48.0408,  2.4249, 86.7221, -69.2903, 136.5965
 504, 36.3079, 48.1571,  2.3558, 86.7956, -69.7775, 136.7874
 512, 36.2470, 48.2667,  2.2744, 86.8790, -70.2605, 136.9661
 520, 36.1831, 48.3692,  2.1800, 86.9725, -70.7391, 137.1324
 528, 36.1160, 48.4639,  2.0720, 87.0761, -71.2130, 137.2865
 536, 36.0456, 48.5506,  1.9498, 87.1898, -71.6819, 137.4283
 544, 35.9717, 48.6286,  1.8127, 87.3137, -72.1456, 137.5578
 552, 35.8939, 48.6975,  1.6600, 87.4478, -72.6039, 137.6749
 560, 35.8122, 48.7568,  1.4912, 87.5922, -73.0565, 137.7797
 568, 35.7263, 48.8059,  1.3055, 87.7469, -73.5030, 137.8722
 584, 35.4412, 48.8877,   .6410, 88.2735, -74.8042, 138.0755
 592, 35.4412, 48.8877,   .6410, 88.2735, -74.8042, 138.0755
 600, 35.3363, 48.8914,   .3815, 88.4699, -75.2243, 138.1185
 608, 35.2262, 48.8825,   .1020, 88.6769, -75.6369, 138.1492
 616, 35.1107, 48.8605,  -.1979, 88.8945, -76.0417, 138.1675
 624, 34.9895, 48.8248,  -.5188, 89.1225, -76.4379, 138.1733
 632, 34.8624, 48.7750,  -.8609, 89.3609, -76.8249, 138.1669
 640, 34.7295, 48.7107, -1.2242, 89.6093, -77.2020, 138.1483
 648, 34.5909, 48.6320, -1.6079, 89.8672, -77.5688, 138.1182
 656, 34.4466, 48.5389, -2.0114, 90.1339, -77.9245, 138.0772
 664, 34.2967, 48.4313, -2.4339, 90.4088, -78.2684, 138.0256
 672, 34.1413, 48.3093, -2.8750, 90.6915, -78.5999, 137.9638
 680, 33.9805, 48.1726, -3.3341, 90.9816, -78.9181, 137.8918
 688, 33.8144, 48.0210, -3.8109, 91.2789, -79.2221, 137.8097
 696, 33.6431, 47.8546, -4.3048, 91.5831, -79.5110, 137.7177
 712, 33.0981, 47.2645, -5.8849, 92.5331, -80.2797, 137.3832
 720, 33.0981, 47.2645, -5.8849, 92.5331, -80.2797, 137.3832
 728, 32.9064, 47.0371, -6.4427, 92.8612, -80.5004, 137.2525
 736, 32.7098, 46.7941, -7.0154, 93.1944, -80.7020, 137.1126
 744, 32.5085, 46.5359, -7.6019, 93.5324, -80.8842, 136.9636
 752, 32.3026, 46.2628, -8.2013, 93.8749, -81.0466, 136.8060
 760, 32.0924, 45.9755, -8.8123, 94.2216, -81.1889, 136.6400
 768, 31.8779, 45.6744, -9.4337, 94.5723, -81.3111, 136.4660
 776, 31.6593, 45.3601, -10.0642, 94.9266, -81.4127, 136.2846
 784, 31.4369, 45.0331, -10.7028, 95.2843, -81.4936, 136.0959
 792, 31.2107, 44.6940, -11.3481, 95.6451, -81.5536, 135.9005
 800, 30.9810, 44.3432, -11.9989, 96.0088, -81.5923, 135.6986
 808, 30.7479, 43.9813, -12.6541, 96.3750, -81.6096, 135.4906
 816, 30.5116, 43.6089, -13.3124, 96.7434, -81.6052, 135.2770
 824, 30.2722, 43.2265, -13.9726, 97.1139, -81.5788, 135.0581
 840, 29.5372, 42.0245, -15.9541, 98.2349, -81.3678, 134.3732
 848, 29.5372, 42.0245, -15.9541, 98.2349, -81.3678, 134.3732
 856, 29.2871, 41.6077, -16.6120, 98.6114, -81.2546, 134.1368
 864, 29.0347, 41.1838, -17.2674, 98.9891, -81.1210, 133.8969
 872, 28.7799, 40.7531, -17.9200, 99.3683, -80.9673, 133.6537
 880, 28.5227, 40.3160, -18.5697, 99.7491, -80.7940, 133.4071
 888, 28.2631, 39.8729, -19.2162, 100.1317, -80.6016, 133.1573
 896, 28.0010, 39.4241, -19.8593, 100.5163, -80.3906, 132.9044
 904, 27.7366, 38.9700, -20.4989, 100.9031, -80.1616, 132.6484
 912, 27.4698, 38.5111, -21.1342, 101.2923, -79.9152, 132.3894
 920, 27.2007, 38.0484, -21.7648, 101.6841, -79.6521, 132.1275
 928, 26.9293, 37.5824, -22.3899, 102.0787, -79.3730, 131.8626
 936, 26.6558, 37.1139, -23.0089, 102.4762, -79.0785, 131.5949
 944, 26.3803, 36.6435, -23.6213, 102.8769, -78.7695, 131.3244
 952, 26.1027, 36.1720, -24.2263, 103.2808, -78.4465, 131.0512
 968, 25.2587, 34.7577, -25.9918, 104.5142, -77.4007, 130.2153
 976, 25.2587, 34.7577, -25.9918, 104.5142, -77.4007, 130.2153
 984, 24.9739, 34.2881, -26.5626, 104.9326, -77.0289, 129.9314
 992, 24.6877, 33.8202, -27.1244, 105.3546, -76.6470, 129.6448
 1000, 24.4003, 33.3545, -27.6771, 105.7800, -76.2558, 129.3557
 1008, 24.1117, 32.8915, -28.2204, 106.2087, -75.8564, 129.0642
 1016, 23.8223, 32.4317, -28.7544, 106.6406, -75.4495, 128.7702
 1024, 23.5321, 31.9756, -29.2787, 107.0756, -75.0362, 128.4739
