timestamp,J1,J2,J3,J4,J5,J6
 0,  37.4170,  42.2790,    .6200,  88.5610, -52.3060, 125.4930
 8,  37.4170,  42.2790,    .6200,  88.5610, -52.3060, 125.4930
 16,  37.4170,  42.2790,    .6199,  88.5610, -52.3060, 125.4930
 24,  37.4170,  42.2790,    .6200,  88.5607, -52.3060, 125.4930
 32,  37.4169,  42.2793,    .6202,  88.5599, -52.3067, 125.4937
 40,  37.4166,  42.2801,    .6208,  88.5579, -52.3089, 125.4961
 48,  37.4162,  42.2819,    .6221,  88.5544, -52.3135, 125.5011
 56,  37.4157,  42.2850,    .6241,  88.5488, -52.3213, 125.5095
 64,  37.4148,  42.2895,    .6272,  88.5406, -52.3331, 125.5222
 72,  37.4136,  42.2961,    .6316,  88.5294, -52.3499, 125.5403
 80,  37.4122,  42.3050,    .6375,  88.5145, -52.3730, 125.5648
 88,  37.4104,  42.3167,    .6453,  88.4955, -52.4035, 125.5972
 96,  37.4083,  42.3318,    .6554,  88.4719, -52.4431, 125.6387
 112,  37.4004,  42.4023,    .7028,  88.3676, -52.6285, 125.8307
 120,  37.4004,  42.4023,    .7028,  88.3676, -52.6285, 125.8307
 128,  37.3971,  42.4358,    .7252,  88.3205, -52.7173, 125.9207
 136,  37.3936,  42.4751,    .7514,  88.2669, -52.8218, 126.0254
 144,  37.3898,  42.5207,    .7816,  88.2066, -52.9434, 126.1456
 152,  37.3857,  42.5729,    .8160,  88.1397, -53.0828, 126.2818
 160,  37.3814,  42.6318,    .8547,  88.0667, -53.2406, 126.4338
 168,  37.3770,  42.6976,    .8976,  87.9879, -53.4174, 126.6018
 176,  37.3723,  42.7705,    .9448,  87.9035, -53.6136, 126.7859
 184,  37.3675,  42.8506,    .9965,  87.8140, -53.8297, 126.9861
 192,  37.3625,  42.9381,   1.0526,  87.7196, -54.0663, 127.2025
 200,  37.3573,  43.0331,   1.1131,  87.6211, -54.3234, 127.4343
 208,  37.3518,  43.1354,   1.1776,  87.5191, -54.6007, 127.6808
 216,  37.3459,  43.2451,   1.2461,  87.4142, -54.8982, 127.9414
 224,  37.3396,  43.3621,   1.3183,  87.3070, -55.2158, 128.2152
 240,  37.3165,  43.7563,   1.5556,  86.9770, -56.2868, 129.1098
 248,  37.3165,  43.7563,   1.5556,  86.9770, -56.2868, 129.1098
 256,  37.3071,  43.9019,   1.6410,  86.8658, -56.6820, 129.4305
 264,  37.2967,  44.0541,   1.7290,  86.7550, -57.0951, 129.7608
 272,  37.2852,  44.2125,   1.8193,  86.6456, -57.5250, 130.0993
 280,  37.2725,  44.3766,   1.9114,  86.5384, -57.9705, 130.4445
 288,  37.2586,  44.5460,   2.0047,  86.4344, -58.4305, 130.7952
 296,  37.2435,  44.7203,   2.0987,  86.3344, -58.9040, 131.1498
 304,  37.2272,  44.8988,   2.1929,  86.2393, -59.3898, 131.5070
 312,  37.2095,  45.0811,   2.2866,  86.1500, -59.8864, 131.8653
 320,  37.1904,  45.2664,   2.3792,  86.0671, -60.3923, 132.2228
 328,  37.1699,  45.4538,   2.4697,  85.9913, -60.9057, 132.5782
 336,  37.1480,  45.6427,   2.5576,  85.9232, -61.4253, 132.9297
 344,  37.1245,  45.8323,   2.6420,  85.8634, -61.9493, 133.2759
 352,  37.0996,  46.0218,   2.7222,  85.8124, -62.4762, 133.6156
 368,  37.0163,  46.5823,   2.9312,  85.7157, -64.0612, 134.5836
 376,  37.0163,  46.5823,   2.9312,  85.7157, -64.0612, 134.5836
 384,  36.9858,  46.7644,   2.9883,  85.7031, -64.5870, 134.8862
 392,  36.9539,  46.9435,   3.0383,  85.7005, -65.1106, 135.1780
 400,  36.9205,  47.1192,   3.0809,  85.7076, -65.6309, 135.4586
 408,  36.8855,  47.2909,   3.1156,  85.7241, -66.1472, 135.7275
 416,  36.8490,  47.4582,   3.1420,  85.7499, -66.6586, 135.9840
 424,  36.8108,  47.6207,   3.1597,  85.7846, -67.1645, 136.2278
 432,  36.7710,  47.7781,   3.1686,  85.8279, -67.6645, 136.4590
 440,  36.7295,  47.9304,   3.1686,  85.8795, -68.1584, 136.6779
 448,  36.6864,  48.0773,   3.1596,  85.9390, -68.6460, 136.8850
 456,  36.6415,  48.2187,   3.1416,  86.0062, -69.1270, 137.0806
 464,  36.5950,  48.3545,   3.1144,  86.0808, -69.6014, 137.2651
 472,  36.5469,  48.4845,   3.0780,  86.1627, -70.0690, 137.4386
 480,  36.4971,  48.6088,   3.0325,  86.2515, -70.5298, 137.6017
 496,  36.3379,  48.9470,   2.8414,  86.5568, -71.8711, 138.0307
 504,  36.3379,  48.9470,   2.8414,  86.5568, -71.8711, 138.0307
 512,  36.2816,  49.0479,   2.7597,  86.6706, -72.3044, 138.1547
 520,  36.2237,  49.1427,   2.6690,  86.7897, -72.7303, 138.2696
 528,  36.1642,  49.2312,   2.5693,  86.9140, -73.1486, 138.3756
 536,  36.1030,  49.3132,   2.4604,  87.0433, -73.5590, 138.4729
 544,  36.0402,  49.3884,   2.3423,  87.1772, -73.9611, 138.5617
 552,  35.9756,  49.4569,   2.2149,  87.3157, -74.3549, 138.6422
 560,  35.9095,  49.5185,   2.0782,  87.4585, -74.7402, 138.7146
 568,  35.8417,  49.5731,   1.9322,  87.6055, -75.1168, 138.7789
 576,  35.7722,  49.6207,   1.7770,  87.7566, -75.4849, 138.8355
 584,  35.7012,  49.6613,   1.6127,  87.9115, -75.8441, 138.8846
 592,  35.6285,  49.6947,   1.4392,  88.0701, -76.1945, 138.9261
 600,  35.5542,  49.7209,   1.2567,  88.2319, -76.5357, 138.9601
 608,  35.4784,  49.7398,   1.0654,  88.3967, -76.8677, 138.9865
 624,  35.2413,  49.7523,    .4396,  88.9055, -77.8070, 139.0204
 632,  35.2413,  49.7523,    .4396,  88.9055, -77.8070, 139.0204
 640,  35.1592,  49.7420,    .2146,  89.0792, -78.1014, 139.0172
 648,  35.0757,  49.7246,   -.0181,  89.2546, -78.3868, 139.0074
 656,  34.9907,  49.7005,   -.2583,  89.4316, -78.6635, 138.9916
 664,  34.9044,  49.6698,   -.5055,  89.6098, -78.9317, 138.9700
 672,  34.8167,  49.6327,   -.7594,  89.7892, -79.1915, 138.9429
 680,  34.7276,  49.5891,  -1.0198,  89.9695, -79.4431, 138.9106
 688,  34.6373,  49.5392,  -1.2866,  90.1505, -79.6865, 138.8733
 696,  34.5457,  49.4830,  -1.5593,  90.3323, -79.9216, 138.8312
 704,  34.4528,  49.4206,  -1.8380,  90.5145, -80.1486, 138.7845
 712,  34.3586,  49.3521,  -2.1226,  90.6973, -80.3674, 138.7332
 720,  34.2632,  49.2773,  -2.4130,  90.8809, -80.5779, 138.6776
 728,  34.1664,  49.1962,  -2.7095,  91.0653, -80.7800, 138.6178
 736,  34.0684,  49.1087,  -3.0120,  91.2508, -80.9736, 138.5537
 752,  33.7666,  48.8078,  -3.9556,  91.8147, -81.5026, 138.3382
 760,  33.7666,  48.8078,  -3.9556,  91.8147, -81.5026, 138.3382
 768,  33.6635,  48.6952,  -4.2813,  92.0048, -81.6621, 138.2590
 776,  33.5591,  48.5766,  -4.6121,  92.1956, -81.8135, 138.1764
 784,  33.4536,  48.4522,  -4.9477,  92.3870, -81.9569, 138.0906
 792,  33.3468,  48.3222,  -5.2878,  92.5788, -82.0923, 138.0016
 800,  33.2388,  48.1866,  -5.6321,  92.7708, -82.2200, 137.9096
 808,  33.1297,  48.0458,  -5.9801,  92.9629, -82.3400, 137.8146
 816,  33.0194,  47.8998,  -6.3317,  93.1547, -82.4526, 137.7169
 824,  32.9080,  47.7488,  -6.6864,  93.3461, -82.5579, 137.6166
 832,  32.7955,  47.5928,  -7.0441,  93.5370, -82.6560, 137.5138
 840,  32.6817,  47.4319,  -7.4048,  93.7276, -82.7468, 137.4086
 848,  32.5667,  47.2659,  -7.7688,  93.9177, -82.8302, 137.3010
 856,  32.4504,  47.0946,  -8.1360,  94.1076, -82.9063, 137.1909
 864,  32.3326,  46.9180,  -8.5068,  94.2974, -82.9749, 137.0785
 880,  31.9695,  46.3542,  -9.6422,  94.8683, -83.1346, 136.7256
 888,  31.9695,  46.3542,  -9.6422,  94.8683, -83.1346, 136.7256
 896,  31.8450,  46.1544, -10.0294,  95.0602, -83.1723, 136.6024
 904,  31.7184,  45.9485, -10.4212,  95.2534, -83.2018, 136.4761
 912,  31.5898,  45.7361, -10.8181,  95.4482, -83.2232, 136.3468
 920,  31.4589,  45.5172, -11.2203,  95.6449, -83.2363, 136.2144
 928,  31.3257,  45.2915, -11.6278,  95.8436, -83.2409, 136.0788
 936,  31.1900,  45.0589, -12.0409,  96.0446, -83.2367, 135.9399
 944,  31.0517,  44.8192, -12.4598,  96.2480, -83.2236, 135.7976
 952,  30.9107,  44.5722, -12.8845,  96.4540, -83.2014, 135.6517
 960,  30.7669,  44.3180, -13.3148,  96.6624, -83.1702, 135.5025
 968,  30.6201,  44.0567, -13.7505,  96.8735, -83.1300, 135.3499
 976,  30.4705,  43.7883, -14.1916,  97.0873, -83.0804, 135.1941
 984,  30.3178,  43.5126, -14.6381,  97.3041, -83.0214, 135.0352
 992,  30.1620,  43.2296, -15.0899,  97.5241, -82.9527, 134.8732
 1008,  29.6747,  42.3348, -16.4784,  98.2061, -82.6845, 134.3679
 1016,  29.6747,  42.3348, -16.4784,  98.2061, -82.6845, 134.3679
