timestamp,J1,J2,J3,J4,J5,J6
 0,  18.6421,   8.3361, -35.3582, -34.7472,  32.8015,  25.2543
 8,  18.6421,   8.3361, -35.3582, -34.7472,  32.8015,  25.2543
 16,  18.6421,   8.3361, -35.3582, -34.7472,  32.8015,  25.2543
 24,  18.6421,   8.3361, -35.3582, -34.7472,  32.8016,  25.2543
 32,  18.6420,   8.3361, -35.3582, -34.7471,  32.8016,  25.2542
 40,  18.6420,   8.3361, -35.3582, -34.7470,  32.8016,  25.2541
 48,  18.6420,   8.3361, -35.3583, -34.7468,  32.8017,  25.2540
 56,  18.6419,   8.3361, -35.3584, -34.7466,  32.8018,  25.2538
 64,  18.6418,   8.3360, -35.3585, -34.7463,  32.8020,  25.2535
 72,  18.6417,   8.3360, -35.3586, -34.7459,  32.8021,  25.2532
 80,  18.6416,   8.3360, -35.3588, -34.7454,  32.8024,  25.2528
 88,  18.6414,   8.3359, -35.3590, -34.7448,  32.8026,  25.2523
 96,  18.6412,   8.3359, -35.3592, -34.7441,  32.8030,  25.2517
 104,  18.6410,   8.3359, -35.3595, -34.7432,  32.8034,  25.2509
 112,  18.6407,   8.3358, -35.3598, -34.7423,  32.8038,  25.2501
 128,  18.6396,   8.3356, -35.3611, -34.7384,  32.8056,  25.2468
 136,  18.6396,   8.3356, -35.3611, -34.7384,  32.8056,  25.2468
 144,  18.6391,   8.3355, -35.3617, -34.7367,  32.8064,  25.2453
 152,  18.6386,   8.3354, -35.3623, -34.7349,  32.8073,  25.2438
 160,  18.6381,   8.3353, -35.3630, -34.7328,  32.8082,  25.2420
 168,  18.6374,   8.3351, -35.3637, -34.7305,  32.8093,  25.2401
 176,  18.6367,   8.3350, -35.3646, -34.7280,  32.8104,  25.2379
 184,  18.6360,   8.3348, -35.3655, -34.7253,  32.8117,  25.2356
 192,  18.6351,   8.3347, -35.3665, -34.7223,  32.8131,  25.2331
 200,  18.6342,   8.3345, -35.3675, -34.7191,  32.8146,  25.2303
 208,  18.6332,   8.3343, -35.3687, -34.7156,  32.8162,  25.2273
 216,  18.6322,   8.3341, -35.3700, -34.7118,  32.8180,  25.2241
 224,  18.6310,   8.3338, -35.3713, -34.7077,  32.8199,  25.2206
 232,  18.6298,   8.3336, -35.3728, -34.7033,  32.8219,  25.2168
 240,  18.6285,   8.3333, -35.3744, -34.6986,  32.8241,  25.2128
 256,  18.6240,   8.3324, -35.3797, -34.6825,  32.8316,  25.1991
 264,  18.6240,   8.3324, -35.3797, -34.6825,  32.8316,  25.1991
 272,  18.6223,   8.3321, -35.3818, -34.6765,  32.8344,  25.1939
 280,  18.6205,   8.3317, -35.3839, -34.6700,  32.8374,  25.1884
 288,  18.6186,   8.3313, -35.3862, -34.6632,  32.8406,  25.1826
 296,  18.6166,   8.3309, -35.3886, -34.6560,  32.8439,  25.1765
 304,  18.6145,   8.3305, -35.3911, -34.6485,  32.8475,  25.1700
 312,  18.6123,   8.3300, -35.3937, -34.6405,  32.8512,  25.1632
 320,  18.6100,   8.3296, -35.3965, -34.6321,  32.8550,  25.1561
 328,  18.6075,   8.3291, -35.3994, -34.6234,  32.8591,  25.1487
 336,  18.6050,   8.3286, -35.4025, -34.6144,  32.8633,  25.1409
 344,  18.6024,   8.3280, -35.4056, -34.6050,  32.8677,  25.1329
 352,  18.5996,   8.3275, -35.4089, -34.5952,  32.8723,  25.1246
 360,  18.5968,   8.3269, -35.4122, -34.5852,  32.8770,  25.1160
 368,  18.5939,   8.3263, -35.4157, -34.5748,  32.8818,  25.1072
 384,  18.5847,   8.3245, -35.4266, -34.5419,  32.8972,  25.0791
 392,  18.5847,   8.3245, -35.4266, -34.5419,  32.8972,  25.0791
 400,  18.5815,   8.3238, -35.4305, -34.5304,  32.9026,  25.0693
 408,  18.5782,   8.3232, -35.4344, -34.5187,  32.9081,  25.0593
 416,  18.5748,   8.3225, -35.4384, -34.5067,  32.9137,  25.0491
 424,  18.5714,   8.3218, -35.4425, -34.4944,  32.9194,  25.0386
 432,  18.5679,   8.3211, -35.4467, -34.4820,  32.9253,  25.0280
 440,  18.5643,   8.3204, -35.4509, -34.4693,  32.9312,  25.0172
 448,  18.5607,   8.3197, -35.4552, -34.4564,  32.9372,  25.0062
 456,  18.5570,   8.3190, -35.4595, -34.4434,  32.9434,  24.9951
 464,  18.5533,   8.3182, -35.4640, -34.4302,  32.9496,  24.9838
 472,  18.5496,   8.3175, -35.4684, -34.4168,  32.9559,  24.9724
 480,  18.5457,   8.3167, -35.4730, -34.4032,  32.9623,  24.9608
 488,  18.5419,   8.3160, -35.4776, -34.3895,  32.9687,  24.9491
 496,  18.5380,   8.3152, -35.4822, -34.3756,  32.9752,  24.9373
 512,  18.5261,   8.3129, -35.4963, -34.3334,  32.9951,  24.9013
 520,  18.5261,   8.3129, -35.4963, -34.3334,  32.9951,  24.9013
 528,  18.5221,   8.3121, -35.5011, -34.3191,  33.0019,  24.8892
 536,  18.5180,   8.3113, -35.5059, -34.3048,  33.0087,  24.8769
 544,  18.5139,   8.3105, -35.5107, -34.2903,  33.0155,  24.8646
 552,  18.5098,   8.3097, -35.5155, -34.2759,  33.0223,  24.8523
 560,  18.5057,   8.3089, -35.5204, -34.2613,  33.0292,  24.8399
 568,  18.5016,   8.3081, -35.5253, -34.2467,  33.0361,  24.8275
 576,  18.4975,   8.3073, -35.5302, -34.2321,  33.0430,  24.8151
 584,  18.4933,   8.3065, -35.5350, -34.2175,  33.0499,  24.8026
 592,  18.4892,   8.3057, -35.5399, -34.2029,  33.0569,  24.7902
 600,  18.4851,   8.3049, -35.5448, -34.1883,  33.0638,  24.7777
 608,  18.4809,   8.3041, -35.5497, -34.1737,  33.0707,  24.7653
 616,  18.4768,   8.3033, -35.5546, -34.1591,  33.0777,  24.7528
 624,  18.4727,   8.3025, -35.5595, -34.1445,  33.0846,  24.7404
 640,  18.4602,   8.3002, -35.5742, -34.1007,  33.1055,  24.7031
 648,  18.4602,   8.3002, -35.5742, -34.1007,  33.1055,  24.7031
 656,  18.4561,   8.2994, -35.5791, -34.0861,  33.1124,  24.6907
 664,  18.4519,   8.2986, -35.5839, -34.0715,  33.1194,  24.6783
 672,  18.4478,   8.2978, -35.5888, -34.0569,  33.1263,  24.6659
 680,  18.4437,   8.2970, -35.5937, -34.0423,  33.1333,  24.6534
 688,  18.4395,   8.2962, -35.5986, -34.0278,  33.1402,  24.6411
 696,  18.4354,   8.2955, -35.6035, -34.0132,  33.1472,  24.6287
 704,  18.4312,   8.2947, -35.6083, -33.9987,  33.1541,  24.6163
 712,  18.4271,   8.2939, -35.6132, -33.9841,  33.1611,  24.6039
 720,  18.4229,   8.2931, -35.6181, -33.9696,  33.1681,  24.5915
 728,  18.4188,   8.2923, -35.6230, -33.9550,  33.1750,  24.5791
 736,  18.4146,   8.2916, -35.6278, -33.9405,  33.1820,  24.5667
 744,  18.4105,   8.2908, -35.6327, -33.9259,  33.1890,  24.5544
 752,  18.4063,   8.2900, -35.6376, -33.9114,  33.1959,  24.5420
 768,  18.3939,   8.2877, -35.6522, -33.8678,  33.2168,  24.5050
 776,  18.3939,   8.2877, -35.6522, -33.8678,  33.2168,  24.5050
 784,  18.3897,   8.2869, -35.6571, -33.8533,  33.2238,  24.4926
 792,  18.3856,   8.2862, -35.6619, -33.8388,  33.2308,  24.4803
 800,  18.3814,   8.2854, -35.6668, -33.8243,  33.2378,  24.4680
 808,  18.3773,   8.2846, -35.6717, -33.8098,  33.2448,  24.4556
 816,  18.3731,   8.2839, -35.6765, -33.7953,  33.2518,  24.4433
 824,  18.3690,   8.2831, -35.6814, -33.7808,  33.2587,  24.4310
 832,  18.3648,   8.2823, -35.6862, -33.7663,  33.2657,  24.4187
 840,  18.3607,   8.2816, -35.6911, -33.7519,  33.2727,  24.4064
 848,  18.3565,   8.2808, -35.6960, -33.7374,  33.2797,  24.3941
 856,  18.3524,   8.2801, -35.7008, -33.7229,  33.2867,  24.3818
 864,  18.3482,   8.2793, -35.7057, -33.7085,  33.2937,  24.3695
 872,  18.3441,   8.2786, -35.7105, -33.6940,  33.3007,  24.3572
 880,  18.3399,   8.2778, -35.7154, -33.6795,  33.3077,  24.3449
