primitives,points,q_bp,speed
movej_fit,"[array([  824.48362355, -1166.17162586,   873.09121663])]","[array([-1.05677175, -0.05392797, -0.19098074, -0.29174197, -1.10344559,
        2.89353383])]",883.0
movel_fit,"[array([ 860.35839142, -842.29860958,  745.42644801])]","[array([-0.97126705, -0.089199  , -0.31448344, -0.40028186, -1.35104761,
        2.9542064 ])]",883.0
movel_fit,"[array([ 861.39602051, -814.85287097,  730.87222402])]","[array([-0.96100017, -0.09047983, -0.32959779, -0.40551473, -1.36491251,
        2.95721618])]",896.0487452791823
movel_fit,"[array([ 854.67169544, -787.48220495,  707.42746473])]","[array([-0.93508863, -0.08426384, -0.33801352, -0.37378077, -1.3841753 ,
        2.9321436 ])]",1166.9758345655666
movel_fit,"[array([ 850.06585221, -756.87001432,  687.58075328])]","[array([-0.91126845, -0.07459981, -0.34321249, -0.35311013, -1.41093532,
        2.91273223])]",1232.0449313193958
movel_fit,"[array([ 847.0568032 , -724.91042683,  671.27537341])]","[array([-0.89857244, -0.06845876, -0.35455291, -0.35623999, -1.43573698,
        2.91046834])]",1212.2194065429233
movel_fit,"[array([ 844.72501917, -691.97640584,  657.66549004])]","[array([-0.88808807, -0.06312571, -0.36659516, -0.36581213, -1.46084739,
        2.91211954])]",1196.9494619510494
movel_fit,"[array([ 842.75104003, -658.88608441,  646.18509495])]","[array([-0.87729378, -0.05735711, -0.37758636, -0.37646605, -1.48650978,
        2.91421913])]",1181.6316018944483
movel_fit,"[array([ 841.39414214, -626.16268851,  637.82008799])]","[array([-0.86735105, -0.05241064, -0.38793079, -0.38982765, -1.51197268,
        2.91780348])]",1169.16992543367
movel_fit,"[array([ 840.46712327, -594.15321396,  631.38627935])]","[array([-0.85653541, -0.05035295, -0.39956638, -0.40290897, -1.53365022,
        2.92117698])]",1139.154019782926
movel_fit,"[array([ 840.07312823, -562.83833913,  627.10471628])]","[array([-0.84501335, -0.05085023, -0.4117212 , -0.41600192, -1.55251048,
        2.92428627])]",1106.4400037776973
movel_fit,"[array([ 839.89060808, -532.21894294,  624.3475993 ])]","[array([-0.83314466, -0.05328926, -0.42431814, -0.42916657, -1.56916338,
        2.92734194])]",1100.7630429652704
movel_fit,"[array([ 839.57101916, -502.45043646,  622.66815325])]","[array([-0.82031283, -0.05706668, -0.43667954, -0.44089467, -1.58413589,
        2.9294305 ])]",1089.001403765405
movel_fit,"[array([ 838.98670148, -473.28155607,  621.5610888 ])]","[array([-0.80575219, -0.05966319, -0.44701343, -0.45009123, -1.59973984,
        2.93005815])]",1069.0560471432527
movel_fit,"[array([ 838.31177904, -444.80639779,  621.19549295])]","[array([-0.79016285, -0.06144696, -0.45572478, -0.45796545, -1.61562661,
        2.92977106])]",1049.4510370645355
movel_fit,"[array([ 837.25947697, -416.99160613,  621.22874821])]","[array([-0.77416951, -0.06335547, -0.46410239, -0.4651757 , -1.63088152,
        2.92920932])]",1031.7483264043913
movel_fit,"[array([ 835.81871995, -389.60542987,  621.44623661])]","[array([-0.75750343, -0.06527356, -0.47217384, -0.47157006, -1.6455717 ,
        2.92823567])]",1010.9230592454886
movel_fit,"[array([ 833.99529054, -362.76028055,  621.8400421 ])]","[array([-0.74068338, -0.06775175, -0.48050149, -0.47777813, -1.65918569,
        2.92721396])]",991.6239092307709
movel_fit,"[array([ 832.07436915, -336.4994721 ,  622.6272419 ])]","[array([-0.72342477, -0.0703389 , -0.4883585 , -0.48364806, -1.67212773,
        2.92578723])]",976.1016634678776
movel_fit,"[array([ 829.76704575, -310.78393375,  623.49801513])]","[array([-0.70572944, -0.07314953, -0.49604661, -0.48887209, -1.68431421,
        2.92408688])]",961.5490905725334
movel_fit,"[array([ 827.12301027, -285.41874487,  624.44292307])]","[array([-0.68746257, -0.07637457, -0.50366608, -0.49353744, -1.69566428,
        2.92199962])]",943.5007607746488
movel_fit,"[array([ 824.02601538, -260.50683674,  625.24742404])]","[array([-0.66904274, -0.08098935, -0.51213469, -0.4979599 , -1.70522307,
        2.91978865])]",929.0336651846893
movel_fit,"[array([ 820.77048081, -236.03798781,  626.1690028 ])]","[array([-0.65014927, -0.08643615, -0.52065613, -0.5020335 , -1.71352075,
        2.9170737 ])]",915.6603201549301
movel_fit,"[array([ 817.00946416, -211.89096028,  626.76146903])]","[array([-0.63067086, -0.0925659 , -0.52951938, -0.50539597, -1.72061339,
        2.9139335 ])]",900.5459905997438
movel_fit,"[array([ 812.71028998, -187.99871575,  626.9487046 ])]","[array([-0.610211  , -0.09903737, -0.53839227, -0.50763068, -1.72676049,
        2.91001824])]",892.6345559778754
movel_fit,"[array([ 807.69031474, -164.35804928,  626.351761  ])]","[array([-0.58827299, -0.1042131 , -0.54648247, -0.50798785, -1.73300565,
        2.90540735])]",891.8082399699281
movel_fit,"[array([ 802.1523435 , -141.02753953,  625.34161197])]","[array([-0.56489704, -0.1083758 , -0.55366261, -0.50676264, -1.73927772,
        2.89987272])]",892.478623488325
movel_fit,"[array([ 795.97126276, -117.99376442,  623.58591073])]","[array([-0.540284  , -0.1121467 , -0.56069239, -0.50413126, -1.74483845,
        2.89364368])]",893.66614951574
movel_fit,"[array([789.116692  , -95.2065889 , 620.87653916])]","[array([-0.51442103, -0.11653101, -0.56838108, -0.50021921, -1.74866851,
        2.88666436])]",890.1301460955532
movel_fit,"[array([781.66432961, -72.62992808, 617.47328226])]","[array([-0.48702831, -0.12288024, -0.57708388, -0.4949596 , -1.7499464 ,
        2.87830309])]",889.3077177464198
movel_fit,"[array([773.21308621, -50.18329668, 612.40276237])]","[array([-0.45803012, -0.13077221, -0.58748284, -0.48807384, -1.74834297,
        2.869007  ])]",887.6250481701262
movel_fit,"[array([764.1024834 , -27.94071573, 606.32726339])]","[array([-0.42639382, -0.13858707, -0.59769276, -0.47881161, -1.74538354,
        2.85793144])]",898.0697984443489
movel_fit,"[array([754.04747496,  -6.19101198, 598.77425219])]","[array([-0.391792  , -0.14514551, -0.60738401, -0.46631574, -1.74158344,
        2.84523996])]",925.777676286116
movel_fit,"[array([743.01150676,  15.59500802, 589.79324091])]","[array([-0.35325504, -0.15094198, -0.61684546, -0.45062158, -1.73657658,
        2.83003717])]",954.2608793923149
movel_fit,"[array([731.05053797,  36.95990331, 578.85848711])]","[array([-0.31116931, -0.15539688, -0.62644401, -0.43176702, -1.72995828,
        2.81293504])]",980.1099047178694
movel_fit,"[array([717.84354474,  58.13680226, 566.48446437])]","[array([-0.26525895, -0.16106651, -0.63736228, -0.41010669, -1.72080444,
        2.79300246])]",1012.1977389888452
movel_fit,"[array([702.83376121,  79.09834506, 552.64584303])]","[array([-0.21533094, -0.16894531, -0.65053876, -0.38565306, -1.70893296,
        2.76997304])]",1058.7316336851748
movel_fit,"[array([685.97505269, 100.15675905, 536.97176786])]","[array([-0.16246947, -0.17715979, -0.66629219, -0.36045201, -1.69518856,
        2.7450673 ])]",1093.019056125957
movel_fit,"[array([666.48254349, 120.75411681, 520.0635672 ])]","[array([-0.10715418, -0.18541965, -0.68432649, -0.33441629, -1.6812984 ,
        2.718531  ])]",1124.3180951369493
movel_fit,"[array([644.20537777, 141.30120261, 502.70317455])]","[array([-0.04910798, -0.19258288, -0.7037694 , -0.30861189, -1.66888157,
        2.69003073])]",1168.7469608341185
movel_fit,"[array([616.11408616, 161.27338445, 484.66165716])]","[array([ 0.01092723, -0.19899339, -0.72665734, -0.28366447, -1.66010649,
        2.66046423])]",1196.4678024399293
movel_fit,"[array([582.98760535, 180.64791116, 468.10908359])]","[array([ 0.07259713, -0.19726513, -0.74783073, -0.26123367, -1.66068758,
        2.63038291])]",1247.321479071621
movel_fit,"[array([547.27149848, 199.96013894, 453.3918712 ])]","[array([ 0.13543323, -0.18587045, -0.76578867, -0.24343813, -1.66835166,
        2.59986376])]",1315.326076604621
movel_fit,"[array([507.82738494, 218.83595176, 442.25807966])]","[array([ 0.1982649 , -0.16849105, -0.7818252 , -0.2316466 , -1.68361803,
        2.56932889])]",1326.8734405751673
movel_fit,"[array([463.37607296, 236.74418109, 435.23879802])]","[array([ 0.25952068, -0.1499315 , -0.79918777, -0.22758565, -1.70504238,
        2.53968437])]",1305.4734557991683
movel_fit,"[array([419.03430872, 254.87925412, 433.58856438])]","[array([ 0.31929169, -0.12561959, -0.81210332, -0.23140641, -1.73204162,
        2.51078996])]",1294.2652810345119
movel_fit,"[array([378.74940127, 272.85095337, 434.44037959])]","[array([ 0.37079346, -0.08715192, -0.81839783, -0.24384364, -1.76214117,
        2.48824648])]",1313.991309224056
movel_fit,"[array([341.37554866, 290.49681354, 438.31293135])]","[array([ 0.41178852, -0.03826232, -0.82073159, -0.26482949, -1.79579955,
        2.47272711])]",1319.3142078700255
movel_fit,"[array([308.86676854, 307.46474747, 443.4629013 ])]","[array([ 0.4396436 ,  0.01697556, -0.82184422, -0.29284407, -1.82863209,
        2.46472954])]",1264.613040207167
movel_fit,"[array([284.3855176 , 323.22936223, 448.05693892])]","[array([ 0.45275714,  0.0753398 , -0.82084902, -0.32394983, -1.85773903,
        2.46288819])]",1203.6561029108107
movel_fit,"[array([267.38076903, 336.47453579, 449.48109533])]","[array([ 0.45679266,  0.11106758, -0.82561789, -0.35273105, -1.87075224,
        2.45966885])]",1005.091197157728
movel_fit,"[array([251.72170789, 347.51142574, 451.81405911])]","[array([ 0.45621753,  0.15298991, -0.8300889 , -0.38045652, -1.88687834,
        2.45977907])]",820.0295135834366
movel_fit,"[array([224.35400994, 381.69083244, 458.98687696])]","[array([ 0.49502885,  0.22081548, -0.83198861, -0.4347949 , -1.90812419,
        2.43261101])]",820.0295135834366
