timestamp,J1,J2,J3,J4,J5,J6
 0,  18.6420,   8.3360, -35.3580, -34.7469,  32.8020,  25.2539
 8,  18.6420,   8.3360, -35.3580, -34.7469,  32.8020,  25.2539
 16,  18.6418,   8.3360, -35.3582, -34.7463,  32.8023,  25.2534
 24,  18.6414,   8.3359, -35.3587, -34.7448,  32.8030,  25.2521
 32,  18.6405,   8.3357, -35.3597, -34.7418,  32.8044,  25.2495
 40,  18.6392,   8.3354, -35.3614, -34.7368,  32.8067,  25.2453
 48,  18.6371,   8.3350, -35.3639, -34.7294,  32.8101,  25.2390
 56,  18.6342,   8.3344, -35.3674, -34.7190,  32.8149,  25.2301
 64,  18.6304,   8.3336, -35.3719, -34.7052,  32.8213,  25.2184
 72,  18.6254,   8.3326, -35.3779, -34.6875,  32.8296,  25.2032
 80,  18.6192,   8.3314, -35.3853, -34.6653,  32.8398,  25.1843
 88,  18.6117,   8.3298, -35.3943, -34.6382,  32.8524,  25.1612
 96,  18.6026,   8.3280, -35.4052, -34.6057,  32.8676,  25.1335
 104,  18.5919,   8.3259, -35.4180, -34.5673,  32.8854,  25.1008
 112,  18.5794,   8.3234, -35.4330, -34.5226,  32.9063,  25.0626
 128,  18.5305,   8.3137, -35.4911, -34.3488,  32.9878,  24.9145
 136,  18.5305,   8.3137, -35.4911, -34.3488,  32.9878,  24.9145
 144,  18.5108,   8.3099, -35.5145, -34.2788,  33.0208,  24.8549
 152,  18.4896,   8.3058, -35.5397, -34.2036,  33.0564,  24.7909
 160,  18.4670,   8.3015, -35.5664, -34.1239,  33.0942,  24.7230
 168,  18.4431,   8.2969, -35.5945, -34.0400,  33.1341,  24.6516
 176,  18.4183,   8.2923, -35.6238, -33.9526,  33.1759,  24.5772
 184,  18.3924,   8.2875, -35.6542, -33.8622,  33.2192,  24.5003
 192,  18.3658,   8.2826, -35.6854, -33.7694,  33.2639,  24.4213
 200,  18.3386,   8.2776, -35.7172, -33.6745,  33.3097,  24.3407
 208,  18.3108,   8.2726, -35.7496, -33.5782,  33.3565,  24.2589
 216,  18.2827,   8.2676, -35.7824, -33.4807,  33.4039,  24.1761
 224,  18.2543,   8.2626, -35.8154, -33.3827,  33.4519,  24.0929
 232,  18.2257,   8.2576, -35.8485, -33.2844,  33.5001,  24.0095
 240,  18.1971,   8.2527, -35.8815, -33.1862,  33.5485,  23.9262
 256,  18.1110,   8.2384, -35.9806, -32.8926,  33.6944,  23.6774
 264,  18.1110,   8.2384, -35.9806, -32.8926,  33.6944,  23.6774
 272,  18.0822,   8.2337, -36.0135, -32.7948,  33.7433,  23.5946
 280,  18.0533,   8.2290, -36.0466, -32.6970,  33.7925,  23.5119
 288,  18.0242,   8.2245, -36.0797, -32.5991,  33.8419,  23.4291
 296,  17.9951,   8.2199, -36.1129, -32.5010,  33.8916,  23.3461
 304,  17.9657,   8.2154, -36.1462, -32.4026,  33.9416,  23.2630
 312,  17.9362,   8.2109, -36.1796, -32.3039,  33.9920,  23.1796
 320,  17.9065,   8.2065, -36.2132, -32.2049,  34.0427,  23.0961
 328,  17.8766,   8.2021, -36.2468, -32.1057,  34.0938,  23.0124
 336,  17.8466,   8.1977, -36.2805, -32.0062,  34.1451,  22.9285
 344,  17.8165,   8.1934, -36.3144, -31.9067,  34.1968,  22.8446
 352,  17.7862,   8.1891, -36.3483, -31.8070,  34.2487,  22.7606
 360,  17.7558,   8.1849, -36.3822, -31.7071,  34.3010,  22.6765
 368,  17.7252,   8.1807, -36.4163, -31.6071,  34.3535,  22.5923
 384,  17.6327,   8.1685, -36.5188, -31.3063,  34.5128,  22.3394
 392,  17.6327,   8.1685, -36.5188, -31.3063,  34.5128,  22.3394
 400,  17.6016,   8.1645, -36.5531, -31.2058,  34.5664,  22.2550
 408,  17.5704,   8.1605, -36.5875, -31.1052,  34.6203,  22.1706
 416,  17.5391,   8.1567, -36.6218, -31.0047,  34.6744,  22.0862
 424,  17.5077,   8.1529, -36.6562, -30.9043,  34.7286,  22.0020
 432,  17.4763,   8.1491, -36.6905, -30.8039,  34.7831,  21.9179
 440,  17.4448,   8.1454, -36.7249, -30.7035,  34.8377,  21.8339
 448,  17.4132,   8.1419, -36.7592, -30.6033,  34.8925,  21.7499
 456,  17.3815,   8.1383, -36.7935, -30.5031,  34.9475,  21.6661
 464,  17.3498,   8.1349, -36.8278, -30.4031,  35.0026,  21.5825
 472,  17.3180,   8.1315, -36.8621, -30.3032,  35.0579,  21.4990
 480,  17.2862,   8.1281, -36.8963, -30.2036,  35.1132,  21.4158
 488,  17.2544,   8.1249, -36.9305, -30.1042,  35.1687,  21.3328
 496,  17.2225,   8.1217, -36.9646, -30.0050,  35.2242,  21.2501
 512,  17.1270,   8.1126, -37.0663, -29.7094,  35.3910,  21.0036
 520,  17.1270,   8.1126, -37.0663, -29.7094,  35.3910,  21.0036
 528,  17.0951,   8.1098, -37.1001, -29.6115,  35.4467,  20.9221
 536,  17.0633,   8.1070, -37.1338, -29.5139,  35.5024,  20.8409
