timestamp,J11,J12,J13,J14,J15,J16,J21,J22,J23,J24,J25,J26
 11496,  10.9393,  -4.1129,  -7.8538, -64.1790, -52.6792, -24.5779,  23.7116, -11.8657,   -.5510,  49.9399,  27.9007,  47.5351
 11508,  10.9263,  -4.1357,  -7.8717, -64.1819, -52.6787, -24.5886,  23.6981, -11.8719,   -.5445,  49.9373,  27.8974,  47.5352
 11520,  10.9132,  -4.1585,  -7.8895, -64.1849, -52.6782, -24.5994,  23.6845, -11.8782,   -.5380,  49.9347,  27.8940,  47.5353
 11532,  10.9002,  -4.1813,  -7.9074, -64.1878, -52.6778, -24.6101,  23.6710, -11.8845,   -.5314,  49.9320,  27.8907,  47.5354
 11544,  10.8872,  -4.2041,  -7.9253, -64.1908, -52.6774, -24.6208,  23.6575, -11.8908,   -.5249,  49.9295,  27.8873,  47.5356
 11556,  10.8742,  -4.2269,  -7.9432, -64.1937, -52.6769, -24.6315,  23.6439, -11.8970,   -.5184,  49.9268,  27.8839,  47.5357
 11568,  10.8611,  -4.2497,  -7.9611, -64.1967, -52.6765, -24.6422,  23.6304, -11.9033,   -.5118,  49.9242,  27.8806,  47.5358
 11580,  10.8481,  -4.2725,  -7.9789, -64.1997, -52.6760, -24.6529,  23.6169, -11.9096,   -.5053,  49.9216,  27.8772,  47.5360
 11592,  10.8351,  -4.2953,  -7.9968, -64.2026, -52.6756, -24.6636,  23.6033, -11.9158,   -.4988,  49.9190,  27.8739,  47.5361
 11604,  10.8221,  -4.3181,  -8.0147, -64.2056, -52.6751, -24.6743,  23.5898, -11.9221,   -.4922,  49.9164,  27.8705,  47.5362
 11616,  10.8090,  -4.3409,  -8.0326, -64.2085, -52.6747, -24.6850,  23.5763, -11.9284,   -.4857,  49.9138,  27.8672,  47.5363
 11628,  10.7960,  -4.3637,  -8.0505, -64.2115, -52.6742, -24.6957,  23.5628, -11.9347,   -.4792,  49.9112,  27.8638,  47.5365
 11640,  10.7830,  -4.3865,  -8.0684, -64.2144, -52.6738, -24.7064,  23.5492, -11.9409,   -.4726,  49.9086,  27.8605,  47.5366
 11652,  10.7699,  -4.4093,  -8.0862, -64.2174, -52.6733, -24.7171,  23.5357, -11.9472,   -.4661,  49.9060,  27.8571,  47.5367
 11664,  10.7569,  -4.4321,  -8.1041, -64.2203, -52.6729, -24.7278,  23.5222, -11.9535,   -.4596,  49.9034,  27.8538,  47.5368
 11676,  10.7439,  -4.4549,  -8.1220, -64.2233, -52.6724, -24.7385,  23.5086, -11.9598,   -.4531,  49.9008,  27.8504,  47.5370
 11688,  10.7309,  -4.4777,  -8.1399, -64.2262, -52.6720, -24.7492,  23.4951, -11.9660,   -.4465,  49.8982,  27.8470,  47.5371
 11700,  10.7178,  -4.5005,  -8.1578, -64.2292, -52.6715, -24.7600,  23.4816, -11.9723,   -.4400,  49.8956,  27.8437,  47.5372
 11712,  10.7048,  -4.5233,  -8.1757, -64.2321, -52.6711, -24.7707,  23.4680, -11.9786,   -.4335,  49.8930,  27.8403,  47.5373
 11724,  10.6918,  -4.5461,  -8.1935, -64.2351, -52.6706, -24.7814,  23.4545, -11.9849,   -.4269,  49.8904,  27.8370,  47.5375
 11736,  10.6788,  -4.5689,  -8.2114, -64.2380, -52.6702, -24.7921,  23.4410, -11.9911,   -.4204,  49.8877,  27.8336,  47.5376
 11748,  10.6657,  -4.5917,  -8.2293, -64.2410, -52.6697, -24.8028,  23.4275, -11.9974,   -.4139,  49.8851,  27.8303,  47.5377
 11760,  10.6527,  -4.6145,  -8.2472, -64.2439, -52.6693, -24.8135,  23.4139, -12.0037,   -.4073,  49.8825,  27.8269,  47.5379
 11772,  10.6397,  -4.6373,  -8.2651, -64.2469, -52.6688, -24.8242,  23.4004, -12.0100,   -.4008,  49.8799,  27.8236,  47.5380
 11784,  10.6267,  -4.6601,  -8.2829, -64.2499, -52.6684, -24.8349,  23.3869, -12.0162,   -.3943,  49.8773,  27.8202,  47.5381
 11796,  10.6136,  -4.6829,  -8.3008, -64.2528, -52.6679, -24.8456,  23.3733, -12.0225,   -.3877,  49.8747,  27.8168,  47.5382
 11808,  10.6006,  -4.7057,  -8.3187, -64.2558, -52.6675, -24.8563,  23.3598, -12.0288,   -.3812,  49.8721,  27.8135,  47.5384
 11820,  10.5876,  -4.7285,  -8.3366, -64.2587, -52.6670, -24.8670,  23.3463, -12.0350,   -.3747,  49.8695,  27.8101,  47.5385
