timestamp, cmd_num, J1, J2, J3, J4, J5, J6, J1_2, J2_2, J3_2, J4_2, J5_2, J6_2
0.002, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.006, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.01, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.011, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.013, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.016, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.02, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.024, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.028, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.032, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.036, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.04, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4991, 32.0981, -14.5434, -22.3469, -109.638, -9.73442
0.044, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.499, 32.0982, -14.5434, -22.3469, -109.638, -9.73442
0.048, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4983, 32.0984, -14.5432, -22.3469, -109.638, -9.73441
0.052, -1, 18.7351, -0.713156, -11.5331, 30.6259, -91.5639, -66.2905, -10.4966, 32.0991, -14.5426, -22.3469, -109.638, -9.73439
