timestamp, cmd_num, J1, J2, J3, J4, J5, J6, J1_2, J2_2, J3_2, J4_2, J5_2, J6_2
0.002, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.006, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.008, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.009, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.013, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.016, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.02, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.024, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.028, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.032, -1, -39.173, 1.80173, 8.86959, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.036, -1, -39.1731, 1.80172, 8.86957, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.04, -1, -39.1734, 1.80167, 8.86949, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.044, -1, -39.1742, 1.80153, 8.86923, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.048, -1, -39.1757, 1.80124, 8.86863, -133.693, -66.8627, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.052, -1, -39.1781, 1.80076, 8.86754, -133.693, -66.8626, 136.786, 83.176, 21.409, -145.652, -58.3561, 40.8653, -278.846
0.056, -1, -39.1815, 1.80009, 8.86579, -133.693, -66.8625, 136.786, 83.1759, 21.409, -145.652, -58.3562, 40.8653, -278.846
0.06, -1, -39.1859, 1.79924, 8.86315, -133.693, -66.8624, 136.786, 83.1756, 21.409, -145.652, -58.3563, 40.8653, -278.846
0.064, -1, -39.1913, 1.79825, 8.85937, -133.692, -66.8623, 136.785, 83.1748, 21.4091, -145.651, -58.3565, 40.8654, -278.845
0.068, -1, -39.1978, 1.79715, 8.85417, -133.692, -66.8622, 136.785, 83.1733, 21.4092, -145.65, -58.357, 40.8655, -278.842
0.072, -1, -39.2052, 1.79601, 8.84722, -133.691, -66.8621, 136.784, 83.1705, 21.4091, -145.648, -58.358, 40.8657, -278.837
0.076, -1, -39.214, 1.79485, 8.83815, -133.689, -66.8619, 136.783, 83.1659, 21.4089, -145.645, -58.3597, 40.8661, -278.829
0.08, -1, -39.2243, 1.7937, 8.8265, -133.687, -66.8618, 136.781, 83.1589, 21.4085, -145.64, -58.3624, 40.8668, -278.816
0.084, -1, -39.2365, 1.79261, 8.81189, -133.685, -66.8617, 136.779, 83.1486, 21.4077, -145.633, -58.3664, 40.8678, -278.797
0.088, -1, -39.2504, 1.79168, 8.79398, -133.682, -66.8616, 136.777, 83.1346, 21.4065, -145.624, -58.372, 40.8692, -278.771
0.092, -1, -39.2659, 1.79109, 8.77261, -133.678, -66.8616, 136.774, 83.1161, 21.4048, -145.613, -58.3793, 40.871, -278.736
0.096, -1, -39.2829, 1.791, 8.74763, -133.674, -66.8616, 136.77, 83.0928, 21.4025, -145.599, -58.3887, 40.8734, -278.692
0.1, -1, -39.3012, 1.7915, 8.71892, -133.669, -66.8617, 136.765, 83.0641, 21.3996, -145.582, -58.4002, 40.8763, -278.638
0.104, -1, -39.3209, 1.7926, 8.68639, -133.663, -66.8619, 136.76, 83.0299, 21.396, -145.561, -58.414, 40.8797, -278.573
0.108, -1, -39.342, 1.79428, 8.65003, -133.656, -66.8622, 136.754, 82.9901, 21.3918, -145.537, -58.43, 40.8838, -278.497
0.112, -1, -39.3647, 1.79645, 8.6099, -133.649, -66.8625, 136.747, 82.9449, 21.3868, -145.51, -58.4483, 40.8884, -278.411
0.116, -1, -39.3891, 1.79899, 8.56608, -133.64, -66.8629, 136.74, 82.8945, 21.3813, -145.481, -58.4687, 40.8936, -278.315
0.12, -1, -39.4153, 1.80178, 8.51878, -133.632, -66.8633, 136.732, 82.8397, 21.3751, -145.448, -58.491, 40.8992, -278.21
0.124, -1, -39.4432, 1.80475, 8.46832, -133.622, -66.8637, 136.723, 82.781, 21.3685, -145.414, -58.5148, 40.9052, -278.098
0.128, -1, -39.4724, 1.80789, 8.41513, -133.612, -66.8642, 136.714, 82.7194, 21.3617, -145.377, -58.5398, 40.9115, -277.98
0.131, -1, -39.4724, 1.80789, 8.41513, -133.612, -66.8642, 136.714, 82.7194, 21.3617, -145.377, -58.5398, 40.9115, -277.98
0.136, -1, -39.5028, 1.81114, 8.35964, -133.602, -66.8646, 136.705, 82.6555, 21.3546, -145.34, -58.5656, 40.9181, -277.859
0.139, -1, -39.5342, 1.81444, 8.30221, -133.591, -66.8651, 136.695, 82.5903, 21.3475, -145.301, -58.592, 40.9247, -277.735
0.144, -1, -39.5666, 1.81765, 8.24313, -133.58, -66.8656, 136.685, 82.5241, 21.3403, -145.262, -58.6186, 40.9315, -277.609
0.148, -1, -39.6004, 1.82068, 8.1827, -133.569, -66.866, 136.675, 82.4575, 21.3332, -145.222, -58.6455, 40.9383, -277.482
0.152, -1, -39.6354, 1.82348, 8.12119, -133.557, -66.8664, 136.665, 82.3907, 21.3261, -145.182, -58.6724, 40.945, -277.356
0.156, -1, -39.6716, 1.82602, 8.05888, -133.546, -66.8668, 136.655, 82.3238, 21.319, -145.142, -58.6993, 40.9518, -277.229
0.16, -1, -39.7089, 1.82833, 7.99598, -133.534, -66.8672, 136.645, 82.2569, 21.3119, -145.102, -58.7262, 40.9586, -277.102
0.164, -1, -39.7471, 1.83045, 7.9327, -133.523, -66.8675, 136.634, 82.19, 21.3049, -145.062, -58.7531, 40.9654, -276.975
0.168, -1, -39.7858, 1.83247, 7.86923, -133.511, -66.8679, 136.624, 82.123, 21.2978, -145.023, -58.7801, 40.9722, -276.848
0.172, -1, -39.8246, 1.83446, 7.8057, -133.5, -66.8682, 136.614, 82.0561, 21.2908, -144.983, -58.807, 40.979, -276.721
0.176, -1, -39.8636, 1.83644, 7.74216, -133.488, -66.8685, 136.603, 81.9892, 21.2837, -144.943, -58.8339, 40.9858, -276.594
0.18, -1, -39.9025, 1.83843, 7.67862, -133.477, -66.8688, 136.593, 81.9223, 21.2766, -144.903, -58.8608, 40.9925, -276.467
0.184, -1, -39.9414, 1.84041, 7.61508, -133.465, -66.8692, 136.583, 81.8554, 21.2696, -144.863, -58.8878, 40.9993, -276.34
0.188, -1, -39.9804, 1.84239, 7.55153, -133.453, -66.8695, 136.573, 81.7885, 21.2625, -144.823, -58.9147, 41.0061, -276.213
0.192, -1, -40.0582, 1.84635, 7.42444, -133.43, -66.8701, 136.552, 81.6546, 21.2484, -144.743, -58.9685, 41.0197, -275.96
0.196, -1, -40.0971, 1.84834, 7.36089, -133.419, -66.8705, 136.542, 81.5877, 21.2413, -144.703, -58.9955, 41.0265, -275.833
0.2, -1, -40.1361, 1.85032, 7.29735, -133.407, -66.8708, 136.531, 81.5208, 21.2343, -144.663, -59.0224, 41.0333, -275.706
0.204, -1, -40.175, 1.8523, 7.2338, -133.396, -66.8711, 136.521, 81.4539, 21.2272, -144.623, -59.0493, 41.0401, -275.579
0.208, -1, -40.2139, 1.85428, 7.17025, -133.384, -66.8714, 136.511, 81.3869, 21.2201, -144.583, -59.0763, 41.0468, -275.452
0.212, -1, -40.2529, 1.85627, 7.10669, -133.372, -66.8717, 136.501, 81.32, 21.2131, -144.543, -59.1032, 41.0536, -275.325
0.216, -1, -40.2918, 1.85825, 7.04314, -133.361, -66.8721, 136.49, 81.2531, 21.206, -144.503, -59.1301, 41.0604, -275.198
0.22, -1, -40.3307, 1.86023, 6.97959, -133.349, -66.8724, 136.48, 81.1861, 21.1989, -144.463, -59.157, 41.0672, -275.071
0.224, -1, -40.3697, 1.86221, 6.91603, -133.338, -66.8727, 136.47, 81.1192, 21.1919, -144.423, -59.184, 41.074, -274.944
0.228, -1, -40.4086, 1.8642, 6.85247, -133.326, -66.873, 136.459, 81.0523, 21.1848, -144.383, -59.2109, 41.0808, -274.817
0.232, -1, -40.4475, 1.86618, 6.78891, -133.315, -66.8734, 136.449, 80.9854, 21.1778, -144.343, -59.2378, 41.0876, -274.69
0.236, -1, -40.4865, 1.86816, 6.72536, -133.303, -66.8737, 136.439, 80.9184, 21.1707, -144.303, -59.2648, 41.0944, -274.563
0.24, -1, -40.5254, 1.87014, 6.66179, -133.291, -66.874, 136.428, 80.8515, 21.1636, -144.263, -59.2917, 41.1012, -274.436
0.244, -1, -40.5643, 1.87213, 6.59823, -133.28, -66.8743, 136.418, 80.7845, 21.1566, -144.223, -59.3186, 41.1079, -274.309
0.248, -1, -40.6033, 1.87411, 6.53467, -133.268, -66.8747, 136.408, 80.7176, 21.1495, -144.183, -59.3456, 41.1147, -274.182
0.252, -1, -40.6422, 1.87609, 6.4711, -133.257, -66.875, 136.398, 80.6507, 21.1424, -144.143, -59.3725, 41.1215, -274.055
0.256, -1, -40.6812, 1.87807, 6.40754, -133.245, -66.8753, 136.387, 80.5837, 21.1354, -144.103, -59.3995, 41.1283, -273.928
0.26, -1, -40.7201, 1.88006, 6.34397, -133.234, -66.8756, 136.377, 80.5168, 21.1283, -144.063, -59.4264, 41.1351, -273.801
0.264, -1, -40.759, 1.88204, 6.2804, -133.222, -66.876, 136.367, 80.4498, 21.1212, -144.023, -59.4533, 41.1419, -273.674
0.268, -1, -40.798, 1.88402, 6.21683, -133.21, -66.8763, 136.356, 80.3829, 21.1142, -143.983, -59.4803, 41.1487, -273.547
0.272, -1, -40.8369, 1.88601, 6.15325, -133.199, -66.8766, 136.346, 80.3159, 21.1071, -143.943, -59.5072, 41.1555, -273.42
0.276, -1, -40.8759, 1.88799, 6.08968, -133.187, -66.8769, 136.336, 80.249, 21.1, -143.903, -59.5341, 41.1623, -273.293
0.28, -1, -40.9148, 1.88997, 6.02611, -133.176, -66.8772, 136.326, 80.182, 21.093, -143.863, -59.5611, 41.1691, -273.166
0.284, -1, -40.9538, 1.89196, 5.96253, -133.164, -66.8776, 136.315, 80.1151, 21.0859, -143.823, -59.588, 41.1758, -273.039
0.288, -1, -40.9927, 1.89394, 5.89895, -133.153, -66.8779, 136.305, 80.0481, 21.0789, -143.783, -59.615, 41.1826, -272.913
0.292, -1, -41.0317, 1.89592, 5.83537, -133.141, -66.8782, 136.295, 79.9812, 21.0718, -143.743, -59.6419, 41.1894, -272.785
0.296, -1, -41.0706, 1.8979, 5.77179, -133.129, -66.8785, 136.284, 79.9142, 21.0647, -143.703, -59.6688, 41.1962, -272.659
0.3, -1, -41.1096, 1.89989, 5.7082, -133.118, -66.8789, 136.274, 79.8473, 21.0577, -143.663, -59.6958, 41.203, -272.531
