timestamp, cmd_num, J1, J2, J3, J4, J5, J6, J1_2, J2_2, J3_2, J4_2, J5_2, J6_2
0.002, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.006, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.01, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.011, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.013, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.016, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.02, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.024, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.028, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.032, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.036, -1, -28.4308, -12.4981, 30.5532, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.04, -1, -28.4308, -12.4981, 30.5531, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.044, -1, -28.4311, -12.4979, 30.5531, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.048, -1, -28.4319, -12.4974, 30.553, -164.547, -107.839, 56.8864, 56.8615, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.052, -1, -28.4337, -12.4963, 30.5526, -164.547, -107.839, 56.8864, 56.8614, -16.4311, 26.5147, -20.5567, -98.604, -57.6973
0.056, -1, -28.4365, -12.4944, 30.552, -164.547, -107.838, 56.8863, 56.8611, -16.431, 26.5147, -20.5567, -98.604, -57.6973
0.06, -1, -28.4404, -12.4915, 30.5509, -164.547, -107.837, 56.8863, 56.8599, -16.4307, 26.5144, -20.5565, -98.6039, -57.6975
0.064, -1, -28.4457, -12.4875, 30.5493, -164.547, -107.836, 56.8862, 56.857, -16.43, 26.5138, -20.556, -98.6038, -57.6979
0.068, -1, -28.4521, -12.4823, 30.5469, -164.546, -107.834, 56.886, 56.8515, -16.4286, 26.5125, -20.5547, -98.6037, -57.6991
0.072, -1, -28.4597, -12.4761, 30.5437, -164.546, -107.83, 56.8857, 56.8419, -16.4263, 26.5101, -20.5523, -98.6034, -57.7016
0.076, -1, -28.4682, -12.4688, 30.5394, -164.546, -107.825, 56.8852, 56.8265, -16.4226, 26.5059, -20.548, -98.603, -57.7063
0.08, -1, -28.4778, -12.4605, 30.5339, -164.545, -107.818, 56.8846, 56.8038, -16.4172, 26.4993, -20.5411, -98.6024, -57.7143
0.084, -1, -28.4887, -12.4509, 30.527, -164.545, -107.809, 56.8838, 56.7723, -16.4098, 26.4896, -20.5306, -98.6015, -57.7269
0.088, -1, -28.5012, -12.44, 30.5185, -164.544, -107.797, 56.8828, 56.7309, -16.4001, 26.4762, -20.5158, -98.6003, -57.7451
