breakpoints,primitives,points
0,movej_fit,"[array([ 0.62597978,  0.83670775, -0.24052238,  1.69986191, -0.88975063,
        0.80312783])]"
2688,movej_fit,"[array([ 0.62581166,  0.88738833, -0.25928895,  1.68048176, -1.04393096,
        0.75472034])]"
5313,movej_fit,"[array([ 0.61969221,  0.92795298, -0.26125877,  1.64648531, -1.18250502,
        0.71292421])]"
8073,movej_fit,"[array([ 0.60604508,  0.94951672, -0.23055252,  1.59559643, -1.29941174,
        0.69140223])]"
11114,movej_fit,"[array([ 0.58393751,  0.94643621, -0.1595097 ,  1.5299496 , -1.39310259,
        0.69950948])]"
14311,movej_fit,"[array([ 0.55425849,  0.91887633, -0.05445686,  1.45370427, -1.45929114,
        0.74329956])]"
17273,movej_fit,"[array([ 0.52101616,  0.88524222,  0.05615671,  1.37029242, -1.50963487,
        0.83773882])]"
19888,movej_fit,"[array([ 0.4856219 ,  0.84941469,  0.16011071,  1.28506909, -1.54607421,
        0.90916827])]"
22576,movej_fit,"[array([ 0.44522505,  0.81090331,  0.25666573,  1.20999637, -1.57184917,
        1.00326548])]"
24976,movej_fit,"[array([ 0.40277651,  0.77100525,  0.34534309,  1.13204432, -1.57972336,
        1.09887608])]"
27248,movej_fit,"[array([ 0.35669424,  0.73855738,  0.42152271,  1.05096709, -1.58718267,
        1.2111928 ])]"
29351,movej_fit,"[array([ 0.3076397 ,  0.71127467,  0.4868291 ,  0.96592721, -1.58819422,
        1.33092213])]"
31344,movej_fit,"[array([ 0.25553194,  0.69142745,  0.54003632,  0.8774451 , -1.58601178,
        1.46483483])]"
33251,movej_fit,"[array([ 0.20084115,  0.68078302,  0.58054771,  0.78540189, -1.58267396,
        1.61164401])]"
35111,movej_fit,"[array([ 0.14488564,  0.68243869,  0.60622393,  0.69264088, -1.58226386,
        1.77364854])]"
36961,movej_fit,"[array([ 0.09085902,  0.70038316,  0.61372498,  0.60713021, -1.59018825,
        1.94916989])]"
38783,movej_fit,"[array([ 0.043616  ,  0.73353586,  0.60252125,  0.53863344, -1.60528402,
        2.13039587])]"
40627,movej_fit,"[array([ 0.0085247 ,  0.78701702,  0.56737982,  0.50406766, -1.63587413,
        2.31540908])]"
42527,movej_fit,"[array([-0.01234916,  0.8525825 ,  0.51043097,  0.51062444, -1.66700558,
        2.49493758])]"
44395,movej_fit,"[array([-0.01764571,  0.92185989,  0.43503365,  0.56196632, -1.6876669 ,
        2.65791777])]"
46255,movej_fit,"[array([-0.01346121,  0.98923043,  0.34539341,  0.64440556, -1.69035838,
        2.79274774])]"
48397,movej_fit,"[array([-0.01097753,  1.04690115,  0.25314394,  0.73452694, -1.65846671,
        2.83383364])]"
50000,movej_fit,"[array([-0.01986852,  1.11723511,  0.16422479,  0.74920694, -1.67764377,
        2.99189267])]"
