j1,j2,j3,j4,j5,j6
-0.000443351,0.039507269,-0.007226312,-0.027939004,-0.123261447,-0.034753217
-0.000444777,0.039507294,-0.007224156,-0.027941091,-0.123264462,-0.034753375
-0.000446204,0.039507319,-0.007221998,-0.027943179,-0.123267477,-0.034753533
-0.00044763,0.039507343,-0.007219841,-0.027945266,-0.123270492,-0.034753692
-0.000449056,0.039507368,-0.007217684,-0.027947353,-0.123273506,-0.03475385
-0.000450482,0.039507392,-0.007215526,-0.02794944,-0.123276521,-0.034754009
-0.000451909,0.039507416,-0.007213368,-0.027951527,-0.123279535,-0.034754168
-0.000453335,0.039507439,-0.00721121,-0.027953614,-0.12328255,-0.034754327
-0.000454762,0.039507463,-0.007209051,-0.027955701,-0.123285564,-0.034754486
-0.000456188,0.039507486,-0.007206893,-0.027957787,-0.123288578,-0.034754646
-0.000457615,0.039507509,-0.007204734,-0.027959874,-0.123291591,-0.034754805
-0.000459042,0.039507531,-0.007202575,-0.02796196,-0.123294605,-0.034754965
-0.000460469,0.039507554,-0.007200416,-0.027964046,-0.123297619,-0.034755125
-0.000461896,0.039507576,-0.007198256,-0.027966132,-0.123300632,-0.034755284
-0.000463323,0.039507598,-0.007196097,-0.027968218,-0.123303645,-0.034755444
-0.00046475,0.039507619,-0.007193937,-0.027970304,-0.123306659,-0.034755605
-0.000466177,0.039507641,-0.007191777,-0.027972389,-0.123309672,-0.034755765
-0.000467605,0.039507662,-0.007189617,-0.027974475,-0.123312685,-0.034755925
-0.000469032,0.039507683,-0.007187456,-0.02797656,-0.123315697,-0.034756086
-0.00047046,0.039507703,-0.007185296,-0.027978645,-0.12331871,-0.034756247
-0.000471887,0.039507724,-0.007183135,-0.027980731,-0.123321722,-0.034756408
-0.000473315,0.039507744,-0.007180974,-0.027982815,-0.123324734,-0.034756569
-0.000474743,0.039507764,-0.007178812,-0.0279849,-0.123327747,-0.03475673
-0.000476171,0.039507784,-0.007176651,-0.027986985,-0.123330758,-0.034756891
-0.000477598,0.039507803,-0.007174489,-0.027989069,-0.123333771,-0.034757053
-0.000479026,0.039507822,-0.007172327,-0.027991154,-0.123336782,-0.034757214
-0.000480455,0.039507841,-0.007170165,-0.027993238,-0.123339794,-0.034757376
-0.000481883,0.03950786,-0.007168002,-0.027995322,-0.123342805,-0.034757538
-0.000483311,0.039507878,-0.00716584,-0.027997406,-0.123345816,-0.0347577
-0.000484739,0.039507897,-0.007163677,-0.02799949,-0.123348828,-0.034757862
-0.000486168,0.039507915,-0.007161514,-0.028001574,-0.123351839,-0.034758024
-0.000487596,0.039507932,-0.007159351,-0.028003658,-0.12335485,-0.034758187
-0.000489025,0.03950795,-0.007157188,-0.028005741,-0.12335786,-0.034758349
-0.000490453,0.039507967,-0.007155024,-0.028007824,-0.123360871,-0.034758512
-0.000491882,0.039507984,-0.00715286,-0.028009908,-0.123363881,-0.034758675
-0.000493311,0.039508001,-0.007150696,-0.028011991,-0.123366891,-0.034758838
-0.00049474,0.039508017,-0.007148532,-0.028014073,-0.123369902,-0.034759001
-0.000496169,0.039508034,-0.007146367,-0.028016156,-0.123372912,-0.034759164
-0.000497598,0.03950805,-0.007144203,-0.028018239,-0.123375921,-0.034759328
-0.000499027,0.039508065,-0.007142038,-0.028020321,-0.123378931,-0.034759491
-0.000500456,0.039508081,-0.007139873,-0.028022404,-0.123381941,-0.034759655
-0.000501886,0.039508096,-0.007137707,-0.028024486,-0.12338495,-0.034759819
-0.000503315,0.039508111,-0.007135542,-0.028026568,-0.12338796,-0.034759983
-0.000504745,0.039508126,-0.007133376,-0.02802865,-0.123390969,-0.034760147
-0.000506174,0.039508141,-0.00713121,-0.028030732,-0.123393978,-0.034760311
-0.000507604,0.039508155,-0.007129044,-0.028032814,-0.123396986,-0.034760476
-0.000509034,0.039508169,-0.007126878,-0.028034895,-0.123399995,-0.03476064
-0.000510463,0.039508183,-0.007124711,-0.028036977,-0.123403004,-0.034760805
-0.000511893,0.039508196,-0.007122544,-0.028039058,-0.123406012,-0.03476097
-0.000513323,0.03950821,-0.007120377,-0.028041139,-0.12340902,-0.034761135
-0.000514753,0.039508223,-0.00711821,-0.02804322,-0.123412029,-0.0347613
-0.000516184,0.039508236,-0.007116043,-0.028045301,-0.123415037,-0.034761465
-0.000517614,0.039508248,-0.007113875,-0.028047382,-0.123418044,-0.034761631
-0.000519044,0.039508261,-0.007111707,-0.028049463,-0.123421052,-0.034761796
-0.000520475,0.039508273,-0.007109539,-0.028051543,-0.12342406,-0.034761962
-0.000521905,0.039508285,-0.007107371,-0.028053624,-0.123427067,-0.034762128
-0.000523336,0.039508296,-0.007105202,-0.028055704,-0.123430074,-0.034762293
-0.000524766,0.039508308,-0.007103034,-0.028057784,-0.123433081,-0.03476246
-0.000526197,0.039508319,-0.007100865,-0.028059864,-0.123436089,-0.034762626
-0.000527628,0.03950833,-0.007098696,-0.028061944,-0.123439095,-0.034762792
-0.000529059,0.03950834,-0.007096527,-0.028064024,-0.123442102,-0.034762959
-0.00053049,0.039508351,-0.007094357,-0.028066103,-0.123445109,-0.034763125
-0.000531921,0.039508361,-0.007092187,-0.028068183,-0.123448115,-0.034763292
-0.000533352,0.039508371,-0.007090017,-0.028070262,-0.123451121,-0.034763459
-0.000534783,0.03950838,-0.007087847,-0.028072341,-0.123454127,-0.034763626
-0.000536214,0.03950839,-0.007085677,-0.02807442,-0.123457133,-0.034763793
