breakpoints,primitives,points
0,movej_fit,"[array([ 0.62565463,  0.83672841, -0.2405941 ,  1.70008113, -0.89003289,
        0.8036529 ])]"
3912,movec_fit,"[array([2323.42925758, 1027.05720541,  727.91595543]), array([2315.64606923,  967.20559878,  704.84397585])]"
6030,movec_fit,"[array([2309.83479722,  933.73929401,  695.14253472]), array([2302.87460322,  900.01739822,  687.40192418])]"
8008,movec_fit,"[array([2295.47232838,  867.99120896,  681.81374218]), array([2287.31932816,  835.93962156,  677.85443257])]"
9986,movec_fit,"[array([2278.44126753,  803.55634592,  675.28416703]), array([2268.98136082,  771.29291251,  674.10437624])]"
12461,movec_fit,"[array([2256.3731314 ,  730.64413567,  674.26465487]), array([2243.15859972,  690.23159832,  676.14060066])]"
14846,movec_fit,"[array([2229.91384224,  651.05290799,  679.21577283]), array([2216.32390255,  612.09782045,  683.41871859])]"
15710,movel_fit,"[array([2206.25110844,  583.67471198,  686.48351806])]"
17060,movel_fit,"[array([2190.53440294,  539.4785095 ,  692.51407452])]"
20019,movec_fit,"[array([2173.27658856,  490.6427954 ,  700.29376997]), array([2156.13758878,  441.85078718,  708.59301147])]"
21685,movec_fit,"[array([2146.626455  ,  414.24687118,  713.3605912 ]), array([2137.3403924 ,  386.62606169,  718.25217748])]"
24538,movec_fit,"[array([2121.8114679 ,  338.83139825,  726.61263811]), array([2107.03308424,  290.70437425,  734.40773834])]"
27423,movec_fit,"[array([2093.1058937 ,  241.28868546,  741.41173143]), array([2080.3926102 ,  191.39110497,  747.20282242])]"
30308,movec_fit,"[array([2069.28554858,  140.67403236,  751.26061972]), array([2060.01195684,   89.46791161,  753.25753721])]"
33020,movec_fit,"[array([2053.44866089,   40.81406851,  752.60834215]), array([2049.13212924,   -7.94397699,  749.26730602])]"
33022,movel_fit,"[array([2049.11088039,   -8.00438036,  749.15164065])]"
35246,movec_fit,"[array([2047.52525639,  -47.84221239,  743.9329337 ]), array([2047.94438724,  -87.30817948,  736.43903501])]"
36534,movec_fit,"[array([2049.13875441, -109.80094089,  730.91952678]), array([2050.97737799, -132.01224459,  724.64062656])]"
37981,movec_fit,"[array([2053.89278698, -156.44542058,  716.5976089 ]), array([2057.68498372, -180.37870296,  707.48788505])]"
38904,movec_fit,"[array([2060.58082745, -195.2675754 ,  701.13817587]), array([2063.81276046, -209.91218943,  694.39479922])]"
40254,movec_fit,"[array([2069.15944385, -230.70065155,  683.86706348]), array([2075.19908387, -250.85424345,  672.5868187 ])]"
41292,movec_fit,"[array([2080.30255633, -265.85228545,  663.45144729]), array([2085.77213238, -280.4462422 ,  653.95121275])]"
42782,movec_fit,"[array([2094.26309198, -300.57755567,  639.72989181]), array([2103.44903083, -319.89645618,  624.89116345])]"
43975,movec_fit,"[array([2111.26383276, -334.72975595,  612.64549674]), array([2119.4706975 , -349.08955209,  600.09568037])]"
46632,movec_fit,"[array([2138.95171851, -379.26265001,  571.36448029]), array([2159.91831014, -407.45817923,  541.68583405])]"
46639,movec_fit,"[array([2159.91792349, -407.57654445,  541.62724625]), array([2159.98154925, -407.68857621,  541.60991418])]"
48242,movec_fit,"[array([2171.99368832, -424.7262161 ,  523.79823682]), array([2184.38583256, -441.11509866,  505.64148057])]"
49998,movec_fit,"[array([2200.03344998, -458.19820547,  484.34691255]), array([2216.03494237, -474.73484821,  462.88460177])]"
