timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.002, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.004, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.008, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.011, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.016, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.02, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.024, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.028, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.032, 1, -19.4568, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.036, 1, -19.4567, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.04, 1, -19.4565, 50.4437, 24.3548, -17.3153, -81.5511, 103.686
0.044, 1, -19.456, 50.4436, 24.3548, -17.3153, -81.5511, 103.686
0.048, 1, -19.4551, 50.4436, 24.3548, -17.3153, -81.5511, 103.686
0.052, 1, -19.4536, 50.4435, 24.3548, -17.3152, -81.5511, 103.686
0.056, 1, -19.4515, 50.4434, 24.3548, -17.3149, -81.5511, 103.685
0.06, 1, -19.4487, 50.4432, 24.3547, -17.3144, -81.551, 103.685
0.064, 1, -19.4452, 50.443, 24.3545, -17.3135, -81.5509, 103.684
0.068, 1, -19.4409, 50.4428, 24.3541, -17.312, -81.5507, 103.682
0.072, 1, -19.4357, 50.4426, 24.3533, -17.3097, -81.5504, 103.68
0.076, 1, -19.4294, 50.4423, 24.3522, -17.3064, -81.55, 103.676
0.08, 1, -19.4217, 50.4421, 24.3506, -17.3017, -81.5493, 103.671
0.084, 1, -19.4125, 50.4418, 24.3484, -17.2952, -81.5485, 103.664
0.088, 1, -19.4014, 50.4416, 24.3453, -17.2867, -81.5473, 103.654
0.092, 1, -19.3884, 50.4414, 24.3412, -17.2756, -81.5458, 103.642
0.096, 1, -19.3733, 50.4414, 24.3359, -17.2616, -81.5438, 103.627
0.1, 1, -19.3559, 50.4414, 24.3292, -17.2441, -81.5414, 103.607
0.104, 1, -19.3361, 50.4417, 24.321, -17.2228, -81.5384, 103.584
0.108, 1, -19.3137, 50.4421, 24.3111, -17.1973, -81.5348, 103.556
0.112, 1, -19.2885, 50.4427, 24.2993, -17.1671, -81.5306, 103.523
0.116, 1, -19.2605, 50.4436, 24.2855, -17.132, -81.5257, 103.485
0.12, 1, -19.2296, 50.4447, 24.2695, -17.0916, -81.52, 103.441
0.124, 1, -19.1959, 50.4462, 24.2513, -17.0459, -81.5135, 103.391
0.128, 1, -19.1595, 50.4479, 24.2309, -16.9946, -81.5063, 103.336
0.131, 1, -19.1202, 50.45, 24.2081, -16.9378, -81.4983, 103.274
0.136, 1, -19.0782, 50.4524, 24.1831, -16.8756, -81.4895, 103.206
0.139, 1, -19.0335, 50.455, 24.156, -16.8082, -81.4799, 103.133
0.144, 1, -18.986, 50.4579, 24.1268, -16.7358, -81.4697, 103.054
0.148, 1, -18.9357, 50.4611, 24.0957, -16.6588, -81.4588, 102.971
0.152, 1, -18.883, 50.4644, 24.0629, -16.5775, -81.4473, 102.882
0.156, 1, -18.8278, 50.468, 24.0286, -16.4925, -81.4352, 102.79
0.16, 1, -18.7705, 50.4716, 23.9929, -16.4041, -81.4227, 102.694
0.164, 1, -18.7111, 50.4754, 23.956, -16.3128, -81.4098, 102.595
0.168, 1, -18.6498, 50.4792, 23.9182, -16.2191, -81.3966, 102.493
0.172, 1, -18.5868, 50.4831, 23.8796, -16.1234, -81.383, 102.389
0.176, 1, -18.5221, 50.487, 23.8404, -16.0261, -81.3693, 102.283
0.18, 1, -18.456, 50.4908, 23.8007, -15.9276, -81.3553, 102.176
0.184, 1, -18.3886, 50.4946, 23.7607, -15.8281, -81.3413, 102.068
0.188, 1, -18.3203, 50.4984, 23.7204, -15.7279, -81.3271, 101.959
0.192, 1, -18.2511, 50.5021, 23.68, -15.6272, -81.3129, 101.849
0.196, 1, -18.1812, 50.5058, 23.6394, -15.526, -81.2986, 101.739
0.2, 1, -18.1108, 50.5095, 23.5988, -15.4246, -81.2843, 101.629
0.204, 1, -18.0399, 50.5132, 23.558, -15.323, -81.2699, 101.519
0.208, 1, -17.9687, 50.5168, 23.5173, -15.2213, -81.2555, 101.408
0.212, 1, -17.8971, 50.5205, 23.4765, -15.1195, -81.2412, 101.297
0.216, 1, -17.8252, 50.5241, 23.4357, -15.0176, -81.2268, 101.186
0.22, 1, -17.7532, 50.5277, 23.3949, -14.9157, -81.2124, 101.076
0.224, 1, -17.6811, 50.5313, 23.354, -14.8138, -81.198, 100.965
0.228, 1, -17.609, 50.535, 23.3132, -14.7119, -81.1836, 100.854
0.232, 1, -17.5368, 50.5386, 23.2724, -14.6099, -81.1692, 100.743
0.236, 1, -17.4646, 50.5422, 23.2316, -14.508, -81.1549, 100.632
0.24, 1, -17.3923, 50.5458, 23.1908, -14.4061, -81.1405, 100.521
0.244, 1, -17.32, 50.5494, 23.15, -14.3042, -81.1261, 100.41
0.248, 1, -17.2478, 50.553, 23.1092, -14.2023, -81.1117, 100.3
0.252, 1, -17.1755, 50.5566, 23.0684, -14.1004, -81.0973, 100.189
0.256, 1, -17.1033, 50.5602, 23.0276, -13.9985, -81.0829, 100.078
0.26, 1, -17.031, 50.5638, 22.9868, -13.8966, -81.0685, 99.9671
0.264, 1, -16.9588, 50.5674, 22.946, -13.7948, -81.0542, 99.8563
0.268, 1, -16.8866, 50.571, 22.9053, -13.6929, -81.0398, 99.7455
0.272, 1, -16.8143, 50.5746, 22.8645, -13.5911, -81.0254, 99.6347
0.276, 1, -16.7421, 50.5782, 22.8237, -13.4893, -81.011, 99.5239
0.28, 1, -16.6699, 50.5818, 22.7829, -13.3875, -80.9967, 99.4132
0.284, 1, -16.5977, 50.5854, 22.7422, -13.2857, -80.9823, 99.3024
0.288, 1, -16.5255, 50.589, 22.7014, -13.1839, -80.9679, 99.1917
0.292, 1, -16.4533, 50.5926, 22.6607, -13.0821, -80.9535, 99.081
0.296, 1, -16.3812, 50.5962, 22.6199, -12.9804, -80.9392, 98.9703
0.3, 1, -16.309, 50.5998, 22.5792, -12.8786, -80.9248, 98.8596
0.304, 1, -16.2369, 50.6034, 22.5385, -12.7769, -80.9104, 98.749
0.308, 1, -16.1647, 50.607, 22.4977, -12.6751, -80.8961, 98.6383
0.312, 1, -16.0926, 50.6106, 22.457, -12.5734, -80.8817, 98.5276
0.316, 1, -16.0204, 50.6142, 22.4163, -12.4717, -80.8674, 98.417
0.32, 1, -15.9483, 50.6178, 22.3756, -12.3701, -80.853, 98.3064
0.324, 1, -15.8762, 50.6214, 22.3349, -12.2684, -80.8387, 98.1958
0.328, 1, -15.8041, 50.625, 22.2942, -12.1667, -80.8243, 98.0852
0.332, 1, -15.732, 50.6286, 22.2535, -12.0651, -80.81, 97.9746
0.336, 1, -15.6599, 50.6322, 22.2128, -11.9634, -80.7956, 97.8641
0.34, 1, -15.5878, 50.6358, 22.1721, -11.8618, -80.7813, 97.7535
0.344, 1, -15.5158, 50.6394, 22.1314, -11.7602, -80.7669, 97.643
0.348, 1, -15.4437, 50.643, 22.0907, -11.6586, -80.7526, 97.5325
0.352, 1, -15.3717, 50.6466, 22.0501, -11.557, -80.7382, 97.422
0.356, 1, -15.2996, 50.6502, 22.0094, -11.4554, -80.7239, 97.3115
0.36, 1, -15.2276, 50.6538, 21.9687, -11.3539, -80.7096, 97.201
0.364, 1, -15.1556, 50.6574, 21.9281, -11.2523, -80.6952, 97.0905
0.368, 1, -15.0836, 50.6609, 21.8874, -11.1508, -80.6809, 96.9801
0.372, 1, -15.0116, 50.6645, 21.8468, -11.0493, -80.6666, 96.8696
0.376, 1, -14.9396, 50.6681, 21.8061, -10.9478, -80.6522, 96.7592
0.38, 1, -14.8676, 50.6717, 21.7655, -10.8463, -80.6379, 96.6488
0.384, 1, -14.7956, 50.6753, 21.7249, -10.7448, -80.6236, 96.5384
0.388, 1, -14.7236, 50.6789, 21.6842, -10.6433, -80.6093, 96.428
0.392, 1, -14.6517, 50.6825, 21.6436, -10.5419, -80.5949, 96.3177
0.396, 1, -14.5797, 50.6861, 21.603, -10.4404, -80.5806, 96.2073
0.4, 1, -14.5078, 50.6897, 21.5624, -10.339, -80.5663, 96.097
0.404, 1, -14.4358, 50.6933, 21.5218, -10.2375, -80.552, 95.9866
0.408, 1, -14.3639, 50.6968, 21.4812, -10.1361, -80.5377, 95.8763
0.412, 1, -14.292, 50.7004, 21.4406, -10.0347, -80.5233, 95.766
0.416, 1, -14.2201, 50.704, 21.4, -9.93335, -80.509, 95.6557
0.42, 1, -14.1482, 50.7076, 21.3594, -9.83197, -80.4947, 95.5454
0.424, 1, -14.0763, 50.7112, 21.3188, -9.73061, -80.4804, 95.4352
0.428, 1, -14.0044, 50.7148, 21.2782, -9.62926, -80.4661, 95.3249
0.432, 1, -13.9325, 50.7184, 21.2376, -9.52792, -80.4518, 95.2147
0.436, 1, -13.8606, 50.7219, 21.1971, -9.4266, -80.4375, 95.1045
0.44, 1, -13.7888, 50.7255, 21.1565, -9.32529, -80.4232, 94.9943
0.444, 1, -13.7169, 50.7291, 21.116, -9.22398, -80.4089, 94.8841
0.448, 1, -13.6451, 50.7327, 21.0754, -9.12269, -80.3946, 94.7739
0.452, 1, -13.5733, 50.7363, 21.0348, -9.02142, -80.3803, 94.6637
0.456, 1, -13.5014, 50.7399, 20.9943, -8.92015, -80.366, 94.5535
0.46, 1, -13.4296, 50.7434, 20.9538, -8.8189, -80.3517, 94.4434
0.464, 1, -13.3578, 50.747, 20.9132, -8.71766, -80.3374, 94.3333
0.468, 1, -13.286, 50.7506, 20.8727, -8.61643, -80.3231, 94.2232
0.472, 1, -13.2142, 50.7542, 20.8322, -8.51521, -80.3088, 94.113
0.476, 1, -13.1425, 50.7578, 20.7917, -8.41401, -80.2945, 94.003
0.48, 1, -13.0707, 50.7613, 20.7511, -8.31282, -80.2803, 93.8929
0.484, 1, -12.9989, 50.7649, 20.7106, -8.21163, -80.266, 93.7828
0.488, 1, -12.9272, 50.7685, 20.6701, -8.11047, -80.2517, 93.6728
0.492, 1, -12.8554, 50.7721, 20.6296, -8.00931, -80.2374, 93.5627
0.496, 1, -12.7837, 50.7757, 20.5891, -7.90817, -80.2231, 93.4527
0.5, 1, -12.712, 50.7792, 20.5486, -7.80704, -80.2088, 93.3427
0.504, 1, -12.6403, 50.7828, 20.5081, -7.70592, -80.1946, 93.2327
0.508, 1, -12.5685, 50.7864, 20.4677, -7.60482, -80.1803, 93.1227
0.512, 1, -12.4968, 50.79, 20.4272, -7.50372, -80.166, 93.0127
0.516, 1, -12.4252, 50.7935, 20.3867, -7.40264, -80.1518, 92.9028
0.52, 1, -12.3535, 50.7971, 20.3463, -7.30157, -80.1375, 92.7928
0.524, 1, -12.2818, 50.8007, 20.3058, -7.20052, -80.1232, 92.6829
0.528, 1, -12.2101, 50.8043, 20.2653, -7.09948, -80.109, 92.573
