timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.002, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.004, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.008, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.011, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.016, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.02, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.024, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.028, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.032, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.036, 1, -33.1697, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.04, 1, -33.1696, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.044, 1, -33.1693, 84.5567, -30.8515, -20.6906, -56.6248, 108.284
0.048, 1, -33.1687, 84.5566, -30.8514, -20.6906, -56.6248, 108.284
0.052, 1, -33.1676, 84.5564, -30.8513, -20.6906, -56.6248, 108.284
0.056, 1, -33.1658, 84.5561, -30.8512, -20.6905, -56.6248, 108.284
0.06, 1, -33.1634, 84.5557, -30.851, -20.6904, -56.6248, 108.284
0.064, 1, -33.1602, 84.5551, -30.8507, -20.69, -56.6248, 108.283
0.068, 1, -33.1563, 84.5543, -30.8504, -20.6895, -56.6247, 108.281
0.072, 1, -33.1517, 84.5533, -30.8501, -20.6886, -56.6246, 108.279
0.076, 1, -33.1462, 84.552, -30.8498, -20.6872, -56.6244, 108.276
0.08, 1, -33.1398, 84.5505, -30.8496, -20.6851, -56.624, 108.272
0.084, 1, -33.1323, 84.5487, -30.8494, -20.6822, -56.6235, 108.265
0.088, 1, -33.1235, 84.5466, -30.8494, -20.6782, -56.6228, 108.256
0.092, 1, -33.1134, 84.5441, -30.8496, -20.6729, -56.6217, 108.245
0.096, 1, -33.1018, 84.5414, -30.85, -20.666, -56.6204, 108.229
0.1, 1, -33.0889, 84.5383, -30.8509, -20.6573, -56.6187, 108.21
0.104, 1, -33.0745, 84.535, -30.8522, -20.6465, -56.6166, 108.187
0.108, 1, -33.0586, 84.5313, -30.8541, -20.6332, -56.6139, 108.158
0.112, 1, -33.0411, 84.5275, -30.8566, -20.6173, -56.6107, 108.123
0.116, 1, -33.0221, 84.5233, -30.8599, -20.5985, -56.6069, 108.082
0.12, 1, -33.0014, 84.5189, -30.8639, -20.5766, -56.6024, 108.034
0.124, 1, -32.9794, 84.5143, -30.8688, -20.5514, -56.5972, 107.979
0.128, 1, -32.9559, 84.5095, -30.8745, -20.5229, -56.5913, 107.917
0.131, 1, -32.9311, 84.5046, -30.8813, -20.4909, -56.5847, 107.848
0.136, 1, -32.905, 84.4995, -30.889, -20.4555, -56.5773, 107.771
0.139, 1, -32.8776, 84.4943, -30.8976, -20.4166, -56.5692, 107.687
0.144, 1, -32.8487, 84.4889, -30.9071, -20.3744, -56.5604, 107.595
0.148, 1, -32.8184, 84.4832, -30.9174, -20.3291, -56.5509, 107.497
0.152, 1, -32.7865, 84.4773, -30.9285, -20.2808, -56.5408, 107.392
0.156, 1, -32.7532, 84.4712, -30.9402, -20.2299, -56.5301, 107.282
0.16, 1, -32.7183, 84.4648, -30.9525, -20.1765, -56.5189, 107.166
0.164, 1, -32.6821, 84.4581, -30.9653, -20.1209, -56.5072, 107.046
0.168, 1, -32.6444, 84.4511, -30.9785, -20.0635, -56.4952, 106.921
0.172, 1, -32.6053, 84.4438, -30.992, -20.0044, -56.4828, 106.793
0.176, 1, -32.5648, 84.4362, -31.0057, -19.9441, -56.4702, 106.662
0.18, 1, -32.523, 84.4282, -31.0195, -19.8826, -56.4574, 106.529
0.184, 1, -32.4799, 84.4199, -31.0334, -19.8203, -56.4444, 106.394
0.188, 1, -32.4356, 84.4113, -31.0473, -19.7574, -56.4312, 106.257
0.192, 1, -32.3904, 84.4024, -31.0612, -19.6939, -56.418, 106.12
0.196, 1, -32.3444, 84.3933, -31.0751, -19.63, -56.4047, 105.981
0.2, 1, -32.2977, 84.3841, -31.089, -19.5659, -56.3914, 105.842
0.204, 1, -32.2504, 84.3746, -31.1029, -19.5016, -56.378, 105.702
0.208, 1, -32.2025, 84.3651, -31.1167, -19.4371, -56.3646, 105.562
0.212, 1, -32.1542, 84.3555, -31.1305, -19.3725, -56.3512, 105.422
0.216, 1, -32.1054, 84.3458, -31.1443, -19.3078, -56.3377, 105.282
0.22, 1, -32.0563, 84.336, -31.1581, -19.2431, -56.3243, 105.141
0.224, 1, -32.007, 84.3262, -31.1719, -19.1784, -56.3108, 105.001
0.228, 1, -31.9575, 84.3164, -31.1857, -19.1136, -56.2974, 104.86
0.232, 1, -31.908, 84.3066, -31.1994, -19.0489, -56.2839, 104.719
0.236, 1, -31.8583, 84.2967, -31.2132, -18.9841, -56.2705, 104.579
0.24, 1, -31.8087, 84.2869, -31.2269, -18.9193, -56.257, 104.438
0.244, 1, -31.759, 84.277, -31.2407, -18.8545, -56.2436, 104.297
0.248, 1, -31.7093, 84.2672, -31.2544, -18.7897, -56.2301, 104.157
0.252, 1, -31.6595, 84.2573, -31.2682, -18.7249, -56.2167, 104.016
0.256, 1, -31.6098, 84.2475, -31.2819, -18.6602, -56.2032, 103.875
0.26, 1, -31.56, 84.2376, -31.2957, -18.5954, -56.1898, 103.735
0.264, 1, -31.5103, 84.2277, -31.3094, -18.5306, -56.1763, 103.594
0.268, 1, -31.4605, 84.2179, -31.3231, -18.4658, -56.1628, 103.453
0.272, 1, -31.4108, 84.208, -31.3369, -18.401, -56.1494, 103.313
0.276, 1, -31.361, 84.1981, -31.3506, -18.3362, -56.1359, 103.172
0.28, 1, -31.3113, 84.1883, -31.3644, -18.2714, -56.1225, 103.031
0.284, 1, -31.2615, 84.1784, -31.3781, -18.2066, -56.109, 102.891
0.288, 1, -31.2118, 84.1685, -31.3919, -18.1419, -56.0956, 102.75
0.292, 1, -31.162, 84.1587, -31.4056, -18.0771, -56.0821, 102.609
0.296, 1, -31.1123, 84.1488, -31.4193, -18.0123, -56.0687, 102.469
0.3, 1, -31.0625, 84.1389, -31.4331, -17.9475, -56.0552, 102.328
0.304, 1, -31.0128, 84.1291, -31.4468, -17.8827, -56.0418, 102.187
0.308, 1, -30.963, 84.1192, -31.4606, -17.818, -56.0283, 102.047
0.312, 1, -30.9133, 84.1093, -31.4743, -17.7532, -56.0149, 101.906
0.316, 1, -30.8635, 84.0995, -31.488, -17.6884, -56.0014, 101.766
