t,j1,j2,j3,j4,j5,j6
0,0.6572,0.610785,-0.126133,0.989751,1.08048,-4.46827e-05
0.247312,0.640827,0.600939,-0.109499,0.997244,1.06427,-4.4682e-05
0.352391,0.624163,0.589988,-0.089085,1.01557,1.04614,-4.4681e-05
0.441432,0.607667,0.578282,-0.0665069,1.03529,1.02699,-4.46793e-05
0.52164,0.591405,0.566024,-0.0422544,1.05501,1.00761,-4.46771e-05
0.604184,0.57537,0.553351,-0.0165431,1.07509,0.988485,-4.46745e-05
0.6801,0.559559,0.54041,0.0103378,1.09543,0.970085,-4.46718e-05
0.751036,0.54397,0.527355,0.0380369,1.11547,0.952849,-4.4669e-05
0.816953,0.528587,0.514317,0.0662498,1.13479,0.937089,-4.46659e-05
0.885116,0.513374,0.501389,0.0947729,1.15336,0.922943,-4.46624e-05
0.958968,0.498282,0.488635,0.123481,1.1715,0.910426,-4.46587e-05
1.0269,0.483257,0.476108,0.152279,1.18957,0.899519,-4.4655e-05
1.08798,0.468246,0.463857,0.181062,1.2078,0.890219,-4.46512e-05
1.14366,0.453198,0.451936,0.20971,1.22617,0.882555,-4.46474e-05
1.19639,0.438062,0.440397,0.238097,1.24454,0.876572,-4.46435e-05
1.25062,0.422786,0.429287,0.266101,1.26267,0.872311,-4.46393e-05
1.30558,0.407318,0.418653,0.293612,1.28034,0.869805,-4.4635e-05
1.36263,0.391607,0.408536,0.320521,1.29729,0.869083,-4.46307e-05
1.41971,0.375601,0.398979,0.34672,1.3132,0.870167,-4.46263e-05
1.47872,0.359252,0.390023,0.372098,1.32774,0.873078,-4.46218e-05
1.53735,0.342508,0.381711,0.396545,1.34057,0.877827,-4.4617e-05
1.59929,0.325321,0.374084,0.419952,1.35144,0.884422,-4.46117e-05
1.6674,0.307644,0.367183,0.442212,1.36011,0.892864,-4.46061e-05
1.74031,0.289433,0.361051,0.46321,1.36637,0.903153,-4.46007e-05
1.80413,0.270652,0.355735,0.482809,1.36997,0.915282,-4.45965e-05
1.86111,0.251275,0.351285,0.500845,1.37056,0.929241,-4.45939e-05
1.91752,0.231288,0.347755,0.517127,1.36772,0.945014,-4.45928e-05
1.97553,0.210696,0.345201,0.531441,1.36104,0.962584,-4.45927e-05
2.03474,0.189518,0.343676,0.54356,1.35016,0.981928,-4.4593e-05
2.09555,0.167801,0.343232,0.553246,1.33481,1.00301,-4.45935e-05
2.15817,0.145624,0.343913,0.560247,1.31476,1.02578,-4.45942e-05
2.22253,0.123104,0.34576,0.564293,1.28976,1.05017,-4.4595e-05
2.28992,0.100402,0.348805,0.565104,1.25959,1.07613,-4.45959e-05
2.35736,0.0777242,0.353079,0.562411,1.22409,1.10364,-4.45966e-05
2.42676,0.0553169,0.358605,0.555975,1.18324,1.13273,-4.4597e-05
2.49734,0.033455,0.365403,0.545618,1.13721,1.1635,-4.45966e-05
2.5687,0.0124264,0.373486,0.531239,1.08631,1.1961,-4.45957e-05
2.64043,-0.00748868,0.382859,0.512833,1.03103,1.23073,-4.45945e-05
2.71205,-0.0260362,0.393512,0.490496,0.971951,1.26757,-4.45933e-05
2.78316,-0.0430008,0.405411,0.464421,0.909624,1.3067,-4.45922e-05
2.85331,-0.0582145,0.418481,0.434887,0.844486,1.34803,-4.45911e-05
2.9221,-0.0715801,0.4326,0.402274,0.776965,1.39123,-4.45902e-05
2.98921,-0.0831052,0.447587,0.367082,0.70775,1.43567,-4.45894e-05
3.05645,-0.0928931,0.463224,0.32986,0.637632,1.48046,-4.45887e-05
3.12989,-0.101055,0.479274,0.291091,0.56678,1.52453,-4.45882e-05
3.21276,-0.107686,0.495471,0.251209,0.494789,1.56652,-4.45877e-05
3.30727,-0.112978,0.511532,0.210718,0.421971,1.60494,-4.45874e-05
3.41378,-0.117174,0.52725,0.170045,0.348956,1.63862,-4.45871e-05
3.55055,-0.120474,0.542492,0.129478,0.276106,1.66665,-4.4587e-05
4.20076,-0.123425,0.557356,0.0892146,0.207112,1.68939,-4.45869e-05
